year,bula_h,sex,plh0040,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,Schleswig-Holstein,male,Very concerned,0.42846,65,127,0.34206,0.51487
1994,Schleswig-Holstein,male,Somewhat concerned,0.35851,62,127,0.27477,0.44225
1994,Schleswig-Holstein,female,Very concerned,0.43184,76,141,0.34979,0.51389
1994,Schleswig-Holstein,female,Somewhat concerned,0.31210,65,141,0.23535,0.38886
1994,Hamburg,male,Somewhat concerned,0.41243,32,32,0.23914,0.58572
1994,Hamburg,female,Very concerned,0.59947,47,47,0.45787,0.74108
1994,Lower Saxony,male,Very concerned,0.41493,238,452,0.36946,0.46040
1994,Lower Saxony,male,Somewhat concerned,0.37566,214,452,0.33096,0.42036
1994,Lower Saxony,female,Very concerned,0.49255,285,469,0.44726,0.53785
1994,Lower Saxony,female,Somewhat concerned,0.29816,184,469,0.25671,0.33960
1994,Bremen,male,Very concerned,0.76847,31,31,0.61753,0.91941
1994,North Rhine-Westphalia,male,Very concerned,0.41266,604,1177,0.38452,0.44080
1994,North Rhine-Westphalia,male,Somewhat concerned,0.34701,510,1177,0.31980,0.37422
1994,North Rhine-Westphalia,male,Not concerned at all,0.03624,63,1177,0.02556,0.04692
1994,North Rhine-Westphalia,female,Very concerned,0.48572,719,1262,0.45813,0.51331
1994,North Rhine-Westphalia,female,Somewhat concerned,0.31610,497,1262,0.29043,0.34176
1994,North Rhine-Westphalia,female,Not concerned at all,0.02489,46,1262,0.01629,0.03349
1994,Hesse,male,Very concerned,0.43941,229,425,0.39217,0.48665
1994,Hesse,male,Somewhat concerned,0.33252,196,425,0.28767,0.37736
1994,Hesse,female,Very concerned,0.50076,263,443,0.45415,0.54737
1994,Hesse,female,Somewhat concerned,0.34064,180,443,0.29645,0.38482
1994,"Rhineland-Palatinate, Saarland",male,Very concerned,0.43434,165,289,0.37710,0.49159
1994,"Rhineland-Palatinate, Saarland",male,Somewhat concerned,0.34914,124,289,0.29408,0.40419
1994,"Rhineland-Palatinate, Saarland",female,Very concerned,0.51006,199,324,0.45554,0.56458
1994,"Rhineland-Palatinate, Saarland",female,Somewhat concerned,0.29616,125,324,0.24637,0.34595
1994,Baden-Wuerttemberg,male,Very concerned,0.36943,401,858,0.33711,0.40174
1994,Baden-Wuerttemberg,male,Somewhat concerned,0.37755,397,858,0.34509,0.41000
1994,Baden-Wuerttemberg,male,Not concerned at all,0.04959,60,858,0.03505,0.06412
1994,Baden-Wuerttemberg,female,Very concerned,0.44848,433,867,0.41536,0.48161
1994,Baden-Wuerttemberg,female,Somewhat concerned,0.33598,392,867,0.30452,0.36744
1994,Baden-Wuerttemberg,female,Not concerned at all,0.02960,42,867,0.01831,0.04088
1994,Bavaria,male,Very concerned,0.33707,309,762,0.30349,0.37066
1994,Bavaria,male,Somewhat concerned,0.38138,369,762,0.34687,0.41589
1994,Bavaria,male,Not concerned at all,0.08029,84,762,0.06098,0.09960
1994,Bavaria,female,Very concerned,0.39433,361,812,0.36069,0.42796
1994,Bavaria,female,Somewhat concerned,0.37691,386,812,0.34356,0.41027
1994,Bavaria,female,Not concerned at all,0.05665,65,812,0.04074,0.07256
1994,Berlin,male,Very concerned,0.48259,165,250,0.42052,0.54465
1994,Berlin,male,Somewhat concerned,0.30166,85,250,0.24465,0.35867
1994,Berlin,female,Very concerned,0.59655,200,279,0.53888,0.65422
1994,Berlin,female,Somewhat concerned,0.21403,79,279,0.16581,0.26224
1994,Brandenburg,male,Very concerned,0.58810,206,288,0.53116,0.64504
1994,Brandenburg,male,Somewhat concerned,0.20825,82,288,0.16127,0.25523
1994,Brandenburg,female,Very concerned,0.69013,249,307,0.63832,0.74195
1994,Brandenburg,female,Somewhat concerned,0.13382,58,307,0.09568,0.17197
1994,Mecklenburg-Western Pomerania,male,Very concerned,0.61151,145,203,0.54429,0.67873
1994,Mecklenburg-Western Pomerania,male,Somewhat concerned,0.18389,58,203,0.13047,0.23731
1994,Mecklenburg-Western Pomerania,female,Very concerned,0.55316,149,205,0.48494,0.62139
1994,Mecklenburg-Western Pomerania,female,Somewhat concerned,0.20233,56,205,0.14720,0.25746
1994,Saxony,male,Very concerned,0.58491,370,515,0.54231,0.62751
1994,Saxony,male,Somewhat concerned,0.20365,145,515,0.16884,0.23847
1994,Saxony,female,Very concerned,0.67167,463,596,0.63393,0.70940
1994,Saxony,female,Somewhat concerned,0.16248,133,596,0.13284,0.19212
1994,Saxony-Anhalt,male,Very concerned,0.61603,235,323,0.56290,0.66915
1994,Saxony-Anhalt,male,Somewhat concerned,0.20337,88,323,0.15941,0.24734
1994,Saxony-Anhalt,female,Very concerned,0.65060,282,368,0.60182,0.69938
