"year","quintil","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1995","1 Einkommensschwächstes Quintil","303.57","272.5","4727","153","202","375","511","730","299.42","307.72","10","1278","281","291"
"1995","2","","","","","","","","","","","","","",""
"1995","3","","","","","","","","","","","","","",""
"1995","4","406.74","372.5","858","220","279","496","638","976","394.37","419.11","51","1149","340","371"
"1995","5 Einkommensstärkstes Quintil","","","","","","","","","","","","","",""
"1996","1 Einkommensschwächstes Quintil","330.93","299.5","4210","170","226","409","536","818","326.27","335.59","17","1283","306","316"
"1996","2","","","","","","","","","","","","","",""
"1996","3","","","","","","","","","","","","","",""
"1996","4","416.08","381","864","230","287","511","625","1015","403.58","428.58","26","1431","358","388"
"1996","5 Einkommensstärkstes Quintil","536.03","449","313","245","317","689","965","1490","503.9","568.16","87","1942","424","476"
"1997","1 Einkommensschwächstes Quintil","347.61","321.5","3881","187","246","431","532","766","342.72","352.5","17","2479","328","340"
"1997","2","","","","","","","","","","","","","",""
"1997","3","","","","","","","","","","","","","",""
"1997","4","449.32","425","863","236","313","550","720","964","436.23","462.41","41","1298","402","436"
"1997","5 Einkommensstärkstes Quintil","619.1","532","307","286","393","736","1098","1942","579.68","658.52","83","1942","470","562"
"1998","1 Einkommensschwächstes Quintil","365.51","344.5","4104","205","265","435","562","794","361.09","369.93","17","1275","345","356"
"1998","2","","","","","","","","","","","","","",""
"1998","3","","","","","","","","","","","","","",""
"1998","4","","","","","","","","","","","","","",""
"1998","5 Einkommensstärkstes Quintil","573.06","509","372","281","393","690","870","1942","543.07","603.05","104","2045","492","568"
"1999","1 Einkommensschwächstes Quintil","383.28","361.5","3388","208","270","465","597","904","378.05","388.51","16","2136","357","367"
"1999","2","","","","","","","","","","","","","",""
"1999","3","","","","","","","","","","","","","",""
"1999","4","","","","","","","","","","","","","",""
"1999","5 Einkommensstärkstes Quintil","588.47","559.5","405","311","404","716","899","1879","562.18","614.76","100","2111","511","565"
"2000","1 Einkommensschwächstes Quintil","374.2","356.5","5207","211","271","457","561","890","370.03","378.37","26","2045","360","369"
"2000","2","406.18","382.5","4301","228","299","498","617","888","401.47","410.89","16","1482","384","397"
"2000","3","","","","","","","","","","","","","",""
"2000","4","","","","","","","","","","","","","",""
"2000","5 Einkommensstärkstes Quintil","617.6","559.5","931","286","399","766","987","1587","598.4","636.8","10","2137","552","603"
"2001","1 Einkommensschwächstes Quintil","382.48","357.5","4383","215","280","472","572","827","378.05","386.91","14","2070","368","380"
"2001","2","414.15","383.5","3815","237","305","496","618","920","408.96","419.34","31","2045","385","399"
"2001","3","","","","","","","","","","","","","",""
"2001","4","","","","","","","","","","","","","",""
"2001","5 Einkommensstärkstes Quintil","633.12","566.5","917","312","423","763","1022","1891","613.59","652.65","100","2199","557","586"
"2002","1 Einkommensschwächstes Quintil","400.21","382.5","3801","217","290","491","600","868","395.13","405.29","23","1600","377","390"
"2002","2","416.17","389.5","3222","250","313","500","613","898","410.95","421.39","42","1140","395","410"
"2002","3","","","","","","","","","","","","","",""
"2002","4","","","","","","","","","","","","","",""
"2002","5 Einkommensstärkstes Quintil","","","","","","","","","","","","","",""
"2003","1 Einkommensschwächstes Quintil","402.54","371.5","3691","225","291","490","610","951","397.31","407.77","25","1401","371","383"
"2003","2","","","","","","","","","","","","","",""
"2003","3","","","","","","","","","","","","","",""
"2003","4","","","","","","","","","","","","","",""
"2003","5 Einkommensstärkstes Quintil","","","","","","","","","","","","","",""
"2004","1 Einkommensschwächstes Quintil","406.95","386.5","3431","230","295","500","620","866","401.63","412.27","30","1324","381","395"
"2004","2","","","","","","","","","","","","","",""
"2004","3","","","","","","","","","","","","","",""
"2004","4","","","","","","","","","","","","","",""
"2004","5 Einkommensstärkstes Quintil","","","","","","","","","","","","","",""
"2005","1 Einkommensschwächstes Quintil","406.8","380.5","3318","229","290","486","610","937","398.94","414.66","60","3973","380","393"
"2005","2","","","","","","","","","","","","","",""
"2005","3","","","","","","","","","","","","","",""
"2005","4","","","","","","","","","","","","","",""
"2005","5 Einkommensstärkstes Quintil","","","","","","","","","","","","","",""
"2006","1 Einkommensschwächstes Quintil","392.69","380.5","3658","228","297","475","581","750","388.08","397.3","30","940","382","392"
"2006","2","","","","","","","","","","","","","",""
"2006","3","","","","","","","","","","","","","",""
"2006","4","","","","","","","","","","","","","",""
"2006","5 Einkommensstärkstes Quintil","","","","","","","","","","","","","",""
"2007","1 Einkommensschwächstes Quintil","402.25","389.5","3123","223","300","490","600","820","397.03","407.47","37","1200","384","400"
"2007","2","","","","","","","","","","","","","",""
"2007","3","","","","","","","","","","","","","",""
"2007","4","","","","","","","","","","","","","",""
"2007","5 Einkommensstärkstes Quintil","","","","","","","","","","","","","",""
"2008","1 Einkommensschwächstes Quintil","","","","","","","","","","","","","",""
"2008","2","","","","","","","","","","","","","",""
"2008","3","","","","","","","","","","","","","",""
"2008","4","","","","","","","","","","","","","",""
"2008","5 Einkommensstärkstes Quintil","","","","","","","","","","","","","",""
"2009","1 Einkommensschwächstes Quintil","","","","","","","","","","","","","",""
"2009","2","","","","","","","","","","","","","",""
"2009","3","","","","","","","","","","","","","",""
"2009","4","","","","","","","","","","","","","",""
"2009","5 Einkommensstärkstes Quintil","","","","","","","","","","","","","",""
"2010","1 Einkommensschwächstes Quintil","405.99","388.5","5913","234","300","496","600","850","402.05","409.93","40","1244","420","430"
"2010","2","452.14","429.5","4655","274","336","530","655","950","446.65","457.63","100","2065","468","477"
"2010","3","475.54","449.5","3103","299","367","561","680","1100","468.4","482.68","20","1968","480","490"
"2010","4","","","","","","","","","","","","","",""
"2010","5 Einkommensstärkstes Quintil","","","","","","","","","","","","","",""
"2011","1 Einkommensschwächstes Quintil","410.62","389.5","6179","233","300","500","618","844","406.55","414.69","55","1465","425","436"
"2011","2","452.85","429.5","5140","277","350","536","649","970","448.13","457.57","32","1672","465","478"
"2011","3","484.53","449.5","3760","284","356","580","718","1100","478.08","490.98","100","1924","475","490"
"2011","4","529.55","491.5","3372","305","387","638","788","1170","521.2","537.9","7","1840","525","545"
"2011","5 Einkommensstärkstes Quintil","","","","","","","","","","","","","",""
"2012","1 Einkommensschwächstes Quintil","415.6","399.5","5206","240","300","513","625","800","411.34","419.86","42","1575","430","443"
"2012","2","458.49","439.5","4895","280","336","540","670","1030","453.23","463.75","70","2091","477","489"
"2012","3","481","449","3904","292","360","570","705","1010","475.19","486.81","46","1620","485","500"
"2012","4","542.02","509.5","3397","310","397","650","805","1181","533.85","550.19","17","1810","530","550"
"2012","5 Einkommensstärkstes Quintil","","","","","","","","","","","","","",""
"2013","1 Einkommensschwächstes Quintil","426.76","399.5","6866","230","304","520","645","930","422.31","431.21","17","1620","460","470"
"2013","2","478.52","454.5","6126","285","362","560","708","1060","473.49","483.55","5","2180","488","500"
"2013","3","494.03","459.5","4560","300","370","587","720","1060","488.46","499.6","75","1430","500","515"
"2013","4","536.56","499.5","4169","312","390","640","802","1270","529.05","544.07","35","2300","540","552"
"2013","5 Einkommensstärkstes Quintil","","","","","","","","","","","","","",""
"2014","1 Einkommensschwächstes Quintil","387.78","349.5","5054","185","256","485","635","1037","382.04","393.52","0","1281","391","405"
"2014","2","420.51","404.5","5064","218","299","524","630","1020","415.08","425.94","0","1450","449","457"
"2014","3","450.73","414.5","4006","234","321","550","680","1262","443.5","457.96","17","1884","460","477"
"2014","4","503.46","456.5","3861","255","352","620","797","1240","494.84","512.08","0","2900","500","516"
"2014","5 Einkommensstärkstes Quintil","","","","","","","","","","","","","",""
"2015","1 Einkommensschwächstes Quintil","407.56","364","5195","218","280","504","648","1005","402.07","413.05","0","1400","430","443"
