"year","quintil","sampreg","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1995","1 Einkommensschwächstes Quintil","Ostdeutschland","","","","","","","","","","","","","",""
"1995","1 Einkommensschwächstes Quintil","Westdeutschland","334.38","314.5","3277","171","232","408","541","730","329.42","339.34","10","1278","326","335"
"1995","2","Ostdeutschland","223.33","215.5","915","142","174","263","317","439","217.83","228.83","45","869","217","227"
"1995","2","Westdeutschland","","","","","","","","","","","","","",""
"1995","3","Ostdeutschland","256.97","226","432","130","186","299","398","838","243.31","270.63","67","1007","225","239"
"1995","3","Westdeutschland","","","","","","","","","","","","","",""
"1995","4","Ostdeutschland","","","","","","","","","","","","","",""
"1995","4","Westdeutschland","426.48","389.5","683","230","303","515","664","1073","412.53","440.43","51","1149","376","409"
"1995","5 Einkommensstärkstes Quintil","Ostdeutschland","","","","","","","","","","","","","",""
"1995","5 Einkommensstärkstes Quintil","Westdeutschland","","","","","","","","","","","","","",""
"1996","1 Einkommensschwächstes Quintil","Ostdeutschland","","","","","","","","","","","","","",""
"1996","1 Einkommensschwächstes Quintil","Westdeutschland","","","","","","","","","","","","","",""
"1996","2","Ostdeutschland","269.43","254","969","165","207","308","394","740","263","275.86","0","872","255","263"
"1996","2","Westdeutschland","","","","","","","","","","","","","",""
"1996","3","Ostdeutschland","285.43","256.5","471","157","200","327","417","910","271.53","299.33","79","1017","258","271"
"1996","3","Westdeutschland","","","","","","","","","","","","","",""
"1996","4","Ostdeutschland","","","","","","","","","","","","","",""
"1996","4","Westdeutschland","432.83","396","686","235","307","527","638","1176","418.17","447.49","26","1431","388","416"
"1996","5 Einkommensstärkstes Quintil","Ostdeutschland","554.61","332","36","222","245","711","1490","1490","430.25","678.97","92","1490","223","318"
"1996","5 Einkommensstärkstes Quintil","Westdeutschland","","","","","","","","","","","","","",""
"1997","1 Einkommensschwächstes Quintil","Ostdeutschland","","","","","","","","","","","","","",""
"1997","1 Einkommensschwächstes Quintil","Westdeutschland","","","","","","","","","","","","","",""
"1997","2","Ostdeutschland","290.67","273.5","890","168","217","336","432","766","282.97","298.37","32","875","275","283"
"1997","2","Westdeutschland","","","","","","","","","","","","","",""
"1997","3","Ostdeutschland","306.16","282.5","464","184","235","351","460","632","296.1","316.22","100","766","283","306"
"1997","3","Westdeutschland","","","","","","","","","","","","","",""
"1997","4","Ostdeutschland","","","","","","","","","","","","","",""
"1997","4","Westdeutschland","470.78","437","680","255","342","573","742","964","456.09","485.47","41","1298","436","464"
"1997","5 Einkommensstärkstes Quintil","Ostdeutschland","719.86","600.5","36","281","352","1202","1329","1329","598.49","841.23","189","1329","352","736"
"1997","5 Einkommensstärkstes Quintil","Westdeutschland","","","","","","","","","","","","","",""
"1998","1 Einkommensschwächstes Quintil","Ostdeutschland","","","","","","","","","","","","","",""
"1998","1 Einkommensschwächstes Quintil","Westdeutschland","","","","","","","","","","","","","",""
"1998","2","Ostdeutschland","303.84","289.5","758","173","230","364","440","655","295.49","312.19","60","866","290","306"
"1998","2","Westdeutschland","","","","","","","","","","","","","",""
"1998","3","Ostdeutschland","339.93","318","535","196","249","404","508","817","328.16","351.7","62","888","313","335"
"1998","3","Westdeutschland","","","","","","","","","","","","","",""
"1998","4","Ostdeutschland","","","","","","","","","","","","","",""
"1998","4","Westdeutschland","492.85","448.5","836","280","347","578","766","1114","478.73","506.97","57","1431","437","464"
"1998","5 Einkommensstärkstes Quintil","Ostdeutschland","467.38","401.5","39","185","311","618","715","976","392.95","541.81","129","976","323","603"
"1998","5 Einkommensstärkstes Quintil","Westdeutschland","582.03","509","333","286","398","690","893","1942","549.77","614.29","104","2045","493","568"
"1999","1 Einkommensschwächstes Quintil","Ostdeutschland","329.39","303","976","192","245","393","472","838","321.47","337.31","21","999","306","325"
"1999","1 Einkommensschwächstes Quintil","Westdeutschland","","","","","","","","","","","","","",""
"1999","2","Ostdeutschland","332.65","318","904","194","259","397","479","705","324.88","340.42","102","802","319","334"
"1999","2","Westdeutschland","","","","","","","","","","","","","",""
"1999","3","Ostdeutschland","356.29","328.5","526","214","266","431","538","776","344.7","367.88","125","1099","318","345"
"1999","3","Westdeutschland","","","","","","","","","","","","","",""
"1999","4","Ostdeutschland","","","","","","","","","","","","","",""
"1999","4","Westdeutschland","480.87","438.5","866","271","353","577","758","1073","467.84","493.9","41","1308","429","460"
"1999","5 Einkommensstärkstes Quintil","Ostdeutschland","509.46","440","35","205","307","731","884","924","433.48","585.44","200","924","332","565"
"1999","5 Einkommensstärkstes Quintil","Westdeutschland","592.61","559.5","370","315","409","716","899","1879","564.78","620.44","100","2111","525","588"
"2000","1 Einkommensschwächstes Quintil","Ostdeutschland","","","","","","","","","","","","","",""
"2000","1 Einkommensschwächstes Quintil","Westdeutschland","392.13","375","3692","225","282","473","575","892","386.9","397.36","26","2045","385","396"
"2000","2","Ostdeutschland","","","","","","","","","","","","","",""
"2000","2","Westdeutschland","426.53","405","3127","240","317","515","632","953","420.89","432.17","31","1482","409","428"
"2000","3","Ostdeutschland","359.54","338.5","741","221","272","424","541","868","350.42","368.66","79","945","338","357"
"2000","3","Westdeutschland","","","","","","","","","","","","","",""
"2000","4","Ostdeutschland","363.52","333","331","206","256","438","612","746","347.49","379.55","46","800","331","368"
"2000","4","Westdeutschland","","","","","","","","","","","","","",""
"2000","5 Einkommensstärkstes Quintil","Ostdeutschland","","","","","","","","","","","","","",""
