year,regtyp,pet_cat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Urban regions,Yes,0.11403,508,4408,0.10464,0.12341
1996,Urban regions,No,0.88597,3900,4408,0.87659,0.89536
1996,Rural regions,Yes,0.16994,437,2223,0.15433,0.18556
1996,Rural regions,No,0.83006,1786,2223,0.81444,0.84567
2001,Urban regions,Yes,0.12509,1047,7783,0.11774,0.13244
2001,Urban regions,No,0.87491,6736,7783,0.86756,0.88226
2001,Rural regions,Yes,0.20630,913,3897,0.19359,0.21900
2001,Rural regions,No,0.79370,2984,3897,0.78100,0.80641
2006,Urban regions,Yes,0.12320,1141,8168,0.11607,0.13033
2006,Urban regions,No,0.87680,7027,8168,0.86967,0.88393
2006,Rural regions,Yes,0.21159,953,4097,0.19908,0.22410
2006,Rural regions,No,0.78841,3144,4097,0.77590,0.80092
2011,Urban regions,Yes,0.12180,1187,7873,0.11458,0.12903
2011,Urban regions,No,0.80293,6686,7873,0.79414,0.81172
2011,Rural regions,Yes,0.18157,921,4211,0.16993,0.19322
2011,Rural regions,No,0.73906,3290,4211,0.72580,0.75233
2016,Urban regions,Yes,0.12977,1409,9377,0.12297,0.13657
2016,Urban regions,No,0.86475,7968,9377,0.85782,0.87167
2016,Rural regions,Yes,0.21058,1190,4925,0.19919,0.22197
2016,Rural regions,No,0.78450,3735,4925,0.77302,0.79599
2021,Urban regions,Yes,0.14038,1173,7409,0.13247,0.14829
2021,Urban regions,No,0.84686,6236,7409,0.83866,0.85506
2021,Rural regions,Yes,0.21220,927,3646,0.19892,0.22547
2021,Rural regions,No,0.77970,2719,3646,0.76625,0.79316
