,Unnamed: 0,year,bula_h,pet_cat,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1996,Schleswig-Holstein,No,1.0,127,6593,0.90135,1.08615
1,1,1996,Hamburg,No,1.0,72,6593,0.85863,1.13231
2,2,1996,Lower Saxony,Yes,0.11081,60,6593,0.09505,0.12973
3,3,1996,Lower Saxony,No,0.88919,471,6593,0.83606,0.93937
4,4,1996,Bremen,No,1.0,46,6593,0.81547,1.1554
5,5,1996,North Rhine-Westphalia,Yes,0.10851,141,6593,0.09656,0.11984
6,6,1996,North Rhine-Westphalia,No,0.89149,1148,6593,0.84796,0.92916
7,7,1996,Hesse,Yes,0.12217,50,6593,0.0992,0.15171
8,8,1996,Hesse,No,0.87783,417,6593,0.80748,0.95004
9,9,1996,"Rhineland-Palatinate, Saarland",Yes,0.16411,58,6593,0.1407,0.19286
10,10,1996,"Rhineland-Palatinate, Saarland",No,0.83589,289,6593,0.76013,0.89536
11,11,1996,Baden-Wuerttemberg,Yes,0.11444,94,6593,0.09837,0.13216
12,12,1996,Baden-Wuerttemberg,No,0.88556,746,6593,0.82956,0.94064
13,13,1996,Bavaria,Yes,0.12388,119,6593,0.11298,0.13679
14,14,1996,Bavaria,No,0.87612,742,6593,0.82482,0.92748
15,15,1996,Berlin,Yes,0.15994,45,6593,0.13377,0.19014
16,16,1996,Berlin,No,0.84006,265,6593,0.77411,0.90584
17,17,1996,Brandenburg,Yes,0.2319,72,6593,0.20391,0.2583
18,18,1996,Brandenburg,No,0.7681,228,6593,0.70324,0.82467
19,19,1996,Mecklenburg-Western Pomerania,Yes,0.22179,43,6593,0.18945,0.2629
20,20,1996,Mecklenburg-Western Pomerania,No,0.77821,156,6593,0.71564,0.84701
21,21,1996,Saxony,Yes,0.16677,101,6593,0.14995,0.18641
22,22,1996,Saxony,No,0.83323,447,6593,0.78679,0.87993
23,23,1996,Saxony-Anhalt,Yes,0.17495,59,6593,0.15028,0.20014
24,24,1996,Saxony-Anhalt,No,0.82505,271,6593,0.75987,0.88064
25,25,1996,Thuringa,Yes,0.16488,65,6593,0.14181,0.19183
26,26,1996,Thuringa,No,0.83512,261,6593,0.76188,0.90556
27,27,2001,Schleswig-Holstein,Yes,0.14088,56,11646,0.12046,0.15784
28,28,2001,Schleswig-Holstein,No,0.85912,307,11646,0.81241,0.91998
29,29,2001,Hamburg,No,1.0,161,11646,0.92158,1.07571
30,30,2001,Lower Saxony,Yes,0.14884,153,11646,0.137,0.1591
31,31,2001,Lower Saxony,No,0.85116,808,11646,0.81893,0.88628
32,32,2001,Bremen,No,1.0,85,11646,0.88217,1.11154
33,33,2001,North Rhine-Westphalia,Yes,0.106,285,11646,0.09804,0.11349
34,34,2001,North Rhine-Westphalia,No,0.894,2200,11646,0.87331,0.91523
35,35,2001,Hesse,Yes,0.12212,104,11646,0.11081,0.13479
36,36,2001,Hesse,No,0.87788,675,11646,0.83587,0.9138
37,37,2001,"Rhineland-Palatinate, Saarland",Yes,0.16847,131,11646,0.15425,0.18309
38,38,2001,"Rhineland-Palatinate, Saarland",No,0.83153,589,11646,0.7941,0.87569
39,39,2001,Baden-Wuerttemberg,Yes,0.14525,200,11646,0.13058,0.15875
40,40,2001,Baden-Wuerttemberg,No,0.85475,1162,11646,0.82301,0.89213
41,41,2001,Bavaria,Yes,0.15749,295,11646,0.14544,0.16868
42,42,2001,Bavaria,No,0.84251,1321,11646,0.81529,0.86928
43,43,2001,Berlin,Yes,0.14064,64,11646,0.12273,0.15998
44,44,2001,Berlin,No,0.85936,417,11646,0.82208,0.90182
45,45,2001,Brandenburg,Yes,0.27249,141,11646,0.2504,0.29591
46,46,2001,Brandenburg,No,0.72751,359,11646,0.69155,0.76478
47,47,2001,Mecklenburg-Western Pomerania,Yes,0.19221,59,11646,0.16616,0.22348
48,48,2001,Mecklenburg-Western Pomerania,No,0.80779,226,11646,0.75026,0.86134
