year,hhtyp,rentown,pet_cat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Single-person household,Owner,Yes,0.08942,37,293,0.05669,0.12215
1996,Single-person household,Owner,No,0.91058,256,293,0.87785,0.94331
1996,Single-person household,Tenant,Yes,0.08022,99,1140,0.06444,0.09599
1996,Single-person household,Tenant,No,0.91978,1041,1140,0.90401,0.93556
1996,Couple without children,Owner,Yes,0.17197,142,691,0.14381,0.20013
1996,Couple without children,Owner,No,0.82803,549,691,0.79987,0.85619
1996,Couple without children,Tenant,Yes,0.11614,117,1150,0.09761,0.13467
1996,Couple without children,Tenant,No,0.88386,1033,1150,0.86533,0.90239
1996,Single parent,Owner,No,0.81601,80,80,0.73057,0.90146
1996,Single parent,Tenant,Yes,0.18056,45,285,0.13582,0.22529
1996,Single parent,Tenant,No,0.81944,240,285,0.77471,0.86418
1996,Couple with children,Owner,Yes,0.18912,272,1173,0.16670,0.21154
1996,Couple with children,Owner,No,0.81088,901,1173,0.78846,0.83330
1996,Couple with children,Tenant,Yes,0.11994,152,1513,0.10356,0.13632
1996,Couple with children,Tenant,No,0.88006,1361,1513,0.86368,0.89644
1996,Multi-generational household,Owner,No,0.75588,48,48,0.63306,0.87869
1996,Multi-generational household,Tenant,No,0.90339,52,52,0.82231,0.98447
1996,Other Combinations,Owner,No,0.69795,49,49,0.56806,0.82785
1996,Other Combinations,Tenant,No,0.75564,76,76,0.65839,0.85289
2001,Single-person household,Owner,Yes,0.14820,136,773,0.12313,0.17326
2001,Single-person household,Owner,No,0.85180,637,773,0.82674,0.87687
2001,Single-person household,Tenant,Yes,0.09499,206,2153,0.08260,0.10738
2001,Single-person household,Tenant,No,0.90501,1947,2153,0.89262,0.91740
2001,Couple without children,Owner,Yes,0.16402,324,1781,0.14681,0.18122
2001,Couple without children,Owner,No,0.83598,1457,1781,0.81878,0.85319
2001,Couple without children,Tenant,Yes,0.12280,226,1808,0.10767,0.13793
2001,Couple without children,Tenant,No,0.87720,1582,1808,0.86207,0.89233
2001,Single parent,Owner,Yes,0.23718,49,192,0.17686,0.29751
2001,Single parent,Owner,No,0.76282,143,192,0.70249,0.82314
2001,Single parent,Tenant,Yes,0.14949,84,514,0.11863,0.18034
2001,Single parent,Tenant,No,0.85051,430,514,0.81966,0.88137
2001,Couple with children,Owner,Yes,0.23939,600,2339,0.22210,0.25669
2001,Couple with children,Owner,No,0.76061,1739,2339,0.74331,0.77790
2001,Couple with children,Tenant,Yes,0.14730,262,1836,0.13109,0.16352
2001,Couple with children,Tenant,No,0.85270,1574,1836,0.83648,0.86891
2001,Multi-generational household,Owner,Yes,0.35714,39,116,0.26957,0.44472
2001,Multi-generational household,Owner,No,0.64286,77,116,0.55528,0.73043
2001,Multi-generational household,Tenant,No,0.96346,41,41,0.90531,1.02161
2001,Other Combinations,Owner,No,0.69675,47,47,0.56391,0.82958
2001,Other Combinations,Tenant,No,0.77202,46,46,0.64944,0.89460
2006,Single-person household,Owner,Yes,0.11158,121,956,0.09161,0.13155
2006,Single-person household,Owner,No,0.88842,835,956,0.86845,0.90839
2006,Single-person household,Tenant,Yes,0.09514,228,2331,0.08323,0.10706
2006,Single-person household,Tenant,No,0.90486,2103,2331,0.89294,0.91677
2006,Couple without children,Owner,Yes,0.16228,394,2308,0.14724,0.17733
2006,Couple without children,Owner,No,0.83772,1914,2308,0.82267,0.85276
2006,Couple without children,Tenant,Yes,0.13413,260,1850,0.11860,0.14967
2006,Couple without children,Tenant,No,0.86587,1590,1850,0.85033,0.88140
2006,Single parent,Owner,Yes,0.27500,62,225,0.21652,0.33347
2006,Single parent,Owner,No,0.72500,163,225,0.66653,0.78348
2006,Single parent,Tenant,Yes,0.19371,109,547,0.16056,0.22686
2006,Single parent,Tenant,No,0.80629,438,547,0.77314,0.83944
2006,Couple with children,Owner,Yes,0.23991,588,2375,0.22273,0.25709
2006,Couple with children,Owner,No,0.76009,1787,2375,0.74291,0.77727
2006,Couple with children,Tenant,Yes,0.18636,282,1461,0.16639,0.20634
2006,Couple with children,Tenant,No,0.81364,1179,1461,0.79366,0.83361
2006,Multi-generational household,Owner,No,0.64669,48,48,0.51004,0.78335
2006,Other Combinations,Owner,No,0.83135,52,52,0.72859,0.93412
2006,Other Combinations,Tenant,No,0.88387,36,36,0.77773,0.99001
2011,Single-person household,Owner,Yes,0.12947,155,1075,0.10939,0.14955
2011,Single-person household,Owner,No,0.87017,920,1075,0.85007,0.89027
2011,Single-person household,Tenant,Yes,0.08659,220,2435,0.07542,0.09777
2011,Single-person household,Tenant,No,0.91093,2215,2435,0.89961,0.92224
2011,Couple without children,Owner,Yes,0.15559,427,2514,0.14141,0.16976
2011,Couple without children,Owner,No,0.84441,2087,2514,0.83024,0.85859
2011,Couple without children,Tenant,Yes,0.15782,304,1857,0.14124,0.17441
2011,Couple without children,Tenant,No,0.84151,1553,1857,0.82489,0.85812
2011,Single parent,Owner,Yes,0.22266,61,223,0.16793,0.27739
2011,Single parent,Owner,No,0.44989,162,223,0.38445,0.51533
