,Unnamed: 0,year,regtyp,rentown,pet_cat,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1996,Urban regions,Owner,Yes,0.13759,224,6631,0.12529,0.14909
1,1,1996,Urban regions,Owner,No,0.86241,1168,6631,0.83209,0.8873
2,2,1996,Urban regions,Tenant,Yes,0.10049,282,6631,0.09284,0.10874
3,3,1996,Urban regions,Tenant,No,0.89951,2723,6631,0.87549,0.92666
4,4,1996,Rural regions,Owner,Yes,0.21673,288,6631,0.2019,0.23509
5,5,1996,Rural regions,Owner,No,0.78327,715,6631,0.74929,0.82182
6,6,1996,Rural regions,Tenant,Yes,0.12573,151,6631,0.11253,0.14052
7,7,1996,Rural regions,Tenant,No,0.87427,1080,6631,0.82579,0.91526
8,8,2001,Urban regions,Owner,Yes,0.149,519,11680,0.14298,0.15713
9,9,2001,Urban regions,Owner,No,0.851,2619,11680,0.83569,0.87335
10,10,2001,Urban regions,Tenant,Yes,0.11081,528,11680,0.10615,0.11722
11,11,2001,Urban regions,Tenant,No,0.88919,4101,11680,0.87042,0.90744
12,12,2001,Rural regions,Owner,Yes,0.27104,648,11680,0.26082,0.2805
13,13,2001,Rural regions,Owner,No,0.72896,1481,11680,0.70635,0.7534
14,14,2001,Rural regions,Tenant,Yes,0.13627,265,11680,0.12546,0.14831
15,15,2001,Rural regions,Tenant,No,0.86373,1519,11680,0.83673,0.88823
16,16,2006,Urban regions,Owner,Yes,0.13275,562,12263,0.12438,0.1414
17,17,2006,Urban regions,Owner,No,0.86725,3133,12263,0.84199,0.89117
18,18,2006,Urban regions,Tenant,Yes,0.11807,579,12263,0.11135,0.12621
19,19,2006,Urban regions,Tenant,No,0.88193,3871,12263,0.86301,0.90124
20,20,2006,Rural regions,Owner,Yes,0.25685,642,12263,0.24147,0.27441
21,21,2006,Rural regions,Owner,No,0.74315,1666,12263,0.7143,0.77012
22,22,2006,Rural regions,Tenant,Yes,0.1634,311,12263,0.14912,0.17803
23,23,2006,Rural regions,Tenant,No,0.8366,1499,12263,0.80541,0.86176
24,24,2011,Urban regions,Owner,Yes,0.14444,576,12084,0.13325,0.15366
25,25,2011,Urban regions,Owner,No,0.85556,3011,12084,0.82984,0.88312
26,26,2011,Urban regions,Tenant,Yes,0.12238,610,12084,0.11281,0.13143
27,27,2011,Urban regions,Tenant,No,0.87762,3662,12084,0.8543,0.90212
28,28,2011,Rural regions,Owner,Yes,0.24121,621,12084,0.22468,0.26123
29,29,2011,Rural regions,Owner,No,0.75879,1736,12084,0.72958,0.79266
30,30,2011,Rural regions,Tenant,Yes,0.14597,301,12084,0.12878,0.16536
31,31,2011,Rural regions,Tenant,No,0.85403,1567,12084,0.81798,0.88968
32,32,2016,Urban regions,Owner,Yes,0.13942,611,14301,0.12673,0.15119
33,33,2016,Urban regions,Owner,No,0.86058,3154,14301,0.83043,0.88971
34,34,2016,Urban regions,Tenant,Yes,0.12441,795,14301,0.11431,0.13339
35,35,2016,Urban regions,Tenant,No,0.87559,4804,14301,0.85005,0.90684
36,36,2016,Rural regions,Owner,Yes,0.24614,718,14301,0.22423,0.26674
37,37,2016,Rural regions,Owner,No,0.75386,1819,14301,0.71508,0.79022
38,38,2016,Rural regions,Tenant,Yes,0.17364,475,14301,0.15391,0.19181
39,39,2016,Rural regions,Tenant,No,0.82636,1925,14301,0.78321,0.86784
40,40,2021,Urban regions,Owner,Yes,0.14908,536,11050,0.13441,0.16706
41,41,2021,Urban regions,Owner,No,0.85092,2585,11050,0.81524,0.88707
42,42,2021,Urban regions,Tenant,Yes,0.13798,634,11050,0.1249,0.1507
43,43,2021,Urban regions,Tenant,No,0.86202,3641,11050,0.82719,0.89335
44,44,2021,Rural regions,Owner,Yes,0.24702,566,11050,0.22566,0.27416
45,45,2021,Rural regions,Owner,No,0.75298,1393,11050,0.7078,0.80599
46,46,2021,Rural regions,Tenant,Yes,0.1769,364,11050,0.15572,0.2049
47,47,2021,Rural regions,Tenant,No,0.8231,1331,11050,0.7744,0.87513
