year,regtyp,sampreg,pet_cat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Urban regions,West,Yes,0.11490,430,3770,0.10472,0.12508
1996,Urban regions,West,No,0.88510,3340,3770,0.87492,0.89528
1996,Urban regions,East,Yes,0.10554,78,638,0.08168,0.12941
1996,Urban regions,East,No,0.89446,560,638,0.87059,0.91832
1996,Rural regions,West,Yes,0.13854,162,1023,0.11736,0.15972
1996,Rural regions,West,No,0.86146,861,1023,0.84028,0.88264
1996,Rural regions,East,Yes,0.21911,275,1200,0.19570,0.24253
1996,Rural regions,East,No,0.78089,925,1200,0.75747,0.80430
2001,Urban regions,West,Yes,0.12273,893,6828,0.11495,0.13051
2001,Urban regions,West,No,0.87727,5935,6828,0.86949,0.88505
2001,Urban regions,East,Yes,0.14846,154,955,0.12590,0.17102
2001,Urban regions,East,No,0.85154,801,955,0.82898,0.87410
2001,Rural regions,West,Yes,0.17880,403,2009,0.16204,0.19556
2001,Rural regions,West,No,0.82120,1606,2009,0.80444,0.83796
2001,Rural regions,East,Yes,0.24692,510,1888,0.22746,0.26638
2001,Rural regions,East,No,0.75308,1378,1888,0.73362,0.77254
2006,Urban regions,West,Yes,0.12192,974,7176,0.11435,0.12949
2006,Urban regions,West,No,0.87808,6202,7176,0.87051,0.88565
2006,Urban regions,East,Yes,0.13547,167,992,0.11416,0.15678
2006,Urban regions,East,No,0.86453,825,992,0.84322,0.88584
2006,Rural regions,West,Yes,0.20083,466,2161,0.18393,0.21772
2006,Rural regions,West,No,0.79917,1695,2161,0.78228,0.81607
2006,Rural regions,East,Yes,0.22819,487,1936,0.20949,0.24689
2006,Rural regions,East,No,0.77181,1449,1936,0.75311,0.79051
2011,Urban regions,West,Yes,0.13144,1023,6851,0.12344,0.13944
2011,Urban regions,West,No,0.86856,5828,6851,0.86056,0.87656
2011,Urban regions,East,Yes,0.13428,164,1022,0.11336,0.15519
2011,Urban regions,East,No,0.86572,858,1022,0.84481,0.88664
2011,Rural regions,West,Yes,0.18161,466,2341,0.16599,0.19723
2011,Rural regions,West,No,0.81839,1875,2341,0.80277,0.83401
2011,Rural regions,East,Yes,0.22348,455,1870,0.20459,0.24236
2011,Rural regions,East,No,0.77652,1415,1870,0.75764,0.79541
2016,Urban regions,West,Yes,0.12863,1215,8255,0.12141,0.13585
2016,Urban regions,West,No,0.87137,7040,8255,0.86415,0.87859
2016,Urban regions,East,Yes,0.14799,194,1122,0.12720,0.16877
2016,Urban regions,East,No,0.85201,928,1122,0.83123,0.87280
2016,Rural regions,West,Yes,0.19028,662,2973,0.17617,0.20439
2016,Rural regions,West,No,0.80972,2311,2973,0.79561,0.82383
2016,Rural regions,East,Yes,0.24941,528,1952,0.23021,0.26861
2016,Rural regions,East,No,0.75059,1424,1952,0.73139,0.76979
2021,Urban regions,West,Yes,0.14434,1032,6511,0.13580,0.15288
2021,Urban regions,West,No,0.85566,5479,6511,0.84712,0.86420
2021,Urban regions,East,Yes,0.11960,141,898,0.09837,0.14084
2021,Urban regions,East,No,0.88040,757,898,0.85916,0.90163
2021,Rural regions,West,Yes,0.19673,510,2153,0.17993,0.21352
2021,Rural regions,West,No,0.80327,1643,2153,0.78648,0.82007
2021,Rural regions,East,Yes,0.24407,417,1493,0.22228,0.26587
2021,Rural regions,East,No,0.75593,1076,1493,0.73413,0.77772
