year,hhtyp,pet_cat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Single-person household,Yes,0.08244,136,1433,0.06819,0.09668
1996,Single-person household,No,0.91756,1297,1433,0.90332,0.93181
1996,Couple without children,Yes,0.14180,259,1841,0.12586,0.15774
1996,Couple without children,No,0.85820,1582,1841,0.84226,0.87414
1996,Single parent,Yes,0.18164,67,387,0.14318,0.22010
1996,Single parent,No,0.81836,320,387,0.77990,0.85682
1996,Couple with children,Yes,0.15760,424,2686,0.14382,0.17138
1996,Couple with children,No,0.84240,2262,2686,0.82862,0.85618
1996,Multi-generational household,No,0.80006,100,100,0.72127,0.87884
1996,Other Combinations,Yes,0.27072,35,160,0.20166,0.33979
1996,Other Combinations,No,0.72928,125,160,0.66021,0.79834
2001,Single-person household,Yes,0.10901,342,2926,0.09772,0.12031
2001,Single-person household,No,0.89099,2584,2926,0.87969,0.90228
2001,Couple without children,Yes,0.14402,550,3589,0.13253,0.15551
2001,Couple without children,No,0.85598,3039,3589,0.84449,0.86747
2001,Single parent,Yes,0.17241,133,706,0.14452,0.20029
2001,Single parent,No,0.82759,573,706,0.79971,0.85548
2001,Couple with children,Yes,0.19858,862,4175,0.18647,0.21068
2001,Couple with children,No,0.80142,3313,4175,0.78932,0.81353
2001,Multi-generational household,Yes,0.27375,41,159,0.20422,0.34328
2001,Multi-generational household,No,0.72625,118,159,0.65672,0.79578
2001,Other Combinations,Yes,0.26641,32,125,0.18860,0.34423
2001,Other Combinations,No,0.73359,93,125,0.65577,0.81140
2006,Single-person household,Yes,0.09969,349,3288,0.08945,0.10993
2006,Single-person household,No,0.90031,2939,3288,0.89007,0.91055
2006,Couple without children,Yes,0.14864,654,4158,0.13783,0.15946
2006,Couple without children,No,0.85136,3504,4158,0.84054,0.86217
2006,Single parent,Yes,0.21230,171,772,0.18343,0.24117
2006,Single parent,No,0.78770,601,772,0.75883,0.81657
2006,Couple with children,Yes,0.21576,870,3837,0.20274,0.22878
2006,Couple with children,No,0.78424,2967,3837,0.77122,0.79726
2006,Multi-generational household,Yes,0.28872,33,105,0.20162,0.37581
2006,Multi-generational household,No,0.71128,72,105,0.62419,0.79838
2006,Other Combinations,No,0.85363,88,88,0.77936,0.92791
2011,Single-person household,Yes,0.09995,375,3510,0.09003,0.10988
2011,Single-person household,No,0.89823,3135,3510,0.88822,0.90823
2011,Couple without children,Yes,0.15655,731,4371,0.14578,0.16733
2011,Couple without children,No,0.84316,3640,4371,0.83238,0.85394
2011,Single parent,Yes,0.12435,179,784,0.10124,0.14747
2011,Single parent,No,0.40049,605,784,0.36617,0.43481
2011,Couple with children,Yes,0.19404,781,3240,0.18042,0.20766
2011,Couple with children,No,0.60034,2459,3240,0.58347,0.61721
2011,Multi-generational household,No,0.68735,60,60,0.56906,0.80564
2011,Other Combinations,No,0.77531,77,77,0.68147,0.86915
2016,Single-person household,Yes,0.10470,376,3388,0.09438,0.11501
2016,Single-person household,No,0.88909,3012,3388,0.87852,0.89967
2016,Couple without children,Yes,0.15778,668,4097,0.14662,0.16895
2016,Couple without children,No,0.84144,3429,4097,0.83026,0.85263
2016,Single parent,Yes,0.23509,385,1524,0.21379,0.25639
2016,Single parent,No,0.75854,1139,1524,0.73704,0.78003
2016,Couple with children,Yes,0.22151,1116,4990,0.20999,0.23303
2016,Couple with children,No,0.77092,3874,4990,0.75926,0.78258
2016,Multi-generational household,No,0.67021,78,78,0.56520,0.77522
2016,Other Combinations,No,0.78644,171,171,0.72483,0.84805
2021,Single-person household,Yes,0.11407,369,3188,0.10304,0.12511
2021,Single-person household,No,0.87551,2819,3188,0.86405,0.88697
2021,Couple without children,Yes,0.17074,590,3414,0.15812,0.18337
2021,Couple without children,No,0.82721,2824,3414,0.81452,0.83989
2021,Single parent,Yes,0.27636,264,896,0.24706,0.30565
2021,Single parent,No,0.70795,632,896,0.67816,0.73774
2021,Couple with children,Yes,0.21857,785,3162,0.20416,0.23298
2021,Couple with children,No,0.75858,2377,3162,0.74366,0.77350
2021,Multi-generational household,No,0.76426,48,48,0.64291,0.88561
2021,Other Combinations,Yes,0.18247,55,263,0.13571,0.22924
2021,Other Combinations,No,0.79105,208,263,0.74182,0.84028
