"year","alter_gr","bildungsniveau","mean","median","n","lower_confidence","upper_confidence"
"1984","16-34 Jahre alt","(Fach-)Abitur","","","","",""
"1984","16-34 Jahre alt","(noch) kein Abschluss","","","","",""
"1984","16-34 Jahre alt","AkademikerInnen","","","","",""
"1984","16-34 Jahre alt","Hauptschulabschluss","","","","",""
"1984","16-34 Jahre alt","Realschulabschluss","1047.6","1023","696","995.3","1099.9"
"1984","35-65 Jahre alt","(Fach-)Abitur","","","","",""
"1984","35-65 Jahre alt","(noch) kein Abschluss","1187.78","1227","496","1148.1","1227.46"
"1984","35-65 Jahre alt","AkademikerInnen","2468.86","2415.32","414","2343.47","2594.25"
"1984","35-65 Jahre alt","Hauptschulabschluss","","","","",""
"1984","35-65 Jahre alt","Realschulabschluss","1660.25","1536.23","474","1563.57","1756.93"
"1984","66 und Ã¤lter","(Fach-)Abitur","1504.47","1533.12","6","893.19","2115.75"
"1984","66 und Ã¤lter","(noch) kein Abschluss","","","","",""
"1984","66 und Ã¤lter","AkademikerInnen","2445.08","918.41","8","804.67","4085.49"
"1984","66 und Ã¤lter","Hauptschulabschluss","","","","",""
"1984","66 und Ã¤lter","Realschulabschluss","366.64","177.16","8","-287.08","1020.36"
"1985","16-34 Jahre alt","(Fach-)Abitur","","","","",""
"1985","16-34 Jahre alt","(noch) kein Abschluss","","","","",""
"1985","16-34 Jahre alt","AkademikerInnen","","","","",""
"1985","16-34 Jahre alt","Hauptschulabschluss","","","","",""
"1985","16-34 Jahre alt","Realschulabschluss","1055.98","1074","674","1006.22","1105.74"
"1985","35-65 Jahre alt","(Fach-)Abitur","","","","",""
"1985","35-65 Jahre alt","(noch) kein Abschluss","1216.41","1227","407","1178.3","1254.52"
"1985","35-65 Jahre alt","AkademikerInnen","2450.09","2403","399","2336.63","2563.55"
"1985","35-65 Jahre alt","Hauptschulabschluss","","","","",""
"1985","35-65 Jahre alt","Realschulabschluss","1789.8","1636","462","1666.66","1912.94"
"1985","66 und Ã¤lter","(Fach-)Abitur","953.02","623.16","8","309.1","1596.94"
"1985","66 und Ã¤lter","(noch) kein Abschluss","","","","",""
"1985","66 und Ã¤lter","AkademikerInnen","3398.3","2882.68","5","252.42","6544.18"
"1985","66 und Ã¤lter","Hauptschulabschluss","","","","",""
"1985","66 und Ã¤lter","Realschulabschluss","546.26","330.34","7","-108.49","1201.01"
"1986","16-34 Jahre alt","(Fach-)Abitur","","","","",""
"1986","16-34 Jahre alt","(noch) kein Abschluss","","","","",""
"1986","16-34 Jahre alt","AkademikerInnen","","","","",""
"1986","16-34 Jahre alt","Hauptschulabschluss","","","","",""
"1986","16-34 Jahre alt","Realschulabschluss","1089.14","1074","672","1034.5","1143.78"
"1986","35-65 Jahre alt","(Fach-)Abitur","","","","",""
"1986","35-65 Jahre alt","(noch) kein Abschluss","1250.77","1278","374","1206.03","1295.51"
"1986","35-65 Jahre alt","AkademikerInnen","2660.32","2556","398","2530.51","2790.13"
"1986","35-65 Jahre alt","Hauptschulabschluss","","","","",""
"1986","35-65 Jahre alt","Realschulabschluss","1785.71","1636","438","1686.56","1884.86"
"1986","66 und Ã¤lter","(Fach-)Abitur","1781.67","1287.49","4","342.57","3220.77"
"1986","66 und Ã¤lter","(noch) kein Abschluss","","","","",""
"1986","66 und Ã¤lter","AkademikerInnen","2573.17","2137.13","5","1097.71","4048.63"
"1986","66 und Ã¤lter","Hauptschulabschluss","","","","",""
"1986","66 und Ã¤lter","Realschulabschluss","916.22","451.65","7","14.7","1817.74"
"1987","16-34 Jahre alt","(Fach-)Abitur","","","","",""
"1987","16-34 Jahre alt","(noch) kein Abschluss","","","","",""
"1987","16-34 Jahre alt","AkademikerInnen","","","","",""
"1987","16-34 Jahre alt","Hauptschulabschluss","","","","",""
"1987","16-34 Jahre alt","Realschulabschluss","1110.06","1125","700","1062.43","1157.69"
"1987","35-65 Jahre alt","(Fach-)Abitur","","","","",""
"1987","35-65 Jahre alt","(noch) kein Abschluss","1285.58","1278","362","1226.25","1344.91"
"1987","35-65 Jahre alt","AkademikerInnen","2603.58","2556","398","2471.13","2736.03"
"1987","35-65 Jahre alt","Hauptschulabschluss","","","","",""
"1987","35-65 Jahre alt","Realschulabschluss","1823.31","1687","438","1712.34","1934.28"
"1987","66 und Ã¤lter","(Fach-)Abitur","","","","",""
"1987","66 und Ã¤lter","(noch) kein Abschluss","","","","",""
"1987","66 und Ã¤lter","AkademikerInnen","2981.04","2812.15","8","1864.48","4097.6"
"1987","66 und Ã¤lter","Hauptschulabschluss","","","","",""
"1987","66 und Ã¤lter","Realschulabschluss","527.59","191.93","4","-251.66","1306.84"
"1988","16-34 Jahre alt","(Fach-)Abitur","","","","",""
"1988","16-34 Jahre alt","(noch) kein Abschluss","","","","",""
"1988","16-34 Jahre alt","AkademikerInnen","","","","",""
"1988","16-34 Jahre alt","Hauptschulabschluss","","","","",""
"1988","16-34 Jahre alt","Realschulabschluss","1138.02","1176","668","1092.07","1183.97"
"1988","35-65 Jahre alt","(Fach-)Abitur","","","","",""
"1988","35-65 Jahre alt","(noch) kein Abschluss","1315.45","1329","317","1244.54","1386.36"
"1988","35-65 Jahre alt","AkademikerInnen","2724.91","2556","379","2583.23","2866.59"
"1988","35-65 Jahre alt","Hauptschulabschluss","","","","",""
"1988","35-65 Jahre alt","Realschulabschluss","1872.25","1790","441","1759.24","1985.26"
"1988","66 und Ã¤lter","(Fach-)Abitur","","","","",""
"1988","66 und Ã¤lter","(noch) kein Abschluss","","","","",""
"1988","66 und Ã¤lter","AkademikerInnen","","","","",""
"1988","66 und Ã¤lter","Hauptschulabschluss","","","","",""
"1988","66 und Ã¤lter","Realschulabschluss","684.27","184.7","5","-238.02","1606.56"
"1989","16-34 Jahre alt","(Fach-)Abitur","","","","",""
"1989","16-34 Jahre alt","(noch) kein Abschluss","","","","",""
"1989","16-34 Jahre alt","AkademikerInnen","","","","",""
"1989","16-34 Jahre alt","Hauptschulabschluss","","","","",""
"1989","16-34 Jahre alt","Realschulabschluss","1204.11","1227","679","1152.68","1255.54"
"1989","35-65 Jahre alt","(Fach-)Abitur","","","","",""
"1989","35-65 Jahre alt","(noch) kein Abschluss","","","","",""
"1989","35-65 Jahre alt","AkademikerInnen","2906.2","2608.14","376","2715.26","3097.14"
"1989","35-65 Jahre alt","Hauptschulabschluss","","","","",""
"1989","35-65 Jahre alt","Realschulabschluss","1929.51","1835.2","425","1820.51","2038.51"
"1989","66 und Ã¤lter","(Fach-)Abitur","1214.53","990.42","6","712.37","1716.69"
"1989","66 und Ã¤lter","(noch) kein Abschluss","","","","",""
"1989","66 und Ã¤lter","AkademikerInnen","","","","",""
"1989","66 und Ã¤lter","Hauptschulabschluss","","","","",""
"1989","66 und Ã¤lter","Realschulabschluss","","","","",""
"1990","16-34 Jahre alt","(Fach-)Abitur","1200.22","1192.2","333","1108.43","1292.01"
"1990","16-34 Jahre alt","(noch) kein Abschluss","1190.4","1329","96","1050.44","1330.36"
"1990","16-34 Jahre alt","AkademikerInnen","1551.92","1329","434","1456.09","1647.75"
"1990","16-34 Jahre alt","Hauptschulabschluss","","","","",""
"1990","16-34 Jahre alt","Realschulabschluss","","","","",""
"1990","35-65 Jahre alt","(Fach-)Abitur","","","","",""
"1990","35-65 Jahre alt","(noch) kein Abschluss","","","","",""
"1990","35-65 Jahre alt","AkademikerInnen","2090.78","1744.18","957","1985.5","2196.06"
"1990","35-65 Jahre alt","Hauptschulabschluss","","","","",""
"1990","35-65 Jahre alt","Realschulabschluss","1553.45","1432","879","1484.86","1622.04"
"1990","66 und Ã¤lter","(Fach-)Abitur","971.19","987.07","7","642.18","1300.2"
"1990","66 und Ã¤lter","(noch) kein Abschluss","","","","",""
"1990","66 und Ã¤lter","AkademikerInnen","","","","",""
"1990","66 und Ã¤lter","Hauptschulabschluss","","","","",""
"1990","66 und Ã¤lter","Realschulabschluss","790.06","628.84","7","363.94","1216.18"
"1991","16-34 Jahre alt","(Fach-)Abitur","1264.94","1278","350","1182.58","1347.3"
"1991","16-34 Jahre alt","(noch) kein Abschluss","","","","",""
"1991","16-34 Jahre alt","AkademikerInnen","1677.35","1329","390","1568.66","1786.04"
"1991","16-34 Jahre alt","Hauptschulabschluss","","","","",""
"1991","16-34 Jahre alt","Realschulabschluss","","","","",""
"1991","35-65 Jahre alt","(Fach-)Abitur","","","","",""
"1991","35-65 Jahre alt","(noch) kein Abschluss","","","","",""
"1991","35-65 Jahre alt","AkademikerInnen","2304.26","1940.05","924","2201.86","2406.66"
"1991","35-65 Jahre alt","Hauptschulabschluss","","","","",""
"1991","35-65 Jahre alt","Realschulabschluss","1631.8","1453.89","876","1555.63","1707.97"
"1991","66 und Ã¤lter","(Fach-)Abitur","1219.96","1222.76","7","752.42","1687.5"
"1991","66 und Ã¤lter","(noch) kein Abschluss","","","","",""
"1991","66 und Ã¤lter","AkademikerInnen","2124.96","900.32","9","475.1","3774.82"
"1991","66 und Ã¤lter","Hauptschulabschluss","","","","",""
"1991","66 und Ã¤lter","Realschulabschluss","624.45","409","6","43.13","1205.77"
"1992","16-34 Jahre alt","(Fach-)Abitur","1399.1","1432","340","1312.75","1485.45"
"1992","16-34 Jahre alt","(noch) kein Abschluss","1145.08","1186.41","95","980.81","1309.35"
"1992","16-34 Jahre alt","AkademikerInnen","1831.93","1616.2","352","1717","1946.86"
"1992","16-34 Jahre alt","Hauptschulabschluss","","","","",""
"1992","16-34 Jahre alt","Realschulabschluss","","","","",""
"1992","35-65 Jahre alt","(Fach-)Abitur","","","","",""
"1992","35-65 Jahre alt","(noch) kein Abschluss","","","","",""
"1992","35-65 Jahre alt","AkademikerInnen","2591.46","2454","900","2492.09","2690.83"
"1992","35-65 Jahre alt","Hauptschulabschluss","","","","",""
"1992","35-65 Jahre alt","Realschulabschluss","1860.9","1687","864","1788.69","1933.11"
"1992","66 und Ã¤lter","(Fach-)Abitur","610.43","424.02","4","80.6","1140.26"
"1992","66 und Ã¤lter","(noch) kein Abschluss","","","","",""
"1992","66 und Ã¤lter","AkademikerInnen","1254.47","1053.4","7","126.9","2382.04"
"1992","66 und Ã¤lter","Hauptschulabschluss","","","","",""
"1992","66 und Ã¤lter","Realschulabschluss","","","","",""
"1993","16-34 Jahre alt","(Fach-)Abitur","1431.56","1483","346","1344.4","1518.72"
"1993","16-34 Jahre alt","(noch) kein Abschluss","1116.33","1227","85","954.91","1277.75"
"1993","16-34 Jahre alt","AkademikerInnen","2127.26","2017.74","338","2009.1","2245.42"
"1993","16-34 Jahre alt","Hauptschulabschluss","","","","",""
"1993","16-34 Jahre alt","Realschulabschluss","","","","",""
"1993","35-65 Jahre alt","(Fach-)Abitur","","","","",""
"1993","35-65 Jahre alt","(noch) kein Abschluss","","","","",""
"1993","35-65 Jahre alt","AkademikerInnen","2896.54","2654.11","893","2783.09","3009.99"
"1993","35-65 Jahre alt","Hauptschulabschluss","","","","",""
"1993","35-65 Jahre alt","Realschulabschluss","2064.81","1790","879","1968.3","2161.32"
