"year","bildungsniveau","sampreg","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1984","(Fach-)Abitur","Ostdeutschland","","","","","","","","","","","","","",""
"1984","(Fach-)Abitur","Westdeutschland","1363.93","1262","463","281","614","1892","2373","4587","1282.94","1444.92","0","11039","1176","1324"
"1984","(noch) kein Abschluss","Ostdeutschland","","","","","","","","","","","","","",""
"1984","(noch) kein Abschluss","Westdeutschland","1085.59","1122.5","654","292","869","1380","1554","2199","1050.48","1120.7","0","6135","1125","1224"
"1984","AkademikerIn","Ostdeutschland","","","","","","","","","","","","","",""
"1984","AkademikerIn","Westdeutschland","2222.22","2095.5","620","895","1534","2710","3323","6180","2123.5","2320.94","0","11248","1994","2186"
"1984","Hauptschule","Ostdeutschland","","","","","","","","","","","","","",""
"1984","Hauptschule","Westdeutschland","1240.07","1226.5","4149","358","790","1565","1980","3403","1217.32","1262.82","0","16873","1208","1227"
"1984","Realschule","Ostdeutschland","","","","","","","","","","","","","",""
"1984","Realschule","Westdeutschland","1303.04","1212","1177","289","716","1652","2247","4090","1249.79","1356.29","0","10226","1154","1241"
"1985","(Fach-)Abitur","Ostdeutschland","","","","","","","","","","","","","",""
"1985","(Fach-)Abitur","Westdeutschland","1260.24","1189","436","252","508","1790","2301","4090","1183.61","1336.87","0","5701","1125","1278"
"1985","(noch) kein Abschluss","Ostdeutschland","","","","","","","","","","","","","",""
"1985","(noch) kein Abschluss","Westdeutschland","1057.82","1112","515","189","844","1329","1585","2260","1020.54","1095.1","31","3019","1125","1227"
"1985","AkademikerIn","Ostdeutschland","","","","","","","","","","","","","",""
"1985","AkademikerIn","Westdeutschland","2209.88","2090.5","591","844","1534","2766","3451","6001","2117.74","2302.02","71","7950","2045","2173"
"1985","Hauptschule","Ostdeutschland","","","","","","","","","","","","","",""
"1985","Hauptschule","Westdeutschland","1248.82","1245","3725","348","813","1585","1994","3579","1227.11","1270.53","0","9374","1227","1265"
"1985","Realschule","Ostdeutschland","","","","","","","","","","","","","",""
"1985","Realschule","Westdeutschland","1354.61","1259.5","1142","303","767","1738","2301","4090","1293.42","1415.8","0","20452","1177","1278"
"1986","(Fach-)Abitur","Ostdeutschland","","","","","","","","","","","","","",""
"1986","(Fach-)Abitur","Westdeutschland","1335.48","1275.5","441","300","522","1819","2456","4084","1260.15","1410.81","15","6187","1202","1329"
