"year","bildungsniveau","quintil_oecd","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1995","(Fach-)Abitur","1 Einkommensschwächstes Quintil","1102.13","1006.5","179","256","392","1585","2147","3157","986.41","1217.85","0","4994","895","1329"
"1995","(Fach-)Abitur","2","1505.23","1508.5","168","307","869","1994","2608","4018","1374.22","1636.24","0","4346","1413","1664"
"1995","(Fach-)Abitur","3","1925.02","1797","118","602","1380","2454","3085","4613","1743.36","2106.68","0","6135","1534","1841"
"1995","(Fach-)Abitur","4","2056.32","1917.5","103","614","1405","2556","3673","5011","1856.48","2256.16","0","5011","1730","1953"
"1995","(Fach-)Abitur","5 Einkommensstärkstes Quintil","2478.85","2659","53","713","1534","3293","3784","5624","2140.65","2817.05","246","5624","1933","3068"
"1995","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","1347.4","1435.5","127","332","844","1943","2045","2301","1232.97","1461.83","0","2863","1329","1687"
"1995","(noch) kein Abschluss","2","1558.5","1538","88","597","1091","1871","2352","3579","1424.14","1692.86","256","3579","1483","1738"
"1995","(noch) kein Abschluss","3","1330.18","1278","40","153","614","1790","2289","3068","1081.25","1579.11","153","3323","1227","1841"
"1995","(noch) kein Abschluss","4","","","","","","","","","","","","","",""
"1995","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","","","","","","","","","","","","","",""
"1995","AkademikerIn","1 Einkommensschwächstes Quintil","1566.81","1419","218","614","947","1866","2710","6140","1460.76","1672.86","0","6140","1329","1534"
"1995","AkademikerIn","2","2142.67","1825.5","335","1023","1380","2659","3527","4491","2022.33","2263.01","0","15605","1790","1943"
"1995","AkademikerIn","3","2662.18","2391.5","305","1278","1790","3323","4346","7669","2431.29","2893.07","0","32732","2152","2454"
"1995","AkademikerIn","4","3063.05","2810.5","265","1636","2199","3706","4857","7008","2903.19","3222.91","0","8948","2556","2812"
"1995","AkademikerIn","5 Einkommensstärkstes Quintil","4027.27","3553.5","221","2013","2820","4376","6135","15339","3570.43","4484.11","128","40903","3170","3593"
