year,sampreg,sex,pli0092_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,West,male,At least once per week,0.27424,1418,5347,0.26228,0.28620
1985,West,male,At least once per month,0.06001,333,5347,0.05364,0.06637
1985,West,male,Seldom,0.13840,752,5347,0.12915,0.14766
1985,West,male,Never,0.52735,2844,5347,0.51397,0.54074
1985,West,female,At least once per week,0.20761,1042,5541,0.19693,0.21829
1985,West,female,At least once per month,0.03787,207,5541,0.03285,0.04290
1985,West,female,Seldom,0.11785,679,5541,0.10936,0.12634
1985,West,female,Never,0.63667,3613,5541,0.62401,0.64934
1986,West,male,At least once per week,0.28980,1484,5174,0.27744,0.30216
1986,West,male,At least once per month,0.06032,323,5174,0.05383,0.06681
1986,West,male,Seldom,0.13338,681,5174,0.12411,0.14264
1986,West,male,Never,0.51650,2686,5174,0.50288,0.53012
1986,West,female,At least once per week,0.20728,1048,5293,0.19636,0.21820
1986,West,female,At least once per month,0.04645,241,5293,0.04078,0.05212
1986,West,female,Seldom,0.10682,593,5293,0.09849,0.11514
1986,West,female,Never,0.63945,3411,5293,0.62652,0.65239
1988,West,male,At least once per week,0.28210,1379,4888,0.26948,0.29471
1988,West,male,At least once per month,0.05896,291,4888,0.05236,0.06557
1988,West,male,Seldom,0.14885,703,4888,0.13887,0.15883
1988,West,male,Never,0.51009,2515,4888,0.49608,0.52411
1988,West,female,At least once per week,0.22161,1036,4977,0.21007,0.23315
1988,West,female,At least once per month,0.04835,229,4977,0.04239,0.05432
1988,West,female,Seldom,0.12383,628,4977,0.11468,0.13298
1988,West,female,Never,0.60621,3084,4977,0.59263,0.61978
1990,West,male,At least once per week,0.31606,1413,4637,0.30268,0.32945
1990,West,male,At least once per month,0.10008,457,4637,0.09144,0.10872
1990,West,male,Seldom,0.21956,953,4637,0.20764,0.23148
1990,West,male,Never,0.36430,1814,4637,0.35044,0.37815
1990,West,female,At least once per week,0.26513,1178,4763,0.25259,0.27766
1990,West,female,At least once per month,0.07557,345,4763,0.06806,0.08308
1990,West,female,Seldom,0.17794,836,4763,0.16708,0.18881
1990,West,female,Never,0.48136,2404,4763,0.46717,0.49555
1990,East,male,At least once per week,0.16553,356,2047,0.14943,0.18164
1990,East,male,At least once per month,0.04493,98,2047,0.03595,0.05390
1990,East,male,Seldom,0.15751,338,2047,0.14172,0.17329
1990,East,male,Never,0.63203,1255,2047,0.61113,0.65293
1990,East,female,At least once per week,0.09289,219,2240,0.08086,0.10491
1990,East,female,At least once per month,0.01842,49,2240,0.01285,0.02399
1990,East,female,Seldom,0.11166,290,2240,0.09862,0.12471
1990,East,female,Never,0.77703,1682,2240,0.75978,0.79427
1992,West,male,At least once per week,0.27661,1238,4492,0.26352,0.28969
1992,West,male,At least once per month,0.08346,364,4492,0.07537,0.09155
1992,West,male,Seldom,0.17548,781,4492,0.16435,0.18660
1992,West,male,Never,0.46446,2109,4492,0.44987,0.47904
1992,West,female,At least once per week,0.23797,1051,4652,0.22573,0.25021
1992,West,female,At least once per month,0.05279,253,4652,0.04636,0.05921
1992,West,female,Seldom,0.14442,692,4652,0.13431,0.15452
1992,West,female,Never,0.56483,2656,4652,0.55058,0.57908
1992,East,male,At least once per week,0.14357,280,1866,0.12765,0.15948
1992,East,male,At least once per month,0.05230,97,1866,0.04219,0.06240
1992,East,male,Seldom,0.18134,369,1866,0.16386,0.19883
1992,East,male,Never,0.62279,1120,1866,0.60080,0.64479
1992,East,female,At least once per week,0.10041,217,2060,0.08743,0.11340
1992,East,female,At least once per month,0.02167,48,2060,0.01538,0.02796
1992,East,female,Seldom,0.13753,340,2060,0.12265,0.15241
1992,East,female,Never,0.74039,1455,2060,0.72145,0.75932
1994,West,male,At least once per week,0.27545,1202,4353,0.26217,0.28872
1994,West,male,At least once per month,0.07242,357,4353,0.06472,0.08012
1994,West,male,Seldom,0.20445,854,4353,0.19246,0.21643
1994,West,male,Never,0.44769,1940,4353,0.43291,0.46246
1994,West,female,At least once per week,0.23471,988,4597,0.22246,0.24697
1994,West,female,At least once per month,0.05842,268,4597,0.05164,0.06520
1994,West,female,Seldom,0.15349,771,4597,0.14306,0.16391
1994,West,female,Never,0.55338,2570,4597,0.53901,0.56775
1994,East,male,At least once per week,0.13963,261,1764,0.12345,0.15581
1994,East,male,At least once per month,0.04790,88,1764,0.03793,0.05787
1994,East,male,Seldom,0.17711,346,1764,0.15929,0.19494
1994,East,male,Never,0.63535,1069,1764,0.61289,0.65782
1994,East,female,At least once per week,0.09527,200,1948,0.08223,0.10831
1994,East,female,At least once per month,0.02875,61,1948,0.02133,0.03617
1994,East,female,Seldom,0.12930,303,1948,0.11439,0.14420
1994,East,female,Never,0.74668,1384,1948,0.72737,0.76600
1995,West,male,At least once per week,0.32123,1461,4628,0.30778,0.33469
1995,West,male,At least once per month,0.09243,405,4628,0.08408,0.10078
1995,West,male,Seldom,0.21869,987,4628,0.20678,0.23060
