year,migback,sampreg,pli0092_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,No migration background,West,At least once per week,0.24529,2027,7872,0.23579,0.25480
1985,No migration background,West,At least once per month,0.04936,420,7872,0.04457,0.05415
1985,No migration background,West,Seldom,0.12966,1104,7872,0.12224,0.13708
1985,No migration background,West,Never,0.57569,4321,7872,0.56477,0.58661
1985,Direct migration background,West,At least once per week,0.17344,385,2878,0.15961,0.18728
1985,Direct migration background,West,At least once per month,0.03744,110,2878,0.03050,0.04437
1985,Direct migration background,West,Seldom,0.10465,300,2878,0.09347,0.11584
1985,Direct migration background,West,Never,0.68447,2083,2878,0.66749,0.70145
1985,Indirect migration background,West,At least once per week,0.33051,48,101,0.23831,0.42271
1985,Indirect migration background,West,Never,0.43865,53,101,0.34139,0.53591
1986,No migration background,West,At least once per week,0.25426,2053,7517,0.24441,0.26410
1986,No migration background,West,At least once per month,0.05340,430,7517,0.04831,0.05848
1986,No migration background,West,Seldom,0.12091,979,7517,0.11354,0.12828
1986,No migration background,West,Never,0.57144,4055,7517,0.56025,0.58262
1986,Direct migration background,West,At least once per week,0.16837,419,2798,0.15450,0.18224
1986,Direct migration background,West,At least once per month,0.04989,122,2798,0.04182,0.05796
1986,Direct migration background,West,Seldom,0.10282,271,2798,0.09157,0.11408
1986,Direct migration background,West,Never,0.67892,1986,2798,0.66162,0.69622
1986,Indirect migration background,West,At least once per week,0.36734,60,116,0.27923,0.45545
1986,Indirect migration background,West,Never,0.41552,56,116,0.32545,0.50559
1988,No migration background,West,At least once per week,0.25914,1944,7010,0.24888,0.26940
1988,No migration background,West,At least once per month,0.05587,417,7010,0.05049,0.06125
1988,No migration background,West,Seldom,0.13864,1039,7010,0.13055,0.14673
1988,No migration background,West,Never,0.54635,3610,7010,0.53470,0.55801
1988,Direct migration background,West,At least once per week,0.17092,387,2638,0.15655,0.18529
1988,Direct migration background,West,At least once per month,0.03061,85,2638,0.02404,0.03719
1988,Direct migration background,West,Seldom,0.11016,253,2638,0.09821,0.12212
1988,Direct migration background,West,Never,0.68831,1913,2638,0.67063,0.70598
1988,Indirect migration background,West,At least once per week,0.28979,84,199,0.22660,0.35299
1988,Indirect migration background,West,Seldom,0.13822,39,199,0.09015,0.18629
1988,Indirect migration background,West,Never,0.50314,76,199,0.43350,0.57279
1990,No migration background,West,At least once per week,0.30018,2061,6607,0.28912,0.31123
1990,No migration background,West,At least once per month,0.09021,613,6607,0.08330,0.09712
1990,No migration background,West,Seldom,0.20260,1397,6607,0.19291,0.21229
1990,No migration background,West,Never,0.40701,2536,6607,0.39516,0.41886
1990,No migration background,East,At least once per week,0.12709,559,4151,0.11696,0.13723
1990,No migration background,East,At least once per month,0.03126,143,4151,0.02597,0.03656
1990,No migration background,East,Seldom,0.13591,617,4151,0.12548,0.14633
1990,No migration background,East,Never,0.70574,2832,4151,0.69188,0.71961
1990,Direct migration background,West,At least once per week,0.20325,417,2502,0.18748,0.21903
1990,Direct migration background,West,At least once per month,0.06139,147,2502,0.05198,0.07079
1990,Direct migration background,West,Seldom,0.16162,344,2502,0.14720,0.17605
1990,Direct migration background,West,Never,0.57374,1594,2502,0.55436,0.59312
1990,Direct migration background,East,Never,0.78679,104,104,0.70770,0.86589
1990,Indirect migration background,West,At least once per week,0.34619,113,291,0.29143,0.40094
1990,Indirect migration background,West,At least once per month,0.13167,42,291,0.09276,0.17059
1990,Indirect migration background,West,Seldom,0.20179,48,291,0.15560,0.24799
1990,Indirect migration background,West,Never,0.32035,88,291,0.26664,0.37405
1992,No migration background,West,At least once per week,0.26682,1791,6417,0.25600,0.27765
1992,No migration background,West,At least once per month,0.07072,472,6417,0.06444,0.07699
1992,No migration background,West,Seldom,0.16193,1103,6417,0.15292,0.17095
