year,age_gr,sex,pli0092_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,17-29 y.,male,At least once per week,0.43824,669,1597,0.41389,0.46258
1985,17-29 y.,male,At least once per month,0.09220,155,1597,0.07800,0.10639
1985,17-29 y.,male,Seldom,0.18846,302,1597,0.16927,0.20765
1985,17-29 y.,male,Never,0.28111,471,1597,0.25905,0.30316
1985,17-29 y.,female,At least once per week,0.34267,423,1514,0.31876,0.36659
1985,17-29 y.,female,At least once per month,0.06225,90,1514,0.05008,0.07443
1985,17-29 y.,female,Seldom,0.22021,312,1514,0.19933,0.24109
1985,17-29 y.,female,Never,0.37486,689,1514,0.35047,0.39925
1985,30-45 y.,male,At least once per week,0.33331,485,1693,0.31085,0.35578
1985,30-45 y.,male,At least once per month,0.07012,113,1693,0.05795,0.08228
1985,30-45 y.,male,Seldom,0.18063,279,1693,0.16230,0.19896
1985,30-45 y.,male,Never,0.41594,816,1693,0.39245,0.43942
1985,30-45 y.,female,At least once per week,0.25991,353,1753,0.23937,0.28044
1985,30-45 y.,female,At least once per month,0.04496,66,1753,0.03526,0.05466
1985,30-45 y.,female,Seldom,0.16285,249,1753,0.14556,0.18014
1985,30-45 y.,female,Never,0.53228,1085,1753,0.50892,0.55564
1985,46-65 y.,male,At least once per week,0.15615,223,1630,0.13852,0.17377
1985,46-65 y.,male,At least once per month,0.03889,55,1630,0.02950,0.04828
1985,46-65 y.,male,Seldom,0.10120,157,1630,0.08655,0.11584
1985,46-65 y.,male,Never,0.70377,1195,1630,0.68160,0.72594
1985,46-65 y.,female,At least once per week,0.15857,224,1622,0.14078,0.17635
1985,46-65 y.,female,At least once per month,0.03096,43,1622,0.02253,0.03939
1985,46-65 y.,female,Seldom,0.06965,104,1622,0.05726,0.08204
1985,46-65 y.,female,Never,0.74082,1251,1622,0.71949,0.76215
1985,66 and older,male,At least once per week,0.09128,41,403,0.06312,0.11943
1985,66 and older,male,Never,0.85247,362,403,0.81780,0.88713
1985,66 and older,female,At least once per week,0.06645,42,630,0.04698,0.08591
1985,66 and older,female,Never,0.90044,588,630,0.87705,0.92384
1986,17-29 y.,male,At least once per week,0.48374,755,1577,0.45906,0.50841
1986,17-29 y.,male,At least once per month,0.07241,116,1577,0.05961,0.08520
1986,17-29 y.,male,Seldom,0.18431,268,1577,0.16517,0.20345
1986,17-29 y.,male,Never,0.25955,438,1577,0.23790,0.28119
1986,17-29 y.,female,At least once per week,0.32708,426,1463,0.30304,0.35113
1986,17-29 y.,female,At least once per month,0.07709,100,1463,0.06342,0.09077
1986,17-29 y.,female,Seldom,0.22066,290,1463,0.19940,0.24192
1986,17-29 y.,female,Never,0.37516,647,1463,0.35034,0.39998
1986,30-45 y.,male,At least once per week,0.31494,435,1574,0.29199,0.33790
1986,30-45 y.,male,At least once per month,0.09285,136,1574,0.07850,0.10719
1986,30-45 y.,male,Seldom,0.17935,251,1574,0.16039,0.19831
1986,30-45 y.,male,Never,0.41286,752,1574,0.38853,0.43719
1986,30-45 y.,female,At least once per week,0.26907,361,1671,0.24780,0.29034
1986,30-45 y.,female,At least once per month,0.06366,88,1671,0.05195,0.07537
1986,30-45 y.,female,Seldom,0.14535,214,1671,0.12845,0.16226
1986,30-45 y.,female,Never,0.52192,1008,1671,0.49796,0.54588
1986,46-65 y.,male,At least once per week,0.18656,257,1611,0.16753,0.20559
1986,46-65 y.,male,At least once per month,0.03947,63,1611,0.02995,0.04898
1986,46-65 y.,male,Seldom,0.09607,152,1611,0.08167,0.11046
1986,46-65 y.,male,Never,0.67791,1139,1611,0.65508,0.70073
1986,46-65 y.,female,At least once per week,0.16497,222,1560,0.14655,0.18340
1986,46-65 y.,female,At least once per month,0.03066,43,1560,0.02210,0.03921
1986,46-65 y.,female,Seldom,0.05620,82,1560,0.04477,0.06763
1986,46-65 y.,female,Never,0.74817,1213,1560,0.72663,0.76972
1986,66 and older,male,At least once per week,0.08290,37,394,0.05564,0.11016
1986,66 and older,male,Never,0.87767,357,394,0.84527,0.91007
1986,66 and older,female,At least once per week,0.06586,39,582,0.04569,0.08603
1986,66 and older,female,Never,0.90704,543,582,0.88343,0.93065
1988,17-29 y.,male,At least once per week,0.45541,680,1485,0.43007,0.48075
1988,17-29 y.,male,At least once per month,0.06860,110,1485,0.05574,0.08146
1988,17-29 y.,male,Seldom,0.18846,261,1485,0.16856,0.20836
1988,17-29 y.,male,Never,0.28752,434,1485,0.26450,0.31055
1988,17-29 y.,female,At least once per week,0.34061,397,1372,0.31552,0.36569
1988,17-29 y.,female,At least once per month,0.08532,105,1372,0.07054,0.10011
1988,17-29 y.,female,Seldom,0.22130,282,1372,0.19933,0.24327
1988,17-29 y.,female,Never,0.35277,588,1372,0.32748,0.37806
1988,30-45 y.,male,At least once per week,0.32490,413,1435,0.30066,0.34914
1988,30-45 y.,male,At least once per month,0.07894,107,1435,0.06499,0.09290
1988,30-45 y.,male,Seldom,0.20929,272,1435,0.18824,0.23035
1988,30-45 y.,male,Never,0.38686,643,1435,0.36165,0.41207
1988,30-45 y.,female,At least once per week,0.27851,346,1490,0.25574,0.30128
1988,30-45 y.,female,At least once per month,0.05598,64,1490,0.04430,0.06766
1988,30-45 y.,female,Seldom,0.18782,230,1490,0.16798,0.20766
1988,30-45 y.,female,Never,0.47769,850,1490,0.45232,0.50306
1988,46-65 y.,male,At least once per week,0.18197,244,1558,0.16281,0.20113
1988,46-65 y.,male,At least once per month,0.04932,64,1558,0.03856,0.06007
1988,46-65 y.,male,Seldom,0.11091,153,1558,0.09532,0.12651
1988,46-65 y.,male,Never,0.65780,1097,1558,0.63423,0.68137
1988,46-65 y.,female,At least once per week,0.18559,239,1507,0.16596,0.20523
1988,46-65 y.,female,At least once per month,0.03983,52,1507,0.02995,0.04971
1988,46-65 y.,female,Seldom,0.07349,101,1507,0.06031,0.08667
1988,46-65 y.,female,Never,0.70109,1115,1507,0.67797,0.72421
1988,66 and older,male,At least once per week,0.10200,42,383,0.07165,0.13235
