year,pgisced97,regtyp,pli0092_h,proportion,n,proportion_lower_confidence,proportion_upper_confidence
1985,Pre-primary Level,Urban regions,At least once per week,0.5774647887323944,14443,0.5694087494963593,0.5855208279684294
1985,Pre-primary Level,Urban regions,Seldom,0.18309859154929578,14443,0.17679112886370216,0.1894060542348894
1985,Pre-primary Level,Urban regions,Never,0.14084507042253522,14443,0.13517179413008792,0.1465183467149825
1985,Pre-primary Level,Urban regions,At least once per month,0.09859154929577464,14443,0.09372962688321303,0.10345347170833626
1985,Pre-primary Level,Rural regions,At least once per week,0.6666666666666666,14443,0.6589785297527935,0.6743548035805398
1985,Pre-primary Level,Rural regions,Never,0.2222222222222222,14443,0.2154419227823809,0.22900252166206353
1985,Pre-primary Level,Rural regions,Seldom,0.05555555555555555,14443,0.05181979251340732,0.059291318597703785
1985,Pre-primary Level,Rural regions,At least once per month,0.05555555555555555,14443,0.05181979251340732,0.059291318597703785
1985,Primary Level,Urban regions,Never,0.869198312236287,14443,0.8636991886907879,0.874697435781786
1985,Primary Level,Urban regions,Seldom,0.06469760900140648,14443,0.0606857329809486,0.06870948502186436
1985,Primary Level,Urban regions,At least once per week,0.05063291139240506,14443,0.04705721281424462,0.05420860997056551
1985,Primary Level,Urban regions,At least once per month,0.015471167369901548,14443,0.013458355765537387,0.017483978974265707
1985,Primary Level,Rural regions,Never,0.8484848484848485,14443,0.8426372513627042,0.8543324456069928
1985,Primary Level,Rural regions,At least once per week,0.10101010101010101,14443,0.09609551234740663,0.10592468967279539
1985,Primary Level,Rural regions,Seldom,0.050505050505050504,14443,0.046933629076191384,0.054076471933909624
1985,Lower Secondary Level,Urban regions,Never,0.7062068965517241,14443,0.6987781739526547,0.7136356191507934
1985,Lower Secondary Level,Urban regions,At least once per week,0.15816091954022987,14443,0.15220989833372958,0.16411194074673016
1985,Lower Secondary Level,Urban regions,Seldom,0.09839080459770115,14443,0.09353329365135708,0.10324831554404522
1985,Lower Secondary Level,Urban regions,At least once per month,0.037241379310344824,14443,0.03415322528929197,0.04032953333139768
1985,Lower Secondary Level,Rural regions,Never,0.7070422535211267,14443,0.6996197135829266,0.7144647934593268
