"pli0092_h","year","alter_gr","migback","n","percent","lower_confidence","upper_confidence"
"Taeglich","1984","16-34 Jahre alt","kein Migrationshintergrund","","","",""
"Taeglich","1984","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"Taeglich","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"Taeglich","1984","35-65 Jahre alt","kein Migrationshintergrund","","","",""
"Taeglich","1984","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"Taeglich","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Taeglich","1984","66 und älter","kein Migrationshintergrund","","","",""
"Taeglich","1984","66 und älter","direkter Migrationshintergrund","","","",""
"Taeglich","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1984","16-34 Jahre alt","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","1984","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1984","35-65 Jahre alt","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","1984","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1984","66 und älter","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","1984","66 und älter","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1984","16-34 Jahre alt","kein Migrationshintergrund","","","",""
"Min 1x pro Monat","1984","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"Min 1x pro Monat","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1984","35-65 Jahre alt","kein Migrationshintergrund","","","",""
"Min 1x pro Monat","1984","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
