year,migback,pgisced97,pli0092_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,No migration background,Pre-primary Level,At least once per week,0.60356,93,93,0.50360,0.70352
1985,No migration background,Primary Level,Never,0.69689,55,55,0.57430,0.81948
1985,No migration background,Lower Secondary Level,At least once per week,0.17137,382,2059,0.15509,0.18766
1985,No migration background,Lower Secondary Level,At least once per month,0.03649,83,2059,0.02839,0.04459
1985,No migration background,Lower Secondary Level,Seldom,0.08432,196,2059,0.07231,0.09632
1985,No migration background,Lower Secondary Level,Never,0.70782,1398,2059,0.68817,0.72747
1985,No migration background,Upper Secondary Level,At least once per week,0.23874,1035,4168,0.22580,0.25169
1985,No migration background,Upper Secondary Level,At least once per month,0.04962,223,4168,0.04303,0.05622
1985,No migration background,Upper Secondary Level,Seldom,0.14210,630,4168,0.13149,0.15270
1985,No migration background,Upper Secondary Level,Never,0.56954,2280,4168,0.55450,0.58457
1985,No migration background,Post-secondary Non-tertiary Level,At least once per week,0.36483,63,162,0.29047,0.43919
1985,No migration background,Post-secondary Non-tertiary Level,Seldom,0.20050,35,162,0.13866,0.26235
1985,No migration background,Post-secondary Non-tertiary Level,Never,0.38874,64,162,0.31344,0.46403
1985,No migration background,First Stage of Tertiary Education,At least once per week,0.28959,163,560,0.25199,0.32719
1985,No migration background,First Stage of Tertiary Education,At least once per month,0.06444,38,560,0.04409,0.08479
1985,No migration background,First Stage of Tertiary Education,Seldom,0.15455,95,560,0.12458,0.18451
1985,No migration background,First Stage of Tertiary Education,Never,0.49142,264,560,0.44998,0.53287
1985,No migration background,Second Stage of Tertiary Education,At least once per week,0.40397,264,635,0.36577,0.44217
1985,No migration background,Second Stage of Tertiary Education,At least once per month,0.07297,51,635,0.05272,0.09321
1985,No migration background,Second Stage of Tertiary Education,Seldom,0.17615,116,635,0.14650,0.20581
1985,No migration background,Second Stage of Tertiary Education,Never,0.34691,204,635,0.30986,0.38396
1985,Direct migration background,No answer / don't know,Never,0.67589,48,48,0.54208,0.80970
