year,age_gr,pli0092_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,17-29 y.,At least once per week,0.39108,1092,3111,0.37393,0.40823
1985,17-29 y.,At least once per month,0.07742,245,3111,0.06803,0.08681
1985,17-29 y.,Seldom,0.20413,614,3111,0.18996,0.21829
1985,17-29 y.,Never,0.32738,1160,3111,0.31088,0.34387
1985,30-45 y.,At least once per week,0.29678,838,3446,0.28152,0.31203
1985,30-45 y.,At least once per month,0.05759,179,3446,0.04981,0.06537
1985,30-45 y.,Seldom,0.17178,528,3446,0.15919,0.18438
1985,30-45 y.,Never,0.47385,1901,3446,0.45717,0.49052
1985,46-65 y.,At least once per week,0.15741,447,3252,0.14489,0.16993
1985,46-65 y.,At least once per month,0.03474,98,3252,0.02845,0.04104
1985,46-65 y.,Seldom,0.08471,261,3252,0.07513,0.09428
1985,46-65 y.,Never,0.72314,2446,3252,0.70776,0.73852
1985,66 and older,At least once per week,0.07527,83,1033,0.05917,0.09137
1985,66 and older,Never,0.88340,950,1033,0.86381,0.90298
1986,17-29 y.,At least once per week,0.40731,1181,3040,0.38984,0.42477
1986,17-29 y.,At least once per month,0.07469,216,3040,0.06535,0.08404
1986,17-29 y.,Seldom,0.20205,558,3040,0.18777,0.21632
1986,17-29 y.,Never,0.31595,1085,3040,0.29943,0.33248
1986,30-45 y.,At least once per week,0.29229,796,3245,0.27663,0.30794
1986,30-45 y.,At least once per month,0.07843,224,3245,0.06918,0.08768
1986,30-45 y.,Seldom,0.16256,465,3245,0.14986,0.17525
1986,30-45 y.,Never,0.46673,1760,3245,0.44956,0.48389
1986,46-65 y.,At least once per week,0.17525,479,3171,0.16202,0.18849
1986,46-65 y.,At least once per month,0.03485,106,3171,0.02847,0.04124
1986,46-65 y.,Seldom,0.07519,234,3171,0.06601,0.08436
1986,46-65 y.,Never,0.71471,2352,3171,0.69899,0.73043
1986,66 and older,At least once per week,0.07201,76,976,0.05578,0.08824
1986,66 and older,Never,0.89644,900,976,0.87731,0.91556
1988,17-29 y.,At least once per week,0.39995,1077,2857,0.38198,0.41792
1988,17-29 y.,At least once per month,0.07668,215,2857,0.06692,0.08644
1988,17-29 y.,Seldom,0.20433,543,2857,0.18954,0.21911
1988,17-29 y.,Never,0.31904,1022,2857,0.30195,0.33614
1988,30-45 y.,At least once per week,0.30208,759,2925,0.28544,0.31873
1988,30-45 y.,At least once per month,0.06765,171,2925,0.05855,0.07675
1988,30-45 y.,Seldom,0.19873,502,2925,0.18427,0.21320
1988,30-45 y.,Never,0.43153,1493,2925,0.41358,0.44948
1988,46-65 y.,At least once per week,0.18383,483,3065,0.17012,0.19755
1988,46-65 y.,At least once per month,0.04444,116,3065,0.03715,0.05174
1988,46-65 y.,Seldom,0.09169,254,3065,0.08147,0.10191
1988,46-65 y.,Never,0.68003,2212,3065,0.66352,0.69655
1988,66 and older,At least once per week,0.09391,96,1000,0.07582,0.11200
1988,66 and older,Seldom,0.03174,32,1000,0.02087,0.04261
1988,66 and older,Never,0.85657,872,1000,0.83483,0.87830
1990,17-29 y.,At least once per week,0.39154,1318,3820,0.37606,0.40702
1990,17-29 y.,At least once per month,0.10070,360,3820,0.09116,0.11025
1990,17-29 y.,Seldom,0.23451,831,3820,0.22107,0.24795
1990,17-29 y.,Never,0.27324,1311,3820,0.25911,0.28738
1990,30-45 y.,At least once per week,0.31061,1047,4244,0.29668,0.32453
1990,30-45 y.,At least once per month,0.09577,316,4244,0.08691,0.10462
1990,30-45 y.,Seldom,0.24194,915,4244,0.22906,0.25483
1990,30-45 y.,Never,0.35168,1966,4244,0.33732,0.36605
1990,46-65 y.,At least once per week,0.19903,662,4192,0.18694,0.21112
1990,46-65 y.,At least once per month,0.06660,238,4192,0.05905,0.07415
1990,46-65 y.,Seldom,0.16664,587,4192,0.15535,0.17792
1990,46-65 y.,Never,0.56773,2705,4192,0.55273,0.58273
1990,66 and older,At least once per week,0.09930,139,1431,0.08380,0.11480
1990,66 and older,At least once per month,0.03024,35,1431,0.02136,0.03911
1990,66 and older,Seldom,0.06205,84,1431,0.04955,0.07456
1990,66 and older,Never,0.80840,1173,1431,0.78801,0.82880
1992,17-29 y.,At least once per week,0.38102,1229,3524,0.36498,0.39706
1992,17-29 y.,At least once per month,0.09200,328,3524,0.08245,0.10154
1992,17-29 y.,Seldom,0.21661,761,3524,0.20300,0.23021
1992,17-29 y.,Never,0.31038,1206,3524,0.29510,0.32565
1992,30-45 y.,At least once per week,0.25163,866,4216,0.23853,0.26473
1992,30-45 y.,At least once per month,0.08414,270,4216,0.07576,0.09253
1992,30-45 y.,Seldom,0.23650,943,4216,0.22367,0.24933
1992,30-45 y.,Never,0.42772,2137,4216,0.41279,0.44266
1992,46-65 y.,At least once per week,0.17188,561,3928,0.16008,0.18368
1992,46-65 y.,At least once per month,0.04284,141,3928,0.03650,0.04917
1992,46-65 y.,Seldom,0.12180,438,3928,0.11157,0.13203
1992,46-65 y.,Never,0.66348,2788,3928,0.64870,0.67826
1992,66 and older,At least once per week,0.10020,130,1379,0.08435,0.11605
1992,66 and older,Seldom,0.02655,40,1379,0.01806,0.03504
1992,66 and older,Never,0.85586,1209,1379,0.83731,0.87440
1994,17-29 y.,At least once per week,0.38221,1123,3305,0.36564,0.39878
1994,17-29 y.,At least once per month,0.09495,323,3305,0.08495,0.10494
1994,17-29 y.,Seldom,0.23193,809,3305,0.21754,0.24632
1994,17-29 y.,Never,0.29091,1050,3305,0.27543,0.30640
1994,30-45 y.,At least once per week,0.25455,879,4113,0.24123,0.26786
1994,30-45 y.,At least once per month,0.07371,275,4113,0.06572,0.08170
1994,30-45 y.,Seldom,0.25005,939,4113,0.23681,0.26328
1994,30-45 y.,Never,0.42170,2020,4113,0.40660,0.43679
1994,46-65 y.,At least once per week,0.17608,522,3807,0.16398,0.18819
1994,46-65 y.,At least once per month,0.05007,156,3807,0.04314,0.05700
1994,46-65 y.,Seldom,0.13522,471,3807,0.12436,0.14608
1994,46-65 y.,Never,0.63863,2658,3807,0.62337,0.65389
1994,66 and older,At least once per week,0.09160,127,1417,0.07657,0.10662
1994,66 and older,Seldom,0.04295,55,1417,0.03239,0.05351
1994,66 and older,Never,0.85235,1235,1417,0.83387,0.87082
1995,17-29 y.,At least once per week,0.43493,1335,3332,0.41809,0.45176
1995,17-29 y.,At least once per month,0.10063,346,3332,0.09042,0.11085
1995,17-29 y.,Seldom,0.24573,824,3332,0.23111,0.26035
1995,17-29 y.,Never,0.21871,827,3332,0.20468,0.23275
1995,30-45 y.,At least once per week,0.33980,1257,4415,0.32583,0.35377
1995,30-45 y.,At least once per month,0.09245,361,4415,0.08390,0.10100
1995,30-45 y.,Seldom,0.26905,1217,4415,0.25597,0.28213
1995,30-45 y.,Never,0.29870,1580,4415,0.28520,0.31220
1995,46-65 y.,At least once per week,0.22182,709,3940,0.20884,0.23479
1995,46-65 y.,At least once per month,0.06173,206,3940,0.05422,0.06925
1995,46-65 y.,Seldom,0.20968,775,3940,0.19697,0.22239
1995,46-65 y.,Never,0.50677,2250,3940,0.49116,0.52238
1995,66 and older,At least once per week,0.11709,168,1496,0.10079,0.13339
1995,66 and older,At least once per month,0.02689,42,1496,0.01869,0.03509
1995,66 and older,Seldom,0.08131,112,1496,0.06746,0.09517
1995,66 and older,Never,0.77471,1174,1496,0.75353,0.79589
1996,17-29 y.,At least once per week,0.37970,1063,3151,0.36275,0.39664
1996,17-29 y.,At least once per month,0.10289,343,3151,0.09228,0.11350
1996,17-29 y.,Seldom,0.25980,856,3151,0.24448,0.27511
1996,17-29 y.,Never,0.25761,889,3151,0.24234,0.27289
1996,30-45 y.,At least once per week,0.28276,1052,4404,0.26946,0.29607
1996,30-45 y.,At least once per month,0.08473,351,4404,0.07651,0.09296
1996,30-45 y.,Seldom,0.26838,1117,4404,0.25529,0.28146
1996,30-45 y.,Never,0.36413,1884,4404,0.34992,0.37834
1996,46-65 y.,At least once per week,0.20153,614,3866,0.18889,0.21418
1996,46-65 y.,At least once per month,0.05391,175,3866,0.04679,0.06103
1996,46-65 y.,Seldom,0.16889,625,3866,0.15708,0.18070
1996,46-65 y.,Never,0.57567,2452,3866,0.56008,0.59125
1996,66 and older,At least once per week,0.10883,148,1523,0.09318,0.12447
1996,66 and older,At least once per month,0.03755,48,1523,0.02800,0.04711
1996,66 and older,Seldom,0.06859,95,1523,0.05590,0.08129
1996,66 and older,Never,0.78502,1232,1523,0.76438,0.80566
1997,17-29 y.,At least once per week,0.39232,1089,3013,0.37488,0.40976
1997,17-29 y.,At least once per month,0.09507,289,3013,0.08459,0.10554
1997,17-29 y.,Seldom,0.25701,787,3013,0.24140,0.27262
1997,17-29 y.,Never,0.25560,848,3013,0.24003,0.27118
1997,30-45 y.,At least once per week,0.29247,1089,4342,0.27894,0.30600
1997,30-45 y.,At least once per month,0.06835,292,4342,0.06084,0.07585
1997,30-45 y.,Seldom,0.24933,1031,4342,0.23646,0.26220
1997,30-45 y.,Never,0.38986,1930,4342,0.37535,0.40437
1997,46-65 y.,At least once per week,0.20497,612,3805,0.19214,0.21780
1997,46-65 y.,At least once per month,0.04809,152,3805,0.04129,0.05489
1997,46-65 y.,Seldom,0.15404,567,3805,0.14257,0.16551
1997,46-65 y.,Never,0.59290,2474,3805,0.57728,0.60851
1997,66 and older,At least once per week,0.11954,168,1505,0.10314,0.13593
1997,66 and older,Seldom,0.05843,88,1505,0.04658,0.07029
1997,66 and older,Never,0.80547,1249,1505,0.78546,0.82547
1998,17-29 y.,At least once per week,0.45471,1315,3149,0.43732,0.47211
1998,17-29 y.,At least once per month,0.11194,346,3149,0.10092,0.12295
1998,17-29 y.,Seldom,0.23542,790,3149,0.22060,0.25024
1998,17-29 y.,Never,0.19792,698,3149,0.18401,0.21184
1998,30-45 y.,At least once per week,0.34482,1448,4781,0.33134,0.35829
1998,30-45 y.,At least once per month,0.09906,444,4781,0.09060,0.10753
1998,30-45 y.,Seldom,0.27158,1352,4781,0.25897,0.28419
1998,30-45 y.,Never,0.28453,1537,4781,0.27174,0.29732
1998,46-65 y.,At least once per week,0.25574,939,4357,0.24279,0.26870
1998,46-65 y.,At least once per month,0.06797,265,4357,0.06049,0.07544
1998,46-65 y.,Seldom,0.20782,884,4357,0.19577,0.21987
1998,46-65 y.,Never,0.46847,2269,4357,0.45365,0.48329
1998,66 and older,At least once per week,0.13674,232,1824,0.12097,0.15251
