,Unnamed: 0,year,age_gr,migback,pli0092_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1985,17-29 y.,No migration background,At least once per week,0.39941,859,10764,0.39284,0.40719
1,1,1985,17-29 y.,No migration background,At least once per month,0.0783,175,10764,0.0747,0.08176
2,2,1985,17-29 y.,No migration background,Seldom,0.20818,452,10764,0.20322,0.21395
3,3,1985,17-29 y.,No migration background,Never,0.31411,703,10764,0.30737,0.32023
4,4,1985,17-29 y.,Direct migration background,At least once per week,0.29386,189,10764,0.25372,0.34899
5,5,1985,17-29 y.,Direct migration background,At least once per month,0.06567,60,10764,0.04769,0.09071
6,6,1985,17-29 y.,Direct migration background,Seldom,0.16552,139,10764,0.13539,0.1931
7,7,1985,17-29 y.,Direct migration background,Never,0.47495,426,10764,0.43065,0.52005
8,8,1985,17-29 y.,Indirect migration background,At least once per week,0.66949,44,10764,0.41121,0.92624
9,9,1985,17-29 y.,Indirect migration background,Never,0.33051,31,10764,0.22272,0.44277
10,10,1985,30-45 y.,No migration background,At least once per week,0.31522,694,10764,0.31092,0.32083
11,11,1985,30-45 y.,No migration background,At least once per month,0.06159,142,10764,0.05936,0.06385
12,12,1985,30-45 y.,No migration background,Seldom,0.18119,410,10764,0.1769,0.18583
13,13,1985,30-45 y.,No migration background,Never,0.442,1009,10764,0.43529,0.44872
14,14,1985,30-45 y.,Direct migration background,At least once per week,0.18025,141,10764,0.15539,0.2075
15,15,1985,30-45 y.,Direct migration background,At least once per month,0.03343,37,10764,0.0243,0.0446
16,16,1985,30-45 y.,Direct migration background,Seldom,0.11403,116,10764,0.0953,0.13351
17,17,1985,30-45 y.,Direct migration background,Never,0.67229,881,10764,0.62439,0.71674
18,18,1985,46-65 y.,No migration background,At least once per week,0.16513,394,10764,0.16125,0.16871
19,19,1985,46-65 y.,No migration background,At least once per month,0.03565,85,10764,0.03419,0.03761
20,20,1985,46-65 y.,No migration background,Seldom,0.08697,216,10764,0.08436,0.08969
21,21,1985,46-65 y.,No migration background,Never,0.71224,1694,10764,0.70551,0.71992
22,22,1985,46-65 y.,Direct migration background,At least once per week,0.09619,52,10764,0.07767,0.11688
23,23,1985,46-65 y.,Direct migration background,Seldom,0.05939,43,10764,0.04132,0.07969
24,24,1985,46-65 y.,Direct migration background,Never,0.84443,745,10764,0.77946,0.91955
25,25,1985,66 and older,No migration background,At least once per week,0.07819,80,10764,0.07388,0.08216
26,26,1985,66 and older,No migration background,Never,0.92181,916,10764,0.9056,0.93549
27,27,1985,66 and older,Direct migration background,Never,1.0,31,10764,0.79653,1.23437
28,28,1986,17-29 y.,No migration background,At least once per week,0.41515,884,10347,0.40545,0.42573
29,29,1986,17-29 y.,No migration background,At least once per month,0.07521,154,10347,0.07049,0.07995
30,30,1986,17-29 y.,No migration background,Seldom,0.20637,428,10347,0.1994,0.21319
31,31,1986,17-29 y.,No migration background,Never,0.30327,659,10347,0.294,0.31155
32,32,1986,17-29 y.,Direct migration background,At least once per week,0.32324,243,10347,0.27842,0.37287
33,33,1986,17-29 y.,Direct migration background,At least once per month,0.06927,51,10347,0.04995,0.0882
34,34,1986,17-29 y.,Direct migration background,Seldom,0.15718,110,10347,0.12441,0.18511
35,35,1986,17-29 y.,Direct migration background,Never,0.45031,388,10347,0.40435,0.50381
36,36,1986,17-29 y.,Indirect migration background,At least once per week,0.59915,54,10347,0.37797,0.88406
37,37,1986,17-29 y.,Indirect migration background,Never,0.40085,38,10347,0.27003,0.56248
38,38,1986,30-45 y.,No migration background,At least once per week,0.31518,670,10347,0.30919,0.32173
39,39,1986,30-45 y.,No migration background,At least once per month,0.08147,174,10347,0.07842,0.08495
40,40,1986,30-45 y.,No migration background,Seldom,0.16919,357,10347,0.16454,0.17498
41,41,1986,30-45 y.,No migration background,Never,0.43416,934,10347,0.42543,0.44447
42,42,1986,30-45 y.,Direct migration background,At least once per week,0.14967,122,10347,0.12901,0.17782
43,43,1986,30-45 y.,Direct migration background,At least once per month,0.06115,50,10347,0.04654,0.07719
44,44,1986,30-45 y.,Direct migration background,Seldom,0.12715,106,10347,0.10099,0.15665
45,45,1986,30-45 y.,Direct migration background,Never,0.66203,815,10347,0.62681,0.70801
46,46,1986,46-65 y.,No migration background,At least once per week,0.18383,427,10347,0.17853,0.18913
47,47,1986,46-65 y.,No migration background,At least once per month,0.03482,84,10347,0.03258,0.03745
48,48,1986,46-65 y.,No migration background,Seldom,0.07698,181,10347,0.07366,0.08086
49,49,1986,46-65 y.,No migration background,Never,0.70436,1605,10347,0.69539,0.71331
50,50,1986,46-65 y.,Direct migration background,At least once per week,0.10789,50,10347,0.08335,0.13263
51,51,1986,46-65 y.,Direct migration background,Seldom,0.05604,51,10347,0.03918,0.07498
52,52,1986,46-65 y.,Direct migration background,Never,0.83607,742,10347,0.75311,0.90921
53,53,1986,66 and older,No migration background,At least once per week,0.07396,72,10347,0.06879,0.07903
54,54,1986,66 and older,No migration background,Never,0.92604,857,10347,0.90125,0.94588
55,55,1986,66 and older,Direct migration background,Never,1.0,41,10347,0.85319,1.13575
56,56,1988,17-29 y.,No migration background,At least once per week,0.41152,787,9755,0.39834,0.42321
57,57,1988,17-29 y.,No migration background,At least once per month,0.07736,151,9755,0.07195,0.08239
58,58,1988,17-29 y.,No migration background,Seldom,0.2097,400,9755,0.20152,0.21998
59,59,1988,17-29 y.,No migration background,Never,0.30142,570,9755,0.29073,0.31328
60,60,1988,17-29 y.,Direct migration background,At least once per week,0.2946,212,9755,0.25409,0.33688
