year,quintil_oecd,regtyp,pli0092_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,1st Quintile,Urban regions,At least once per week,0.15160,234,1707,0.13458,0.16862
1985,1st Quintile,Urban regions,At least once per month,0.03467,59,1707,0.02598,0.04335
1985,1st Quintile,Urban regions,Seldom,0.12348,214,1707,0.10787,0.13909
1985,1st Quintile,Urban regions,Never,0.69026,1200,1707,0.66832,0.71220
1985,1st Quintile,Rural regions,At least once per week,0.15110,81,493,0.11945,0.18274
1985,1st Quintile,Rural regions,Seldom,0.05566,45,493,0.03540,0.07592
1985,1st Quintile,Rural regions,Never,0.75536,367,493,0.71738,0.79335
1985,2nd Quintile,Urban regions,At least once per week,0.18361,292,1636,0.16484,0.20237
1985,2nd Quintile,Urban regions,At least once per month,0.03577,59,1636,0.02677,0.04477
1985,2nd Quintile,Urban regions,Seldom,0.12099,202,1636,0.10519,0.13680
1985,2nd Quintile,Urban regions,Never,0.65963,1083,1636,0.63666,0.68260
1985,2nd Quintile,Rural regions,At least once per week,0.17014,83,465,0.13595,0.20433
1985,2nd Quintile,Rural regions,Seldom,0.13127,66,465,0.10055,0.16200
1985,2nd Quintile,Rural regions,Never,0.65165,316,465,0.60830,0.69500
1985,3rd Quintile,Urban regions,At least once per week,0.24227,377,1711,0.22196,0.26258
1985,3rd Quintile,Urban regions,At least once per month,0.06199,114,1711,0.05056,0.07342
1985,3rd Quintile,Urban regions,Seldom,0.11338,201,1711,0.09836,0.12841
1985,3rd Quintile,Urban regions,Never,0.58235,1019,1711,0.55898,0.60573
1985,3rd Quintile,Rural regions,At least once per week,0.27190,134,448,0.23065,0.31314
1985,3rd Quintile,Rural regions,Seldom,0.11914,59,448,0.08911,0.14917
1985,3rd Quintile,Rural regions,Never,0.56395,255,448,0.51798,0.60992
1985,4th Quintile,Urban regions,At least once per week,0.28180,476,1790,0.26096,0.30265
1985,4th Quintile,Urban regions,At least once per month,0.05453,97,1790,0.04401,0.06505
1985,4th Quintile,Urban regions,Seldom,0.14941,276,1790,0.13289,0.16593
1985,4th Quintile,Urban regions,Never,0.51426,941,1790,0.49110,0.53742
1985,4th Quintile,Rural regions,At least once per week,0.24662,98,371,0.20270,0.29054
1985,4th Quintile,Rural regions,Seldom,0.13166,51,371,0.09721,0.16612
1985,4th Quintile,Rural regions,Never,0.55274,222,371,0.50208,0.60341
1985,5th Quintile,Urban regions,At least once per week,0.32271,549,1722,0.30062,0.34480
1985,5th Quintile,Urban regions,At least once per month,0.04853,85,1722,0.03838,0.05868
1985,5th Quintile,Urban regions,Seldom,0.14436,246,1722,0.12776,0.16097
1985,5th Quintile,Urban regions,Never,0.48440,842,1722,0.46078,0.50801
1985,5th Quintile,Rural regions,At least once per week,0.31187,134,411,0.26703,0.35672
1985,5th Quintile,Rural regions,Seldom,0.14549,69,411,0.11136,0.17963
1985,5th Quintile,Rural regions,Never,0.48655,208,411,0.43817,0.53493
1986,1st Quintile,Urban regions,At least once per week,0.16839,265,1615,0.15014,0.18665
1986,1st Quintile,Urban regions,At least once per month,0.03956,71,1615,0.03005,0.04907
1986,1st Quintile,Urban regions,Seldom,0.10885,177,1615,0.09366,0.12404
1986,1st Quintile,Urban regions,Never,0.68320,1102,1615,0.66050,0.70589
1986,1st Quintile,Rural regions,At least once per week,0.13304,64,419,0.10048,0.16559
1986,1st Quintile,Rural regions,Seldom,0.06326,39,419,0.03993,0.08660
1986,1st Quintile,Rural regions,Never,0.76040,316,419,0.71949,0.80132
1986,2nd Quintile,Urban regions,At least once per week,0.20023,314,1577,0.18047,0.21998
1986,2nd Quintile,Urban regions,At least once per month,0.04374,76,1577,0.03364,0.05384
1986,2nd Quintile,Urban regions,Seldom,0.08810,149,1577,0.07411,0.10210
1986,2nd Quintile,Urban regions,Never,0.66793,1038,1577,0.64468,0.69118
1986,2nd Quintile,Rural regions,At least once per week,0.20095,101,475,0.16488,0.23702
1986,2nd Quintile,Rural regions,Seldom,0.09441,53,475,0.06808,0.12073
1986,2nd Quintile,Rural regions,Never,0.67478,321,475,0.63261,0.71696
1986,3rd Quintile,Urban regions,At least once per week,0.25043,402,1629,0.22939,0.27148
1986,3rd Quintile,Urban regions,At least once per month,0.05404,87,1629,0.04306,0.06502
1986,3rd Quintile,Urban regions,Seldom,0.12388,191,1629,0.10788,0.13988
1986,3rd Quintile,Urban regions,Never,0.57165,949,1629,0.54761,0.59569
1986,3rd Quintile,Rural regions,At least once per week,0.25642,121,422,0.21471,0.29813
1986,3rd Quintile,Rural regions,Seldom,0.17093,75,422,0.13497,0.20689
1986,3rd Quintile,Rural regions,Never,0.51997,226,422,0.47225,0.56770
1986,4th Quintile,Urban regions,At least once per week,0.29049,494,1767,0.26932,0.31167
1986,4th Quintile,Urban regions,At least once per month,0.05863,101,1767,0.04767,0.06958
1986,4th Quintile,Urban regions,Seldom,0.12603,227,1767,0.11056,0.14151
1986,4th Quintile,Urban regions,Never,0.52485,945,1767,0.50156,0.54814
1986,4th Quintile,Rural regions,At least once per week,0.31716,131,403,0.27167,0.36265
1986,4th Quintile,Rural regions,Seldom,0.12930,57,403,0.09650,0.16210
1986,4th Quintile,Rural regions,Never,0.49980,215,403,0.45092,0.54868
1986,5th Quintile,Urban regions,At least once per week,0.31382,525,1670,0.29156,0.33608
1986,5th Quintile,Urban regions,At least once per month,0.06944,110,1670,0.05725,0.08164
1986,5th Quintile,Urban regions,Seldom,0.14439,245,1670,0.12753,0.16125
1986,5th Quintile,Urban regions,Never,0.47235,790,1670,0.44840,0.49630
1986,5th Quintile,Rural regions,At least once per week,0.28857,113,366,0.24208,0.33505
1986,5th Quintile,Rural regions,Seldom,0.13976,61,366,0.10419,0.17533
1986,5th Quintile,Rural regions,Never,0.49779,192,366,0.44650,0.54909
1988,1st Quintile,Urban regions,At least once per week,0.17129,263,1518,0.15233,0.19025
1988,1st Quintile,Urban regions,At least once per month,0.03655,61,1518,0.02710,0.04599
1988,1st Quintile,Urban regions,Seldom,0.10885,161,1518,0.09317,0.12452
1988,1st Quintile,Urban regions,Never,0.68332,1033,1518,0.65991,0.70673
1988,1st Quintile,Rural regions,At least once per week,0.11966,53,408,0.08813,0.15120
1988,1st Quintile,Rural regions,Seldom,0.08889,45,408,0.06124,0.11654
1988,1st Quintile,Rural regions,Never,0.74894,310,408,0.70682,0.79107
1988,2nd Quintile,Urban regions,At least once per week,0.22669,329,1554,0.20587,0.24751
1988,2nd Quintile,Urban regions,At least once per month,0.04797,73,1554,0.03734,0.05860
1988,2nd Quintile,Urban regions,Seldom,0.09499,166,1554,0.08041,0.10958
1988,2nd Quintile,Urban regions,Never,0.63034,986,1554,0.60633,0.65435
1988,2nd Quintile,Rural regions,At least once per week,0.19919,90,400,0.16000,0.23838
1988,2nd Quintile,Rural regions,Seldom,0.16295,68,400,0.12671,0.19919
1988,2nd Quintile,Rural regions,Never,0.61597,242,400,0.56825,0.66370
1988,3rd Quintile,Urban regions,At least once per week,0.24762,374,1557,0.22617,0.26906
1988,3rd Quintile,Urban regions,At least once per month,0.05868,81,1557,0.04700,0.07035
1988,3rd Quintile,Urban regions,Seldom,0.13173,212,1557,0.11492,0.14853
1988,3rd Quintile,Urban regions,Never,0.56198,890,1557,0.53733,0.58663
1988,3rd Quintile,Rural regions,At least once per week,0.23306,107,398,0.19147,0.27465
1988,3rd Quintile,Rural regions,Seldom,0.19352,81,398,0.15466,0.23239
1988,3rd Quintile,Rural regions,Never,0.51296,210,398,0.46379,0.56213
1988,4th Quintile,Urban regions,At least once per week,0.27015,421,1596,0.24835,0.29194
1988,4th Quintile,Urban regions,At least once per month,0.05248,84,1596,0.04153,0.06342
1988,4th Quintile,Urban regions,Seldom,0.14396,221,1596,0.12673,0.16119
1988,4th Quintile,Urban regions,Never,0.53342,870,1596,0.50893,0.55790
1988,4th Quintile,Rural regions,At least once per week,0.29268,133,448,0.25050,0.33486
1988,4th Quintile,Rural regions,At least once per month,0.07705,33,448,0.05233,0.10178
1988,4th Quintile,Rural regions,Seldom,0.16155,68,448,0.12743,0.19567
1988,4th Quintile,Rural regions,Never,0.46871,214,448,0.42245,0.51498
1988,5th Quintile,Urban regions,At least once per week,0.33666,532,1595,0.31346,0.35986
