year,age_gr,sampreg,pli0092_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,17-29 y.,West,At least once per week,0.39108,1092,3111,0.37393,0.40823
1985,17-29 y.,West,At least once per month,0.07742,245,3111,0.06803,0.08681
1985,17-29 y.,West,Seldom,0.20413,614,3111,0.18996,0.21829
1985,17-29 y.,West,Never,0.32738,1160,3111,0.31088,0.34387
1985,30-45 y.,West,At least once per week,0.29678,838,3446,0.28152,0.31203
1985,30-45 y.,West,At least once per month,0.05759,179,3446,0.04981,0.06537
1985,30-45 y.,West,Seldom,0.17178,528,3446,0.15919,0.18438
1985,30-45 y.,West,Never,0.47385,1901,3446,0.45717,0.49052
1985,46-65 y.,West,At least once per week,0.15741,447,3252,0.14489,0.16993
1985,46-65 y.,West,At least once per month,0.03474,98,3252,0.02845,0.04104
1985,46-65 y.,West,Seldom,0.08471,261,3252,0.07513,0.09428
1985,46-65 y.,West,Never,0.72314,2446,3252,0.70776,0.73852
1985,66 and older,West,At least once per week,0.07527,83,1033,0.05917,0.09137
1985,66 and older,West,Never,0.88340,950,1033,0.86381,0.90298
1986,17-29 y.,West,At least once per week,0.40731,1181,3040,0.38984,0.42477
1986,17-29 y.,West,At least once per month,0.07469,216,3040,0.06535,0.08404
1986,17-29 y.,West,Seldom,0.20205,558,3040,0.18777,0.21632
1986,17-29 y.,West,Never,0.31595,1085,3040,0.29943,0.33248
1986,30-45 y.,West,At least once per week,0.29229,796,3245,0.27663,0.30794
1986,30-45 y.,West,At least once per month,0.07843,224,3245,0.06918,0.08768
1986,30-45 y.,West,Seldom,0.16256,465,3245,0.14986,0.17525
1986,30-45 y.,West,Never,0.46673,1760,3245,0.44956,0.48389
1986,46-65 y.,West,At least once per week,0.17525,479,3171,0.16202,0.18849
1986,46-65 y.,West,At least once per month,0.03485,106,3171,0.02847,0.04124
1986,46-65 y.,West,Seldom,0.07519,234,3171,0.06601,0.08436
1986,46-65 y.,West,Never,0.71471,2352,3171,0.69899,0.73043
1986,66 and older,West,At least once per week,0.07201,76,976,0.05578,0.08824
1986,66 and older,West,Never,0.89644,900,976,0.87731,0.91556
1988,17-29 y.,West,At least once per week,0.39995,1077,2857,0.38198,0.41792
1988,17-29 y.,West,At least once per month,0.07668,215,2857,0.06692,0.08644
1988,17-29 y.,West,Seldom,0.20433,543,2857,0.18954,0.21911
1988,17-29 y.,West,Never,0.31904,1022,2857,0.30195,0.33614
1988,30-45 y.,West,At least once per week,0.30208,759,2925,0.28544,0.31873
1988,30-45 y.,West,At least once per month,0.06765,171,2925,0.05855,0.07675
