year,pli0092_h,pgisced97,sex,proportion,n,lower_confidence,upper_confidence
1985,At least once per week,middle vocational,male,0.29887543252595156,14443,0.2914097405582383,0.3063411244936648
1985,At least once per week,middle vocational,female,0.21929065743944637,14443,0.21254254797670608,0.22603876690218666
1985,At least once per week,general elementary,female,0.11029411764705882,14443,0.10518522505785868,0.11540301023625896
1985,At least once per week,higher education,male,0.08996539792387544,14443,0.08529886782654496,0.09463192802120592
1985,At least once per week,general elementary,male,0.08866782006920415,14443,0.08403176341751517,0.09330387672089313
1985,At least once per week,higher vocational,male,0.042820069204152246,14443,0.0395182914263045,0.04612184698199999
1985,At least once per week,higher education,female,0.03806228373702422,14443,0.03494161073665766,0.04118295673739078
1985,At least once per week,higher vocational,female,0.0328719723183391,14443,0.02996405380956114,0.03577989082711705
1985,At least once per week,vocational + Abi,male,0.022923875432525952,14443,0.020483056371093603,0.0253646944939583
1985,At least once per week,inadequately,male,0.015570934256055362,14443,0.013551745518378245,0.017590122993732478
1985,At least once per week,vocational + Abi,female,0.013408304498269897,14443,0.011532519641216201,0.015284089355323592
1985,At least once per week,in school,male,0.013408304498269897,14443,0.011532519641216201,0.015284089355323592
1985,At least once per week,in school,female,0.009515570934256055,14443,0.007932251226307856,0.011098890642204255
1985,At least once per week,inadequately,female,0.004325259515570935,14443,0.0032549923657724357,0.0053955266653694335
1985,At least once per month,middle vocational,male,0.33852140077821014,14443,0.3308038707243775,0.34623893083204277
1985,At least once per month,middle vocational,female,0.1926070038910506,14443,0.18617559839568665,0.19903840938641454
1985,At least once per month,general elementary,female,0.11867704280155641,14443,0.11340257961792707,0.12395150598518576
1985,At least once per month,general elementary,male,0.09533073929961089,14443,0.09054125489789978,0.100120223701322
1985,At least once per month,higher education,male,0.07198443579766536,14443,0.06776917646800366,0.07619969512732706
1985,At least once per month,higher vocational,male,0.06420233463035019,14443,0.06020478600734683,0.06819988325335355
1985,At least once per month,higher education,female,0.03696498054474708,14443,0.033887866115923516,0.04004209497357065
1985,At least once per month,vocational + Abi,male,0.021400778210116732,14443,0.01904060116658867,0.023760955253644793
