year,migback,pli0092_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1985,No migration background,At least once per week,0.24531,2027,10851,0.24518,0.24543
1985,No migration background,At least once per month,0.04936,420,10851,0.04929,0.04942
1985,No migration background,Seldom,0.12962,1104,10851,0.12952,0.12972
1985,No migration background,Never,0.57571,4322,10851,0.57557,0.57586
1985,Direct migration background,At least once per week,0.17346,385,10851,0.17312,0.17380
1985,Direct migration background,At least once per month,0.03745,110,10851,0.03728,0.03762
1985,Direct migration background,Seldom,0.10465,300,10851,0.10437,0.10493
1985,Direct migration background,Never,0.68444,2083,10851,0.68402,0.68486
1985,Indirect migration background,At least once per week,0.43086,48,10851,0.42860,0.43311
1985,Indirect migration background,Never,0.56914,52,10851,0.56689,0.57140
1986,No migration background,At least once per week,0.25428,2053,10431,0.25415,0.25441
1986,No migration background,At least once per month,0.05336,430,10431,0.05330,0.05343
1986,No migration background,Seldom,0.12092,979,10431,0.12083,0.12102
1986,No migration background,Never,0.57143,4055,10431,0.57129,0.57158
1986,Direct migration background,At least once per week,0.16836,419,10431,0.16803,0.16869
1986,Direct migration background,At least once per month,0.04989,122,10431,0.04970,0.05008
1986,Direct migration background,Seldom,0.10276,271,10431,0.10249,0.10302
1986,Direct migration background,Never,0.67900,1986,10431,0.67858,0.67941
1986,Indirect migration background,At least once per week,0.46863,60,10431,0.46652,0.47074
1986,Indirect migration background,Never,0.53137,56,10431,0.52926,0.53348
1988,No migration background,At least once per week,0.25917,1943,9847,0.25905,0.25930
1988,No migration background,At least once per month,0.05587,417,9847,0.05580,0.05593
1988,No migration background,Seldom,0.13865,1040,9847,0.13855,0.13875
1988,No migration background,Never,0.54631,3610,9847,0.54616,0.54645
1988,Direct migration background,At least once per week,0.17090,387,9847,0.17057,0.17123
1988,Direct migration background,At least once per month,0.03061,85,9847,0.03046,0.03076
1988,Direct migration background,Seldom,0.11008,253,9847,0.10980,0.11035
1988,Direct migration background,Never,0.68841,1913,9847,0.68800,0.68881
1988,Indirect migration background,At least once per week,0.31297,85,9847,0.31140,0.31453
1988,Indirect migration background,Seldom,0.14603,38,9847,0.14484,0.14722
1988,Indirect migration background,Never,0.54100,76,9847,0.53932,0.54268
1990,No migration background,At least once per week,0.26410,2620,13687,0.26398,0.26421
1990,No migration background,At least once per month,0.07795,756,13687,0.07788,0.07802
1990,No migration background,Seldom,0.18872,2014,13687,0.18862,0.18882
1990,No migration background,Never,0.46923,5368,13687,0.46910,0.46936
1990,Direct migration background,At least once per week,0.19857,433,13687,0.19826,0.19888
1990,Direct migration background,At least once per month,0.05877,151,13687,0.05859,0.05895
1990,Direct migration background,Seldom,0.15461,354,13687,0.15433,0.15489
1990,Direct migration background,Never,0.58805,1698,13687,0.58767,0.58843
1990,Indirect migration background,At least once per week,0.34378,113,13687,0.34249,0.34508
1990,Indirect migration background,At least once per month,0.13091,42,13687,0.12999,0.13183
1990,Indirect migration background,Seldom,0.20465,49,13687,0.20355,0.20575
1990,Indirect migration background,Never,0.32066,89,13687,0.31938,0.32193
1992,No migration background,At least once per week,0.23452,2266,13070,0.23441,0.23463
1992,No migration background,At least once per month,0.06305,611,13070,0.06299,0.06312
1992,No migration background,Seldom,0.16164,1791,13070,0.16154,0.16174
1992,No migration background,Never,0.54079,5520,13070,0.54066,0.54092
1992,Direct migration background,At least once per week,0.16686,358,13070,0.16658,0.16713
1992,Direct migration background,At least once per month,0.04261,104,13070,0.04246,0.04276
1992,Direct migration background,Seldom,0.13386,309,13070,0.13361,0.13412
1992,Direct migration background,Never,0.65667,1717,13070,0.65632,0.65703
1992,Indirect migration background,At least once per week,0.38593,162,13070,0.38487,0.38699
1992,Indirect migration background,At least once per month,0.09395,47,13070,0.09332,0.09458
1992,Indirect migration background,Seldom,0.20982,82,13070,0.20894,0.21071
1992,Indirect migration background,Never,0.31030,103,13070,0.30929,0.31130
1994,No migration background,At least once per week,0.23244,2172,12662,0.23233,0.23255
1994,No migration background,At least once per month,0.06066,604,12662,0.06059,0.06072
1994,No migration background,Seldom,0.17379,1806,12662,0.17369,0.17389
1994,No migration background,Never,0.53311,5271,12662,0.53298,0.53324
1994,Direct migration background,At least once per week,0.16756,302,12662,0.16730,0.16783
1994,Direct migration background,At least once per month,0.04535,107,12662,0.04520,0.04550
1994,Direct migration background,Seldom,0.14836,351,12662,0.14811,0.14861
1994,Direct migration background,Never,0.63873,1567,12662,0.63839,0.63906
1994,Indirect migration background,At least once per week,0.35170,177,12662,0.35086,0.35254
1994,Indirect migration background,At least once per month,0.10973,63,12662,0.10918,0.11028
