"pli0092_h","year","bildungsniveau","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Taeglich","1985","(noch) kein Abschluss","","","",""
"Taeglich","1985","Hauptschule","","","",""
"Taeglich","1985","Realschule","","","",""
"Taeglich","1985","(Fach-)Abitur","","","",""
"Taeglich","1985","AkademikerIn","","","",""
"Min 1x pro Woche","1985","(noch) kein Abschluss","162","0.323297348635427","0.295336917133094","0.351257780137759"
"Min 1x pro Woche","1985","Hauptschule","1028","0.158501777060109","0.149521239516374","0.167482314603844"
"Min 1x pro Woche","1985","Realschule","666","0.359378323654767","0.337193764318351","0.381562882991182"
"Min 1x pro Woche","1985","(Fach-)Abitur","282","0.402221582169295","0.367721507819126","0.436721656519465"
"Min 1x pro Woche","1985","AkademikerIn","296","0.39496696050322","0.359911335088178","0.430022585918262"
"Min 1x pro Monat","1985","(noch) kein Abschluss","31","0.0458559580730218","0.0333519652403093","0.0583599509057343"
"Min 1x pro Monat","1985","Hauptschule","267","0.0380166328951464","0.0333141278579269","0.042719137932366"
"Min 1x pro Monat","1985","Realschule","123","0.0655464595222813","0.0541037854322759","0.0769891336122867"
"Min 1x pro Monat","1985","(Fach-)Abitur","58","0.070019677234477","0.0520655556286665","0.0879737988402875"
"Min 1x pro Monat","1985","AkademikerIn","56","0.0700331930672806","0.0517322496667623","0.0883341364677989"
"Seltener","1985","(noch) kein Abschluss","80","0.0953837682722417","0.0778242221993297","0.112943314345154"
"Seltener","1985","Hauptschule","713","0.101622614327234","0.0941927095026325","0.109052519151836"
"Seltener","1985","Realschule","334","0.176436774700155","0.158812263525477","0.194061285874832"
"Seltener","1985","(Fach-)Abitur","149","0.194404918938516","0.166561070698709","0.222248767178323"
"Seltener","1985","AkademikerIn","140","0.176989179847564","0.149619865291353","0.204358494403774"
"Nie","1985","(noch) kein Abschluss","802","0.53546292501931","0.505649027629665","0.565276822408955"
"Nie","1985","Hauptschule","4345","0.70185897571751","0.690610479617803","0.713107471817217"
"Nie","1985","Realschule","674","0.398638442122797","0.376000785290599","0.421276098954995"
"Nie","1985","(Fach-)Abitur","287","0.333353821657711","0.30018594677677","0.366521696538653"
"Nie","1985","AkademikerIn","255","0.358010666581936","0.323631156829464","0.392390176334409"
"Taeglich","1986","(noch) kein Abschluss","","","",""
"Taeglich","1986","Hauptschule","","","",""
"Taeglich","1986","Realschule","","","",""
"Taeglich","1986","(Fach-)Abitur","","","",""
"Taeglich","1986","AkademikerIn","","","",""
"Min 1x pro Woche","1986","(noch) kein Abschluss","184","0.331746630714503","0.302766325672832","0.360726935756174"
"Min 1x pro Woche","1986","Hauptschule","1093","0.17370979585081","0.164131476516164","0.183288115185456"
"Min 1x pro Woche","1986","Realschule","622","0.335925747969627","0.313878626128995","0.35797286981026"
"Min 1x pro Woche","1986","(Fach-)Abitur","308","0.407842334688988","0.373809614516752","0.441875054861224"
"Min 1x pro Woche","1986","AkademikerIn","298","0.386261100782317","0.351275129510572","0.421247072054063"
"Min 1x pro Monat","1986","(noch) kein Abschluss","24","","",""
"Min 1x pro Monat","1986","Hauptschule","275","0.040984423281197","0.0359721689507122","0.0459966776116818"
"Min 1x pro Monat","1986","Realschule","135","0.0701585397044121","0.0582360581617966","0.0820810212470276"
"Min 1x pro Monat","1986","(Fach-)Abitur","56","0.0785965220618096","0.0599602766455295","0.0972327674780897"
"Min 1x pro Monat","1986","AkademikerIn","67","0.0907280249274651","0.0700894714744562","0.111366578380474"
"Seltener","1986","(noch) kein Abschluss","88","0.100128063616074","0.0816525135980384","0.118603613634109"
"Seltener","1986","Hauptschule","623","0.096076004283949","0.0886255238395299","0.103526484728368"
"Seltener","1986","Realschule","293","0.154141680820031","0.137286601813182","0.170996759826881"
"Seltener","1986","(Fach-)Abitur","146","0.204360888170456","0.176436170837065","0.232285605503847"
"Seltener","1986","AkademikerIn","110","0.143021393340887","0.117865073032996","0.168177713648779"
"Nie","1986","(noch) kein Abschluss","718","0.540870160610065","0.510198069596338","0.571542251623792"
"Nie","1986","Hauptschule","4019","0.689229776584044","0.677529057009154","0.700930496158934"
"Nie","1986","Realschule","713","0.439774031505929","0.41660444179513","0.462943621216728"
"Nie","1986","(Fach-)Abitur","291","0.309200255078746","0.277194517577124","0.341205992580368"
"Nie","1986","AkademikerIn","269","0.37998948094933","0.345111853101164","0.414867108797496"
"Taeglich","1987","(noch) kein Abschluss","","","",""
"Taeglich","1987","Hauptschule","","","",""
"Taeglich","1987","Realschule","","","",""
"Taeglich","1987","(Fach-)Abitur","","","",""
"Taeglich","1987","AkademikerIn","","","",""
"Min 1x pro Woche","1987","(noch) kein Abschluss","","","",""
"Min 1x pro Woche","1987","Hauptschule","","","",""
"Min 1x pro Woche","1987","Realschule","","","",""
"Min 1x pro Woche","1987","(Fach-)Abitur","","","",""
"Min 1x pro Woche","1987","AkademikerIn","","","",""
"Min 1x pro Monat","1987","(noch) kein Abschluss","","","",""
"Min 1x pro Monat","1987","Hauptschule","","","",""
"Min 1x pro Monat","1987","Realschule","","","",""
"Min 1x pro Monat","1987","(Fach-)Abitur","","","",""
"Min 1x pro Monat","1987","AkademikerIn","","","",""
"Seltener","1987","(noch) kein Abschluss","","","",""
"Seltener","1987","Hauptschule","","","",""
"Seltener","1987","Realschule","","","",""
"Seltener","1987","(Fach-)Abitur","","","",""
"Seltener","1987","AkademikerIn","","","",""
"Nie","1987","(noch) kein Abschluss","","","",""
"Nie","1987","Hauptschule","","","",""
"Nie","1987","Realschule","","","",""
"Nie","1987","(Fach-)Abitur","","","",""
"Nie","1987","AkademikerIn","","","",""
"Taeglich","1988","(noch) kein Abschluss","","","",""
"Taeglich","1988","Hauptschule","","","",""
"Taeglich","1988","Realschule","","","",""
"Taeglich","1988","(Fach-)Abitur","","","",""
"Taeglich","1988","AkademikerIn","","","",""
"Min 1x pro Woche","1988","(noch) kein Abschluss","166","0.33812451131409","0.30725204690073","0.368996975727449"
"Min 1x pro Woche","1988","Hauptschule","1047","0.181631795486262","0.171594805701838","0.191668785270685"
"Min 1x pro Woche","1988","Realschule","616","0.330808291451321","0.308369640905393","0.353246941997249"
"Min 1x pro Woche","1988","(Fach-)Abitur","255","0.382688583705165","0.347454392223253","0.417922775187077"
"Min 1x pro Woche","1988","AkademikerIn","283","0.392163761149778","0.355969765723844","0.428357756575712"
"Min 1x pro Monat","1988","(noch) kein Abschluss","25","","",""
"Min 1x pro Monat","1988","Hauptschule","260","0.042921763688123","0.0376452669972131","0.048198260379033"
"Min 1x pro Monat","1988","Realschule","126","0.0717259112142085","0.0594201235415214","0.0840316988868957"
"Min 1x pro Monat","1988","(Fach-)Abitur","58","0.0822591964914349","0.0623413833076204","0.102177009675249"
"Min 1x pro Monat","1988","AkademikerIn","45","0.067123220456077","0.0485726172006481","0.085673823711506"
"Seltener","1988","(noch) kein Abschluss","48","0.0732433853817522","0.0562409209782782","0.0902458497852263"
"Seltener","1988","Hauptschule","657","0.108788448456367","0.100682292309637","0.116894604603097"
"Seltener","1988","Realschule","318","0.18012196106514","0.161794967540885","0.198448954589395"
"Seltener","1988","(Fach-)Abitur","150","0.214922843713038","0.185145437737326","0.244700249688751"
"Seltener","1988","AkademikerIn","130","0.177237134681727","0.148928155808531","0.205546113554923"
"Nie","1988","(noch) kein Abschluss","663","0.545211720207866","0.512715560097593","0.57770788031814"
"Nie","1988","Hauptschule","3704","0.666657992369248","0.654385585681755","0.678930399056742"
"Nie","1988","Realschule","629","0.417343836269331","0.39382659142873","0.440861081109932"
"Nie","1988","(Fach-)Abitur","268","0.320129376090362","0.28631002230883","0.353948729871893"
"Nie","1988","AkademikerIn","241","0.363475883712418","0.327818068090448","0.399133699334388"
"Taeglich","1989","(noch) kein Abschluss","","","",""
"Taeglich","1989","Hauptschule","","","",""
