"pli0092_h","year","bildungsniveau","migback","n","percent","lower_confidence_percent","upper_confidence_percent"
"Taeglich","1985","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Taeglich","1985","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Taeglich","1985","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Taeglich","1985","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1985","Hauptschule","kein Migrationshintergrund","","","",""
"Taeglich","1985","Hauptschule","direkter Migrationshintergrund","","","",""
"Taeglich","1985","Hauptschule","indirekter Migrationshintergrund","","","",""
"Taeglich","1985","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1985","Realschule","kein Migrationshintergrund","","","",""
"Taeglich","1985","Realschule","direkter Migrationshintergrund","","","",""
"Taeglich","1985","Realschule","indirekter Migrationshintergrund","","","",""
"Taeglich","1985","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1985","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Taeglich","1985","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Taeglich","1985","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Taeglich","1985","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1985","AkademikerIn","kein Migrationshintergrund","","","",""
"Taeglich","1985","AkademikerIn","direkter Migrationshintergrund","","","",""
"Taeglich","1985","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Taeglich","1985","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1985","(noch) kein Abschluss","kein Migrationshintergrund","106","","",""
"Min 1x pro Woche","1985","(noch) kein Abschluss","direkter Migrationshintergrund","47","0.0909632136994914","0.071435598110314","0.110490829288669"
"Min 1x pro Woche","1985","(noch) kein Abschluss","indirekter Migrationshintergrund","9","0.700736608304847","0.483051945950477","0.918421270659216"
"Min 1x pro Woche","1985","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1985","Hauptschule","kein Migrationshintergrund","807","0.160445737184742","0.150042291689112","0.170849182680372"
"Min 1x pro Woche","1985","Hauptschule","direkter Migrationshintergrund","201","","",""
"Min 1x pro Woche","1985","Hauptschule","indirekter Migrationshintergrund","20","","",""
"Min 1x pro Woche","1985","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1985","Realschule","kein Migrationshintergrund","608","0.362010610363806","0.338694538152609","0.385326682575003"
"Min 1x pro Woche","1985","Realschule","direkter Migrationshintergrund","43","0.314228968734708","0.236211597180587","0.392246340288828"
"Min 1x pro Woche","1985","Realschule","indirekter Migrationshintergrund","15","","",""
"Min 1x pro Woche","1985","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1985","(Fach-)Abitur","kein Migrationshintergrund","228","","",""
"Min 1x pro Woche","1985","(Fach-)Abitur","direkter Migrationshintergrund","52","0.312276076813713","0.252123104639238","0.372429048988187"
"Min 1x pro Woche","1985","(Fach-)Abitur","indirekter Migrationshintergrund","2","","",""
"Min 1x pro Woche","1985","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1985","AkademikerIn","kein Migrationshintergrund","264","","",""
"Min 1x pro Woche","1985","AkademikerIn","direkter Migrationshintergrund","31","0.30832013065479","0.221225832848917","0.395414428460663"
"Min 1x pro Woche","1985","AkademikerIn","indirekter Migrationshintergrund","1","","",""
"Min 1x pro Woche","1985","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1985","(noch) kein Abschluss","kein Migrationshintergrund","13","","",""
"Min 1x pro Monat","1985","(noch) kein Abschluss","direkter Migrationshintergrund","17","","",""
"Min 1x pro Monat","1985","(noch) kein Abschluss","indirekter Migrationshintergrund","1","","",""
"Min 1x pro Monat","1985","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1985","Hauptschule","kein Migrationshintergrund","205","","",""
"Min 1x pro Monat","1985","Hauptschule","direkter Migrationshintergrund","56","0.0287826458959422","0.0203045882222125","0.037260703569672"
"Min 1x pro Monat","1985","Hauptschule","indirekter Migrationshintergrund","6","0.0366667062922012","-0.00504183725538304","0.0783752498397854"
"Min 1x pro Monat","1985","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1985","Realschule","kein Migrationshintergrund","110","","",""
"Min 1x pro Monat","1985","Realschule","direkter Migrationshintergrund","11","","",""
"Min 1x pro Monat","1985","Realschule","indirekter Migrationshintergrund","2","","",""
"Min 1x pro Monat","1985","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1985","(Fach-)Abitur","kein Migrationshintergrund","37","0.0658383814333461","0.0449791280855134","0.0866976347811788"
"Min 1x pro Monat","1985","(Fach-)Abitur","direkter Migrationshintergrund","20","","",""
"Min 1x pro Monat","1985","(Fach-)Abitur","indirekter Migrationshintergrund","1","","",""
"Min 1x pro Monat","1985","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1985","AkademikerIn","kein Migrationshintergrund","51","0.0729531561757001","0.05272603338131","0.0931802789700902"
"Min 1x pro Monat","1985","AkademikerIn","direkter Migrationshintergrund","5","0.0451740551425744","0.00600502143222378","0.084343088852925"
"Min 1x pro Monat","1985","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1985","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1985","(noch) kein Abschluss","kein Migrationshintergrund","29","","",""
"Seltener","1985","(noch) kein Abschluss","direkter Migrationshintergrund","50","0.0561329465439557","0.0405018327867677","0.0717640603011438"
"Seltener","1985","(noch) kein Abschluss","indirekter Migrationshintergrund","1","","",""
"Seltener","1985","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1985","Hauptschule","kein Migrationshintergrund","530","0.10104914773505","0.0925058995911505","0.109592395878949"
"Seltener","1985","Hauptschule","direkter Migrationshintergrund","169","","",""
"Seltener","1985","Hauptschule","indirekter Migrationshintergrund","14","","",""
"Seltener","1985","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1985","Realschule","kein Migrationshintergrund","306","0.178717123885476","0.160129773702756","0.197304474068197"
"Seltener","1985","Realschule","direkter Migrationshintergrund","22","","",""
"Seltener","1985","Realschule","indirekter Migrationshintergrund","6","0.218888213864761","0.0683950140919538","0.369381413637569"
"Seltener","1985","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1985","(Fach-)Abitur","kein Migrationshintergrund","117","","",""
"Seltener","1985","(Fach-)Abitur","direkter Migrationshintergrund","30","0.111132706902421","0.0703364726389976","0.151928941165844"
"Seltener","1985","(Fach-)Abitur","indirekter Migrationshintergrund","2","","",""
"Seltener","1985","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1985","AkademikerIn","kein Migrationshintergrund","116","","",""
"Seltener","1985","AkademikerIn","direkter Migrationshintergrund","22","","",""
"Seltener","1985","AkademikerIn","indirekter Migrationshintergrund","2","","",""
"Seltener","1985","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1985","(noch) kein Abschluss","kein Migrationshintergrund","77","0.350211438134647","0.287879873837556","0.412543002431738"
"Nie","1985","(noch) kein Abschluss","direkter Migrationshintergrund","719","0.833523591012502","0.808227064729559","0.858820117295444"
"Nie","1985","(noch) kein Abschluss","indirekter Migrationshintergrund","6","0.211810134654427","0.0175818737066498","0.406038395602205"
"Nie","1985","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1985","Hauptschule","kein Migrationshintergrund","3239","0.699624903710591","0.686630591094988","0.712619216326194"
"Nie","1985","Hauptschule","direkter Migrationshintergrund","1068","","",""
"Nie","1985","Hauptschule","indirekter Migrationshintergrund","38","0.567071196449218","0.457112945147214","0.677029447751223"
"Nie","1985","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1985","Realschule","kein Migrationshintergrund","608","0.393877235614716","0.37017175569617","0.417582715533262"
"Nie","1985","Realschule","direkter Migrationshintergrund","60","0.494666348970414","0.410638367636754","0.578694330304074"
"Nie","1985","Realschule","indirekter Migrationshintergrund","6","0.308892613500479","0.140731481958285","0.477053745042673"
"Nie","1985","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1985","(Fach-)Abitur","kein Migrationshintergrund","161","","",""
"Nie","1985","(Fach-)Abitur","direkter Migrationshintergrund","126","","",""
"Nie","1985","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Nie","1985","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1985","AkademikerIn","kein Migrationshintergrund","204","","",""
"Nie","1985","AkademikerIn","direkter Migrationshintergrund","50","0.478668036846609","0.384455086610843","0.572880987082375"
"Nie","1985","AkademikerIn","indirekter Migrationshintergrund","1","","",""
"Nie","1985","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1986","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Taeglich","1986","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Taeglich","1986","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Taeglich","1986","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1986","Hauptschule","kein Migrationshintergrund","","","",""
"Taeglich","1986","Hauptschule","direkter Migrationshintergrund","","","",""
"Taeglich","1986","Hauptschule","indirekter Migrationshintergrund","","","",""
"Taeglich","1986","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1986","Realschule","kein Migrationshintergrund","","","",""
"Taeglich","1986","Realschule","direkter Migrationshintergrund","","","",""
"Taeglich","1986","Realschule","indirekter Migrationshintergrund","","","",""
"Taeglich","1986","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1986","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Taeglich","1986","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Taeglich","1986","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Taeglich","1986","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1986","AkademikerIn","kein Migrationshintergrund","","","",""
"Taeglich","1986","AkademikerIn","direkter Migrationshintergrund","","","",""
"Taeglich","1986","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Taeglich","1986","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1986","(noch) kein Abschluss","kein Migrationshintergrund","114","","",""
"Min 1x pro Woche","1986","(noch) kein Abschluss","direkter Migrationshintergrund","60","0.100020495993069","0.0789245797243515","0.121116412261787"
"Min 1x pro Woche","1986","(noch) kein Abschluss","indirekter Migrationshintergrund","10","","",""
"Min 1x pro Woche","1986","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1986","Hauptschule","kein Migrationshintergrund","838","0.176822926495291","0.165619776335773","0.188026076654809"
"Min 1x pro Woche","1986","Hauptschule","direkter Migrationshintergrund","230","","",""
"Min 1x pro Woche","1986","Hauptschule","indirekter Migrationshintergrund","25","","",""
"Min 1x pro Woche","1986","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1986","Realschule","kein Migrationshintergrund","561","0.33932616089761","0.316031207038988","0.362621114756232"
"Min 1x pro Woche","1986","Realschule","direkter Migrationshintergrund","46","0.263304903622477","0.191618391075781","0.334991416169174"
"Min 1x pro Woche","1986","Realschule","indirekter Migrationshintergrund","15","","",""
"Min 1x pro Woche","1986","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1986","(Fach-)Abitur","kein Migrationshintergrund","249","","",""
"Min 1x pro Woche","1986","(Fach-)Abitur","direkter Migrationshintergrund","53","0.357393810931052","0.294913981222505","0.419873640639598"
"Min 1x pro Woche","1986","(Fach-)Abitur","indirekter Migrationshintergrund","6","0.682575564667141","0.378471389585525","0.986679739748758"
"Min 1x pro Woche","1986","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1986","AkademikerIn","kein Migrationshintergrund","273","","",""
"Min 1x pro Woche","1986","AkademikerIn","direkter Migrationshintergrund","23","","",""
"Min 1x pro Woche","1986","AkademikerIn","indirekter Migrationshintergrund","2","","",""
"Min 1x pro Woche","1986","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1986","(noch) kein Abschluss","kein Migrationshintergrund","6","0.0254373245131931","0.00448854014097297","0.0463861088854132"
"Min 1x pro Monat","1986","(noch) kein Abschluss","direkter Migrationshintergrund","17","","",""
"Min 1x pro Monat","1986","(noch) kein Abschluss","indirekter Migrationshintergrund","1","","",""
"Min 1x pro Monat","1986","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1986","Hauptschule","kein Migrationshintergrund","199","","",""
"Min 1x pro Monat","1986","Hauptschule","direkter Migrationshintergrund","69","0.0484638034308971","0.0374898488428812","0.059437758018913"
