,Unnamed: 0,year,migback,regtyp,pli0092_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1985,No migration background,Urban regions,At least once per week,0.25222,1559,10818,0.24876,0.25544
1,1,1985,No migration background,Urban regions,At least once per month,0.04918,311,10818,0.04752,0.05091
2,2,1985,No migration background,Urban regions,Seldom,0.13514,858,10818,0.13274,0.13749
3,3,1985,No migration background,Urban regions,Never,0.56346,3173,10818,0.55725,0.57039
4,4,1985,No migration background,Rural regions,At least once per week,0.22545,468,10818,0.22048,0.23038
5,5,1985,No migration background,Rural regions,At least once per month,0.04987,109,10818,0.0476,0.0523
6,6,1985,No migration background,Rural regions,Seldom,0.11376,246,10818,0.10976,0.11782
7,7,1985,No migration background,Rural regions,Never,0.61092,1149,10818,0.60166,0.62243
8,8,1985,Direct migration background,Urban regions,At least once per week,0.16224,325,10818,0.14716,0.18019
9,9,1985,Direct migration background,Urban regions,At least once per month,0.03239,92,10818,0.0255,0.04066
10,10,1985,Direct migration background,Urban regions,Seldom,0.10027,253,10818,0.08693,0.1138
11,11,1985,Direct migration background,Urban regions,Never,0.70511,1857,10818,0.66323,0.74269
12,12,1985,Direct migration background,Rural regions,At least once per week,0.25681,60,10818,0.19707,0.31419
13,13,1985,Direct migration background,Rural regions,Seldom,0.13983,47,10818,0.10344,0.18867
14,14,1985,Direct migration background,Rural regions,Never,0.60336,226,10818,0.52437,0.69878
15,15,1985,Indirect migration background,Urban regions,At least once per week,0.44877,42,10818,0.28028,0.6124
16,16,1985,Indirect migration background,Urban regions,Never,0.55123,43,10818,0.34137,0.74864
17,17,1986,No migration background,Urban regions,At least once per week,0.26011,1588,10396,0.25593,0.26427
18,18,1986,No migration background,Urban regions,At least once per month,0.05465,331,10396,0.05278,0.05679
19,19,1986,No migration background,Urban regions,Seldom,0.12201,743,10396,0.11856,0.12483
20,20,1986,No migration background,Urban regions,Never,0.56323,3008,10396,0.55619,0.57186
21,21,1986,No migration background,Rural regions,At least once per week,0.23715,465,10396,0.22968,0.24531
22,22,1986,No migration background,Rural regions,At least once per month,0.04959,99,10396,0.04677,0.05257
23,23,1986,No migration background,Rural regions,Seldom,0.11774,236,10396,0.11332,0.12243
24,24,1986,No migration background,Rural regions,Never,0.59552,1047,10396,0.58229,0.61083
25,25,1986,Direct migration background,Urban regions,At least once per week,0.16285,358,10396,0.14223,0.1863
26,26,1986,Direct migration background,Urban regions,At least once per month,0.04648,102,10396,0.03845,0.05532
27,27,1986,Direct migration background,Urban regions,Seldom,0.09728,221,10396,0.08475,0.11172
28,28,1986,Direct migration background,Urban regions,Never,0.69339,1757,10396,0.66099,0.72842
29,29,1986,Direct migration background,Rural regions,At least once per week,0.21309,61,10396,0.16888,0.271
30,30,1986,Direct migration background,Rural regions,Seldom,0.14243,50,10396,0.10209,0.18999
31,31,1986,Direct migration background,Rural regions,Never,0.64448,229,10396,0.55523,0.72777
32,32,1986,Indirect migration background,Urban regions,At least once per week,0.50199,54,10396,0.32838,0.73511
33,33,1986,Indirect migration background,Urban regions,Never,0.49801,47,10396,0.32076,0.6822
34,34,1988,No migration background,Urban regions,At least once per week,0.26817,1518,9801,0.26282,0.27372
35,35,1988,No migration background,Urban regions,At least once per month,0.05569,322,9801,0.05318,0.05802
36,36,1988,No migration background,Urban regions,Seldom,0.13324,761,9801,0.1296,0.13738
37,37,1988,No migration background,Urban regions,Never,0.5429,2717,9801,0.5354,0.55073
38,38,1988,No migration background,Rural regions,At least once per week,0.23187,425,9801,0.22493,0.23994
39,39,1988,No migration background,Rural regions,At least once per month,0.0564,95,9801,0.05218,0.06016
