,Unnamed: 0,year,pgisced97,sex,ple0005,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2002,Pre-primary Level,male,Not at all,1.0,264,22681,0.9213,1.10484
1,1,2002,Pre-primary Level,female,A Little,0.13329,39,22681,0.10349,0.17652
2,2,2002,Pre-primary Level,female,Not at all,0.86671,272,22681,0.7848,0.94187
3,3,2002,Primary Level,male,A Little,0.39123,37,22681,0.31529,0.46835
4,4,2002,Primary Level,male,Not at all,0.60877,54,22681,0.50746,0.73475
5,5,2002,Primary Level,female,Strong,0.2908,43,22681,0.23455,0.35367
6,6,2002,Primary Level,female,A Little,0.34777,63,22681,0.29098,0.40649
7,7,2002,Primary Level,female,Not at all,0.36143,59,22681,0.28231,0.42871
8,8,2002,Lower Secondary Level,male,Strong,0.12142,108,22681,0.10669,0.13728
9,9,2002,Lower Secondary Level,male,A Little,0.31537,268,22681,0.2944,0.34433
10,10,2002,Lower Secondary Level,male,Not at all,0.56321,563,22681,0.53333,0.59711
11,11,2002,Lower Secondary Level,female,Strong,0.29399,481,22681,0.27804,0.30873
12,12,2002,Lower Secondary Level,female,A Little,0.36371,703,22681,0.34423,0.38286
13,13,2002,Lower Secondary Level,female,Not at all,0.34229,753,22681,0.32689,0.35739
14,14,2002,Upper Secondary Level,male,Strong,0.15223,775,22681,0.14561,0.16013
15,15,2002,Upper Secondary Level,male,A Little,0.34702,1838,22681,0.33624,0.3593
16,16,2002,Upper Secondary Level,male,Not at all,0.50075,2934,22681,0.48573,0.51361
17,17,2002,Upper Secondary Level,female,Strong,0.16642,847,22681,0.15922,0.1729
18,18,2002,Upper Secondary Level,female,A Little,0.39419,2297,22681,0.38243,0.40709
19,19,2002,Upper Secondary Level,female,Not at all,0.43939,2847,22681,0.42686,0.45188
20,20,2002,Post-secondary Non-tertiary Level,male,Strong,0.10442,45,22681,0.08699,0.12467
21,21,2002,Post-secondary Non-tertiary Level,male,A Little,0.27543,139,22681,0.23962,0.31661
22,22,2002,Post-secondary Non-tertiary Level,male,Not at all,0.62015,307,22681,0.56967,0.68135
23,23,2002,Post-secondary Non-tertiary Level,female,Strong,0.11367,59,22681,0.09148,0.13387
24,24,2002,Post-secondary Non-tertiary Level,female,A Little,0.34271,208,22681,0.31197,0.38077
25,25,2002,Post-secondary Non-tertiary Level,female,Not at all,0.54362,402,22681,0.50874,0.59062
26,26,2002,First Stage of Tertiary Education,male,Strong,0.13385,127,22681,0.11882,0.14645
27,27,2002,First Stage of Tertiary Education,male,A Little,0.39455,389,22681,0.36596,0.42891
28,28,2002,First Stage of Tertiary Education,male,Not at all,0.4716,491,22681,0.44343,0.4995
29,29,2002,First Stage of Tertiary Education,female,Strong,0.16949,90,22681,0.14683,0.1911
30,30,2002,First Stage of Tertiary Education,female,A Little,0.37038,267,22681,0.33196,0.41201
31,31,2002,First Stage of Tertiary Education,female,Not at all,0.46012,375,22681,0.42379,0.50875
32,32,2002,Second Stage of Tertiary Education,male,Strong,0.07802,173,22681,0.06886,0.08653
