year,quintil_oecd,sampreg,ple0005,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,1st Quintile,West,Strong,0.19599,407,2391,0.18007,0.21190
2002,1st Quintile,West,A Little,0.33801,788,2391,0.31904,0.35697
2002,1st Quintile,West,Not at all,0.46601,1196,2391,0.44601,0.48600
2002,1st Quintile,East,Strong,0.19483,189,1063,0.17101,0.21865
2002,1st Quintile,East,A Little,0.37446,380,1063,0.34535,0.40357
2002,1st Quintile,East,Not at all,0.43071,494,1063,0.40092,0.46049
2002,2nd Quintile,West,Strong,0.17640,427,2681,0.16197,0.19083
2002,2nd Quintile,West,A Little,0.34843,881,2681,0.33039,0.36647
2002,2nd Quintile,West,Not at all,0.47517,1373,2681,0.45627,0.49408
2002,2nd Quintile,East,Strong,0.20086,223,1218,0.17835,0.22337
2002,2nd Quintile,East,A Little,0.44290,526,1218,0.41499,0.47080
2002,2nd Quintile,East,Not at all,0.35624,469,1218,0.32934,0.38315
2002,3rd Quintile,West,Strong,0.16187,412,2854,0.14835,0.17538
2002,3rd Quintile,West,A Little,0.34323,940,2854,0.32581,0.36066
2002,3rd Quintile,West,Not at all,0.49490,1502,2854,0.47655,0.51325
2002,3rd Quintile,East,Strong,0.14315,156,1171,0.12309,0.16322
2002,3rd Quintile,East,A Little,0.43700,522,1171,0.40858,0.46542
2002,3rd Quintile,East,Not at all,0.41985,493,1171,0.39157,0.44813
2002,4th Quintile,West,Strong,0.14392,397,3316,0.13198,0.15587
2002,4th Quintile,West,A Little,0.35402,1106,3316,0.33774,0.37030
2002,4th Quintile,West,Not at all,0.50206,1813,3316,0.48504,0.51908
2002,4th Quintile,East,Strong,0.12520,121,1028,0.10496,0.14544
2002,4th Quintile,East,A Little,0.40001,401,1028,0.37005,0.42998
2002,4th Quintile,East,Not at all,0.47479,506,1028,0.44425,0.50533
2002,5th Quintile,West,Strong,0.12373,438,4287,0.11387,0.13358
2002,5th Quintile,West,A Little,0.34355,1394,4287,0.32933,0.35777
2002,5th Quintile,West,Not at all,0.53272,2455,4287,0.51779,0.54766
2002,5th Quintile,East,Strong,0.12820,68,692,0.10327,0.15313
2002,5th Quintile,East,A Little,0.39765,262,692,0.36116,0.43414
2002,5th Quintile,East,Not at all,0.47415,362,692,0.43692,0.51138
2004,1st Quintile,West,Strong,0.20713,404,2241,0.19034,0.22391
2004,1st Quintile,West,A Little,0.33187,717,2241,0.31237,0.35137
2004,1st Quintile,West,Not at all,0.46100,1120,2241,0.44036,0.48164
2004,1st Quintile,East,Strong,0.17567,165,1002,0.15210,0.19925
2004,1st Quintile,East,A Little,0.34793,349,1002,0.31842,0.37743
2004,1st Quintile,East,Not at all,0.47640,488,1002,0.44546,0.50734
2004,2nd Quintile,West,Strong,0.17767,381,2520,0.16275,0.19260
2004,2nd Quintile,West,A Little,0.33642,830,2520,0.31797,0.35487
2004,2nd Quintile,West,Not at all,0.48591,1309,2520,0.46639,0.50543
2004,2nd Quintile,East,Strong,0.21119,223,1247,0.18853,0.23386
2004,2nd Quintile,East,A Little,0.40627,512,1247,0.37900,0.43354
2004,2nd Quintile,East,Not at all,0.38253,512,1247,0.35555,0.40952
2004,3rd Quintile,West,Strong,0.15829,388,2831,0.14484,0.17174
2004,3rd Quintile,West,A Little,0.37040,976,2831,0.35261,0.38819
2004,3rd Quintile,West,Not at all,0.47131,1467,2831,0.45292,0.48970
2004,3rd Quintile,East,Strong,0.17155,179,1168,0.14992,0.19318
2004,3rd Quintile,East,A Little,0.43512,502,1168,0.40668,0.46357
2004,3rd Quintile,East,Not at all,0.39333,487,1168,0.36531,0.42136
2004,4th Quintile,West,Strong,0.15822,437,3346,0.14585,0.17058
2004,4th Quintile,West,A Little,0.33035,1057,3346,0.31441,0.34629
2004,4th Quintile,West,Not at all,0.51143,1852,3346,0.49449,0.52837
2004,4th Quintile,East,Strong,0.15095,126,995,0.12870,0.17321
2004,4th Quintile,East,A Little,0.39691,387,995,0.36649,0.42732
2004,4th Quintile,East,Not at all,0.45214,482,995,0.42120,0.48308
2004,5th Quintile,West,Strong,0.10825,461,5381,0.09995,0.11655
2004,5th Quintile,West,A Little,0.33884,1762,5381,0.32620,0.35149
2004,5th Quintile,West,Not at all,0.55291,3158,5381,0.53962,0.56619
2004,5th Quintile,East,Strong,0.08228,53,791,0.06312,0.10144
2004,5th Quintile,East,A Little,0.39891,284,791,0.36477,0.43306
2004,5th Quintile,East,Not at all,0.51881,454,791,0.48397,0.55365
2006,1st Quintile,West,Strong,0.20079,359,1996,0.18321,0.21837
2006,1st Quintile,West,A Little,0.34003,659,1996,0.31924,0.36082
2006,1st Quintile,West,Not at all,0.45918,978,1996,0.43732,0.48105
2006,1st Quintile,East,Strong,0.17556,154,942,0.15125,0.19987
2006,1st Quintile,East,A Little,0.37547,364,942,0.34453,0.40641
2006,1st Quintile,East,Not at all,0.44896,424,942,0.41718,0.48074
2006,2nd Quintile,West,Strong,0.19681,408,2195,0.18017,0.21345
2006,2nd Quintile,West,A Little,0.36783,773,2195,0.34765,0.38800
2006,2nd Quintile,West,Not at all,0.43537,1014,2195,0.41462,0.45611
2006,2nd Quintile,East,Strong,0.21324,200,1113,0.18917,0.23732
2006,2nd Quintile,East,A Little,0.40788,477,1113,0.37899,0.43676
2006,2nd Quintile,East,Not at all,0.37888,436,1113,0.35036,0.40739
2006,3rd Quintile,West,Strong,0.15334,351,2501,0.13922,0.16747
2006,3rd Quintile,West,A Little,0.37151,872,2501,0.35257,0.39045
2006,3rd Quintile,West,Not at all,0.47515,1278,2501,0.45557,0.49473
2006,3rd Quintile,East,Strong,0.18785,180,1073,0.16447,0.21124
2006,3rd Quintile,East,A Little,0.46228,472,1073,0.43244,0.49213
2006,3rd Quintile,East,Not at all,0.34986,421,1073,0.32131,0.37841
2006,4th Quintile,West,Strong,0.14540,417,3087,0.13297,0.15784
2006,4th Quintile,West,A Little,0.33625,1004,3087,0.31958,0.35292
2006,4th Quintile,West,Not at all,0.51835,1666,3087,0.50072,0.53598
2006,4th Quintile,East,Strong,0.14657,114,872,0.12308,0.17006
2006,4th Quintile,East,A Little,0.44627,395,872,0.41325,0.47928
2006,4th Quintile,East,Not at all,0.40716,363,872,0.37453,0.43979
2006,5th Quintile,West,Strong,0.11154,455,4795,0.10263,0.12045
2006,5th Quintile,West,A Little,0.34802,1596,4795,0.33454,0.36151
2006,5th Quintile,West,Not at all,0.54044,2744,4795,0.52633,0.55455
2006,5th Quintile,East,Strong,0.09183,61,718,0.07069,0.11297
2006,5th Quintile,East,A Little,0.42443,297,718,0.38826,0.46061
2006,5th Quintile,East,Not at all,0.48373,360,718,0.44715,0.52031
2008,1st Quintile,West,Strong,0.21633,410,2027,0.19840,0.23426
2008,1st Quintile,West,A Little,0.34585,668,2027,0.32514,0.36656
2008,1st Quintile,West,Not at all,0.43782,949,2027,0.41621,0.45942
2008,1st Quintile,East,Strong,0.16762,152,936,0.14367,0.19156
2008,1st Quintile,East,A Little,0.36365,344,936,0.33281,0.39448
2008,1st Quintile,East,Not at all,0.46874,440,936,0.43675,0.50072
2008,2nd Quintile,West,Strong,0.20387,422,2281,0.18733,0.22040
2008,2nd Quintile,West,A Little,0.33822,756,2281,0.31880,0.35764
2008,2nd Quintile,West,Not at all,0.45791,1103,2281,0.43746,0.47837
2008,2nd Quintile,East,Strong,0.19757,200,1087,0.17389,0.22125
2008,2nd Quintile,East,A Little,0.40268,443,1087,0.37352,0.43185
2008,2nd Quintile,East,Not at all,0.39975,444,1087,0.37061,0.42888
2008,3rd Quintile,West,Strong,0.15870,386,2606,0.14467,0.17273
2008,3rd Quintile,West,A Little,0.36226,874,2606,0.34381,0.38072
2008,3rd Quintile,West,Not at all,0.47903,1346,2606,0.45985,0.49822
2008,3rd Quintile,East,Strong,0.14915,178,1205,0.12903,0.16927
2008,3rd Quintile,East,A Little,0.46126,539,1205,0.43310,0.48942
2008,3rd Quintile,East,Not at all,0.38959,488,1205,0.36205,0.41714
2008,4th Quintile,West,Strong,0.13176,385,3046,0.11974,0.14377
2008,4th Quintile,West,A Little,0.34090,1008,3046,0.32406,0.35774
2008,4th Quintile,West,Not at all,0.52734,1653,3046,0.50961,0.54508
2008,4th Quintile,East,Strong,0.13280,107,811,0.10943,0.15618
2008,4th Quintile,East,A Little,0.45183,332,811,0.41755,0.48610
2008,4th Quintile,East,Not at all,0.41537,372,811,0.38143,0.44931
2008,5th Quintile,West,Strong,0.09624,416,4537,0.08766,0.10482
2008,5th Quintile,West,A Little,0.34493,1549,4537,0.33109,0.35876
2008,5th Quintile,West,Not at all,0.55883,2572,4537,0.54438,0.57328
2008,5th Quintile,East,Strong,0.06759,59,722,0.04926,0.08591
2008,5th Quintile,East,A Little,0.41550,267,722,0.37952,0.45147
2008,5th Quintile,East,Not at all,0.51692,396,722,0.48044,0.55339
2014,1st Quintile,West,Strong,0.24423,830,4381,0.23150,0.25695
2014,1st Quintile,West,A Little,0.31588,1297,4381,0.30211,0.32964
2014,1st Quintile,West,Not at all,0.43990,2254,4381,0.42520,0.45460
2014,1st Quintile,East,Strong,0.18722,234,1429,0.16699,0.20745
2014,1st Quintile,East,A Little,0.36368,516,1429,0.33873,0.38863
2014,1st Quintile,East,Not at all,0.44910,679,1429,0.42330,0.47490
2014,2nd Quintile,West,Strong,0.20081,595,4109,0.18856,0.21306
2014,2nd Quintile,West,A Little,0.35717,1336,4109,0.34251,0.37182
2014,2nd Quintile,West,Not at all,0.44202,2178,4109,0.42684,0.45721
2014,2nd Quintile,East,Strong,0.22875,258,1394,0.20669,0.25081
2014,2nd Quintile,East,A Little,0.42264,565,1394,0.39670,0.44858
2014,2nd Quintile,East,Not at all,0.34861,571,1394,0.32358,0.37363
2014,3rd Quintile,West,Strong,0.14333,465,3984,0.13245,0.15422
2014,3rd Quintile,West,A Little,0.37102,1326,3984,0.35602,0.38602
2014,3rd Quintile,West,Not at all,0.48565,2193,3984,0.47013,0.50117
2014,3rd Quintile,East,Strong,0.20451,214,1171,0.18140,0.22762
2014,3rd Quintile,East,A Little,0.42772,486,1171,0.39937,0.45607
2014,3rd Quintile,East,Not at all,0.36777,471,1171,0.34014,0.39540
2014,4th Quintile,West,Strong,0.12641,459,4225,0.11639,0.13644
2014,4th Quintile,West,A Little,0.34675,1368,4225,0.33240,0.36110
2014,4th Quintile,West,Not at all,0.52684,2398,4225,0.51178,0.54189
2014,4th Quintile,East,Strong,0.09824,100,927,0.07907,0.11741
2014,4th Quintile,East,A Little,0.44400,386,927,0.41199,0.47600
2014,4th Quintile,East,Not at all,0.45776,441,927,0.42567,0.48985
2014,5th Quintile,West,Strong,0.08567,390,4742,0.07770,0.09364
2014,5th Quintile,West,A Little,0.31916,1492,4742,0.30589,0.33243
2014,5th Quintile,West,Not at all,0.59517,2860,4742,0.58120,0.60914
2014,5th Quintile,East,Strong,0.07150,46,650,0.05168,0.09132
2014,5th Quintile,East,A Little,0.36021,253,650,0.32327,0.39714
2014,5th Quintile,East,Not at all,0.56829,351,650,0.53018,0.60640
2016,1st Quintile,West,Strong,0.23334,679,3730,0.21977,0.24692
2016,1st Quintile,West,A Little,0.31917,1108,3730,0.30421,0.33414
2016,1st Quintile,West,Not at all,0.44748,1943,3730,0.43152,0.46344
2016,1st Quintile,East,Strong,0.18573,201,1264,0.16428,0.20717
2016,1st Quintile,East,A Little,0.37272,456,1264,0.34605,0.39939
2016,1st Quintile,East,Not at all,0.44155,607,1264,0.41417,0.46894
2016,2nd Quintile,West,Strong,0.18097,530,3707,0.16858,0.19337
2016,2nd Quintile,West,A Little,0.35136,1200,3707,0.33599,0.36673
2016,2nd Quintile,West,Not at all,0.46767,1977,3707,0.45161,0.48373
2016,2nd Quintile,East,Strong,0.22539,267,1341,0.20301,0.24776
2016,2nd Quintile,East,A Little,0.41255,538,1341,0.38619,0.43890
2016,2nd Quintile,East,Not at all,0.36207,536,1341,0.33634,0.38780
2016,3rd Quintile,West,Strong,0.14655,422,3539,0.13490,0.15821
2016,3rd Quintile,West,A Little,0.36807,1178,3539,0.35217,0.38396
2016,3rd Quintile,West,Not at all,0.48538,1939,3539,0.46891,0.50185
2016,3rd Quintile,East,Strong,0.18170,201,1062,0.15850,0.20491
2016,3rd Quintile,East,A Little,0.37720,407,1062,0.34803,0.40636
2016,3rd Quintile,East,Not at all,0.44110,454,1062,0.41122,0.47098
2016,4th Quintile,West,Strong,0.11160,357,3824,0.10162,0.12159
2016,4th Quintile,West,A Little,0.36544,1294,3824,0.35018,0.38071
2016,4th Quintile,West,Not at all,0.52295,2173,3824,0.50712,0.53878
2016,4th Quintile,East,Strong,0.13216,100,790,0.10853,0.15579
2016,4th Quintile,East,A Little,0.37882,312,790,0.34497,0.41267
2016,4th Quintile,East,Not at all,0.48902,378,790,0.45414,0.52390
2016,5th Quintile,West,Strong,0.09794,379,4288,0.08904,0.10684
2016,5th Quintile,West,A Little,0.33763,1433,4288,0.32348,0.35179
2016,5th Quintile,West,Not at all,0.56443,2476,4288,0.54958,0.57927
2016,5th Quintile,East,Strong,0.06578,35,560,0.04523,0.08633
2016,5th Quintile,East,A Little,0.41007,220,560,0.36930,0.45085
2016,5th Quintile,East,Not at all,0.52414,305,560,0.48274,0.56555
2018,1st Quintile,West,Strong,0.22116,863,5474,0.21016,0.23215
2018,1st Quintile,West,A Little,0.33639,1656,5474,0.32387,0.34890
2018,1st Quintile,West,Not at all,0.44246,2955,5474,0.42930,0.45562
2018,1st Quintile,East,Strong,0.19502,251,1641,0.17584,0.21419
2018,1st Quintile,East,A Little,0.38252,597,1641,0.35900,0.40604
2018,1st Quintile,East,Not at all,0.42246,793,1641,0.39856,0.44637
