year,age_gr,ple0005,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,17-29 y.,Strong,0.02188,88,4123,0.01741,0.02635
2002,17-29 y.,A Little,0.17853,708,4123,0.16684,0.19022
2002,17-29 y.,Not at all,0.79553,3327,4123,0.78321,0.80784
2002,30-45 y.,Strong,0.05542,382,7412,0.05021,0.06063
2002,30-45 y.,A Little,0.29328,2126,7412,0.28292,0.30365
2002,30-45 y.,Not at all,0.64819,4904,7412,0.63732,0.65907
2002,46-65 y.,Strong,0.18102,1274,7820,0.17249,0.18955
2002,46-65 y.,A Little,0.42942,3315,7820,0.41845,0.44039
2002,46-65 y.,Not at all,0.38513,3231,7820,0.37435,0.39592
2002,66 and older,Strong,0.36630,1231,3569,0.35049,0.38211
2002,66 and older,A Little,0.46695,1708,3569,0.45058,0.48332
2002,66 and older,Not at all,0.16043,630,3569,0.14839,0.17247
2004,17-29 y.,Strong,0.02151,62,3946,0.01698,0.02603
2004,17-29 y.,A Little,0.18049,689,3946,0.16849,0.19249
2004,17-29 y.,Not at all,0.79398,3195,3946,0.78136,0.80660
2004,30-45 y.,Strong,0.05565,318,6513,0.05008,0.06122
2004,30-45 y.,A Little,0.29330,1838,6513,0.28224,0.30435
2004,30-45 y.,Not at all,0.64813,4357,6513,0.63653,0.65973
2004,46-65 y.,Strong,0.17673,1116,7336,0.16800,0.18546
2004,46-65 y.,A Little,0.41670,3102,7336,0.40542,0.42798
2004,46-65 y.,Not at all,0.40108,3118,7336,0.38987,0.41230
2004,66 and older,Strong,0.37613,1323,3730,0.36058,0.39167
2004,66 and older,A Little,0.45529,1747,3730,0.43930,0.47127
2004,66 and older,Not at all,0.15859,660,3730,0.14686,0.17031
2006,17-29 y.,Strong,0.01355,52,3669,0.00981,0.01729
2006,17-29 y.,A Little,0.16561,634,3669,0.15358,0.17764
2006,17-29 y.,Not at all,0.75723,2983,3669,0.74335,0.77111
2006,30-45 y.,Strong,0.05745,321,6262,0.05169,0.06322
2006,30-45 y.,A Little,0.30796,1859,6262,0.29653,0.31940
2006,30-45 y.,Not at all,0.62994,4082,6262,0.61798,0.64190
2006,46-65 y.,Strong,0.17008,1164,7564,0.16161,0.17855
2006,46-65 y.,A Little,0.41933,3150,7564,0.40820,0.43045
2006,46-65 y.,Not at all,0.40857,3250,7564,0.39749,0.41965
2006,66 and older,Strong,0.38355,1567,4412,0.36920,0.39790
2006,66 and older,A Little,0.44321,2010,4412,0.42855,0.45787
2006,66 and older,Not at all,0.16777,835,4412,0.15675,0.17880
2008,17-29 y.,Strong,0.01973,58,3144,0.01486,0.02459
2008,17-29 y.,A Little,0.17700,555,3144,0.16366,0.19035
2008,17-29 y.,Not at all,0.72550,2531,3144,0.70990,0.74110
2008,30-45 y.,Strong,0.04939,233,5163,0.04348,0.05530
2008,30-45 y.,A Little,0.29254,1418,5163,0.28013,0.30495
2008,30-45 y.,Not at all,0.65652,3512,5163,0.64357,0.66948
2008,46-65 y.,Strong,0.16985,980,6673,0.16084,0.17886
2008,46-65 y.,A Little,0.42320,2801,6673,0.41134,0.43505
2008,46-65 y.,Not at all,0.40275,2892,6673,0.39098,0.41452
2008,66 and older,Strong,0.35715,1445,4280,0.34280,0.37151
2008,66 and older,A Little,0.46603,2006,4280,0.45108,0.48097
2008,66 and older,Not at all,0.17164,829,4280,0.16034,0.18294
2014,17-29 y.,Strong,0.02516,122,4281,0.02046,0.02985
2014,17-29 y.,A Little,0.15339,726,4281,0.14260,0.16419
2014,17-29 y.,Not at all,0.74847,3433,4281,0.73547,0.76147
2014,30-45 y.,Strong,0.06179,532,8507,0.05668,0.06691
2014,30-45 y.,A Little,0.25387,2240,8507,0.24462,0.26312
2014,30-45 y.,Not at all,0.68263,5735,8507,0.67274,0.69252
2014,46-65 y.,Strong,0.16612,1413,9293,0.15855,0.17369
2014,46-65 y.,A Little,0.41335,3696,9293,0.40334,0.42337
2014,46-65 y.,Not at all,0.41725,4184,9293,0.40722,0.42727
2014,66 and older,Strong,0.32330,1524,4938,0.31025,0.33635
2014,66 and older,A Little,0.48215,2367,4938,0.46821,0.49609
2014,66 and older,Not at all,0.18964,1047,4938,0.17871,0.20058
2016,17-29 y.,Strong,0.02563,158,4788,0.02115,0.03011
2016,17-29 y.,A Little,0.15139,818,4788,0.14124,0.16154
2016,17-29 y.,Not at all,0.73523,3812,4788,0.72273,0.74773
2016,30-45 y.,Strong,0.05531,538,8548,0.05047,0.06016
2016,30-45 y.,A Little,0.25235,2250,8548,0.24314,0.26156
2016,30-45 y.,Not at all,0.68351,5760,8548,0.67365,0.69337
2016,46-65 y.,Strong,0.16172,1358,8998,0.15411,0.16933
2016,46-65 y.,A Little,0.41960,3615,8998,0.40940,0.42980
2016,46-65 y.,Not at all,0.41558,4025,8998,0.40539,0.42576
2016,66 and older,Strong,0.31467,1401,4724,0.30142,0.32791
2016,66 and older,A Little,0.48034,2275,4724,0.46609,0.49459
2016,66 and older,Not at all,0.20103,1048,4724,0.18960,0.21246
2018,17-29 y.,Strong,0.02982,175,5435,0.02529,0.03434
2018,17-29 y.,A Little,0.16068,964,5435,0.15091,0.17044
2018,17-29 y.,Not at all,0.73509,4296,5435,0.72335,0.74682
2018,30-45 y.,Strong,0.05879,597,8397,0.05376,0.06382
2018,30-45 y.,A Little,0.25861,2272,8397,0.24924,0.26797
2018,30-45 y.,Not at all,0.67561,5528,8397,0.66560,0.68563
2018,46-65 y.,Strong,0.15306,1572,10245,0.14609,0.16003
2018,46-65 y.,A Little,0.41461,4047,10245,0.40507,0.42415
2018,46-65 y.,Not at all,0.43192,4626,10245,0.42233,0.44152
2018,66 and older,Strong,0.30353,1439,5014,0.29080,0.31626
2018,66 and older,A Little,0.47480,2395,5014,0.46097,0.48862
2018,66 and older,Not at all,0.21964,1180,5014,0.20818,0.23111
2020,17-29 y.,Strong,0.03359,177,5445,0.02880,0.03838
2020,17-29 y.,A Little,0.18097,1084,5445,0.17074,0.19119
2020,17-29 y.,Not at all,0.71033,4184,5445,0.69828,0.72238
2020,30-45 y.,Strong,0.05612,598,8477,0.05122,0.06101
2020,30-45 y.,A Little,0.27086,2458,8477,0.26140,0.28032
2020,30-45 y.,Not at all,0.67177,5421,8477,0.66178,0.68177
2020,46-65 y.,Strong,0.14357,1481,10500,0.13686,0.15028
2020,46-65 y.,A Little,0.44652,4307,10500,0.43701,0.45603
2020,46-65 y.,Not at all,0.40790,4712,10500,0.39850,0.41730
2020,66 and older,Strong,0.29342,1302,4904,0.28067,0.30617
2020,66 and older,A Little,0.49360,2468,4904,0.47961,0.50760
2020,66 and older,Not at all,0.20874,1134,4904,0.19737,0.22012
2022,17-29 y.,Strong,0.03404,235,5638,0.02931,0.03877
2022,17-29 y.,A Little,0.22604,1458,5638,0.21512,0.23696
2022,17-29 y.,Not at all,0.69228,3945,5638,0.68024,0.70433
2022,30-45 y.,Strong,0.07064,679,8930,0.06533,0.07596
2022,30-45 y.,A Little,0.30032,2878,8930,0.29081,0.30983
2022,30-45 y.,Not at all,0.62348,5373,8930,0.61344,0.63353
2022,46-65 y.,Strong,0.16626,1490,9169,0.15864,0.17388
2022,46-65 y.,A Little,0.44696,3885,9169,0.43678,0.45713
2022,46-65 y.,Not at all,0.38163,3794,9169,0.37168,0.39157
2022,66 and older,Strong,0.31574,1098,4139,0.30158,0.32990
2022,66 and older,A Little,0.47352,2067,4139,0.45830,0.48873
2022,66 and older,Not at all,0.20992,974,4139,0.19751,0.22233
