year,sampreg,ple0005,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,West,Strong,0.15434,2213,17514,0.14899,0.15969
2002,West,A Little,0.34332,5689,17514,0.33629,0.35035
2002,West,Not at all,0.50234,9612,17514,0.49494,0.50975
2002,East,Strong,0.16328,762,5410,0.15343,0.17313
2002,East,A Little,0.41181,2168,5410,0.39869,0.42492
2002,East,Not at all,0.42491,2480,5410,0.41174,0.43808
2004,West,Strong,0.15832,2073,16322,0.15272,0.16392
2004,West,A Little,0.34138,5342,16322,0.33411,0.34866
2004,West,Not at all,0.50030,8907,16322,0.49263,0.50797
2004,East,Strong,0.17007,746,5203,0.15986,0.18028
2004,East,A Little,0.39639,2034,5203,0.38309,0.40968
2004,East,Not at all,0.43354,2423,5203,0.42007,0.44701
2006,West,Strong,0.15706,2322,16642,0.15153,0.16259
2006,West,A Little,0.33920,5460,16642,0.33201,0.34639
2006,West,Not at all,0.50374,8860,16642,0.49614,0.51134
2006,East,Strong,0.17218,782,5265,0.16198,0.18238
2006,East,A Little,0.40866,2193,5265,0.39538,0.42194
2006,East,Not at all,0.41915,2290,5265,0.40582,0.43248
2008,West,Strong,0.15660,2020,14499,0.15069,0.16252
2008,West,A Little,0.34622,4855,14499,0.33847,0.35396
2008,West,Not at all,0.49718,7624,14499,0.48904,0.50532
2008,East,Strong,0.15397,696,4761,0.14372,0.16422
2008,East,A Little,0.41643,1925,4761,0.40243,0.43044
2008,East,Not at all,0.42960,2140,4761,0.41554,0.44366
2014,West,Strong,0.15448,2739,21448,0.14964,0.15931
2014,West,A Little,0.34158,6823,21448,0.33523,0.34793
2014,West,Not at all,0.50394,11886,21448,0.49725,0.51063
2014,East,Strong,0.17254,852,5571,0.16261,0.18246
2014,East,A Little,0.40596,2206,5571,0.39306,0.41886
2014,East,Not at all,0.42150,2513,5571,0.40853,0.43447
2016,West,Strong,0.14797,2590,21540,0.14323,0.15271
2016,West,A Little,0.34820,6875,21540,0.34184,0.35456
2016,West,Not at all,0.50383,12075,21540,0.49715,0.51051
2016,East,Strong,0.17361,865,5518,0.16361,0.18360
2016,East,A Little,0.38801,2083,5518,0.37515,0.40087
2016,East,Not at all,0.43839,2570,5518,0.42529,0.45148
2018,West,Strong,0.14604,2917,23100,0.14149,0.15060
2018,West,A Little,0.34736,7337,23100,0.34122,0.35350
2018,West,Not at all,0.50659,12846,23100,0.50015,0.51304
2018,East,Strong,0.16459,866,5991,0.15520,0.17398
2018,East,A Little,0.39310,2341,5991,0.38073,0.40547
2018,East,Not at all,0.44231,2784,5991,0.42973,0.45488
2020,West,Strong,0.13937,2734,23512,0.13495,0.14380
2020,West,A Little,0.37342,8076,23512,0.36724,0.37960
2020,West,Not at all,0.48721,12702,23512,0.48082,0.49360
2020,East,Strong,0.16183,824,5814,0.15236,0.17130
2020,East,A Little,0.39711,2241,5814,0.38453,0.40969
2020,East,Not at all,0.44106,2749,5814,0.42830,0.45383
2022,West,Strong,0.15722,2706,22027,0.15241,0.16203
2022,West,A Little,0.38237,7979,22027,0.37595,0.38879
2022,West,Not at all,0.46041,11342,22027,0.45382,0.46699
2022,East,Strong,0.17286,796,5849,0.16317,0.18255
2022,East,A Little,0.40532,2309,5849,0.39274,0.41790
2022,East,Not at all,0.42182,2744,5849,0.40916,0.43448
