year,hhtyp,quintil_oecd_hh,petyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Single-person household,1st Quintile,Yes,0.22129,93,423,0.18169,0.26090
1996,Single-person household,1st Quintile,No,0.77871,330,423,0.73910,0.81831
1996,Single-person household,2nd Quintile,Yes,0.14702,53,293,0.10640,0.18764
1996,Single-person household,2nd Quintile,No,0.85298,240,293,0.81236,0.89360
1996,Single-person household,3rd Quintile,Yes,0.19877,54,275,0.15152,0.24603
1996,Single-person household,3rd Quintile,No,0.80123,221,275,0.75397,0.84848
1996,Single-person household,4th Quintile,Yes,0.25002,64,247,0.19591,0.30413
1996,Single-person household,4th Quintile,No,0.74998,183,247,0.69587,0.80409
1996,Single-person household,5th Quintile,Yes,0.14962,32,191,0.09890,0.20034
1996,Single-person household,5th Quintile,No,0.85038,159,191,0.79966,0.90110
1996,Couple without children,1st Quintile,Yes,0.34139,79,227,0.27957,0.40321
1996,Couple without children,1st Quintile,No,0.65861,148,227,0.59679,0.72043
1996,Couple without children,2nd Quintile,Yes,0.34405,107,317,0.29167,0.39642
1996,Couple without children,2nd Quintile,No,0.65595,210,317,0.60358,0.70833
1996,Couple without children,3rd Quintile,Yes,0.35358,140,385,0.30576,0.40139
1996,Couple without children,3rd Quintile,No,0.64642,245,385,0.59861,0.69424
1996,Couple without children,4th Quintile,Yes,0.33524,151,431,0.29062,0.37986
1996,Couple without children,4th Quintile,No,0.66476,280,431,0.62014,0.70938
1996,Couple without children,5th Quintile,Yes,0.30731,148,480,0.26599,0.34863
1996,Couple without children,5th Quintile,No,0.69269,332,480,0.65137,0.73401
1996,Single parent,1st Quintile,Yes,0.48755,69,165,0.41105,0.56405
1996,Single parent,1st Quintile,No,0.51245,96,165,0.43595,0.58895
1996,Single parent,2nd Quintile,Yes,0.46562,37,81,0.35631,0.57492
1996,Single parent,2nd Quintile,No,0.53438,44,81,0.42508,0.64369
1996,Single parent,3rd Quintile,Yes,0.56856,31,31,0.39133,0.74579
1996,Couple with children,1st Quintile,Yes,0.42917,218,541,0.38743,0.47092
1996,Couple with children,1st Quintile,No,0.57083,323,541,0.52908,0.61257
1996,Couple with children,2nd Quintile,Yes,0.53132,315,659,0.49319,0.56945
1996,Couple with children,2nd Quintile,No,0.46868,344,659,0.43055,0.50681
1996,Couple with children,3rd Quintile,Yes,0.50762,307,613,0.46801,0.54723
1996,Couple with children,3rd Quintile,No,0.49238,306,613,0.45277,0.53199
1996,Couple with children,4th Quintile,Yes,0.47499,242,505,0.43140,0.51859
1996,Couple with children,4th Quintile,No,0.52501,263,505,0.48141,0.56860
1996,Couple with children,5th Quintile,Yes,0.45932,166,368,0.40833,0.51031
1996,Couple with children,5th Quintile,No,0.54068,202,368,0.48969,0.59167
2001,Single-person household,1st Quintile,Yes,0.26674,228,828,0.23660,0.29688
2001,Single-person household,1st Quintile,No,0.73326,600,828,0.70312,0.76340
2001,Single-person household,2nd Quintile,Yes,0.20071,131,603,0.16871,0.23270
2001,Single-person household,2nd Quintile,No,0.79929,472,603,0.76730,0.83129
