,Unnamed: 0,year,regtyp,petyn,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1996,Urban regions,Yes,0.31781,1463,6631,0.30638,0.32952
1,1,1996,Urban regions,No,0.68219,2934,6631,0.66069,0.70186
2,2,1996,Rural regions,Yes,0.40066,1018,6631,0.3846,0.42154
3,3,1996,Rural regions,No,0.59934,1216,6631,0.57147,0.62358
4,4,2001,Urban regions,Yes,0.32039,2690,11680,0.31291,0.32781
5,5,2001,Urban regions,No,0.67961,5077,11680,0.6672,0.69081
6,6,2001,Rural regions,Yes,0.42977,1887,11680,0.41623,0.4411
7,7,2001,Rural regions,No,0.57023,2026,11680,0.55585,0.58283
8,8,2006,Urban regions,Yes,0.29955,2756,12265,0.28901,0.30716
9,9,2006,Urban regions,No,0.70045,5390,12265,0.68681,0.71411
10,10,2006,Rural regions,Yes,0.43292,1954,12265,0.4162,0.45122
11,11,2006,Rural regions,No,0.56708,2165,12265,0.55096,0.58386
12,12,2011,Urban regions,Yes,0.29646,2643,12084,0.28627,0.30646
13,13,2011,Urban regions,No,0.70354,5216,12084,0.68793,0.72119
14,14,2011,Rural regions,Yes,0.39451,1840,12084,0.37658,0.41203
15,15,2011,Rural regions,No,0.60549,2385,12084,0.58789,0.62839
16,16,2016,Urban regions,Yes,0.28164,3082,14302,0.27057,0.29244
17,17,2016,Urban regions,No,0.71836,6283,14302,0.70247,0.74051
18,18,2016,Rural regions,Yes,0.39812,2203,14302,0.37814,0.41758
19,19,2016,Rural regions,No,0.60188,2734,14302,0.58018,0.63058
20,20,2021,Urban regions,Yes,0.29003,2431,11091,0.27587,0.30481
21,21,2021,Urban regions,No,0.70997,4994,11091,0.68754,0.73279
22,22,2021,Rural regions,Yes,0.38563,1667,11091,0.36667,0.41013
23,23,2021,Rural regions,No,0.61437,1999,11091,0.588,0.6436
