year,sampreg,petyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,West,Yes,0.32725,1627,4793,0.31396,0.34053
1996,West,No,0.67275,3166,4793,0.65947,0.68604
1996,East,Yes,0.41219,854,1838,0.38968,0.43469
1996,East,No,0.58781,984,1838,0.56531,0.61032
2001,West,Yes,0.33183,3173,8837,0.32201,0.34165
2001,West,No,0.66817,5664,8837,0.65835,0.67799
2001,East,Yes,0.44921,1404,2843,0.43092,0.46750
2001,East,No,0.55079,1439,2843,0.53250,0.56908
2006,West,Yes,0.32384,3341,9337,0.31435,0.33333
2006,West,No,0.67616,5996,9337,0.66667,0.68565
2006,East,Yes,0.41722,1369,2928,0.39935,0.43508
2006,East,No,0.58278,1559,2928,0.56492,0.60065
2011,West,Yes,0.28882,3254,9192,0.27955,0.29808
2011,West,No,0.63348,5938,9192,0.62363,0.64333
2011,East,Yes,0.36028,1229,2892,0.34278,0.37778
2011,East,No,0.56824,1663,2892,0.55019,0.58630
2016,West,Yes,0.30157,3949,11228,0.29308,0.31006
2016,West,No,0.69316,7279,11228,0.68463,0.70170
2016,East,Yes,0.38367,1336,3074,0.36648,0.40086
2016,East,No,0.61088,1738,3074,0.59364,0.62812
2021,West,Yes,0.30533,3088,8696,0.29565,0.31501
2021,West,No,0.68414,5608,8696,0.67437,0.69391
2021,East,Yes,0.36409,1010,2396,0.34482,0.38336
2021,East,No,0.62659,1386,2396,0.60722,0.64597
