year,regtyp,sampreg,petyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Urban regions,West,Yes,0.31294,1211,3770,0.29814,0.32774
1996,Urban regions,West,No,0.68706,2559,3770,0.67226,0.70186
1996,Urban regions,East,Yes,0.35985,255,638,0.32258,0.39712
1996,Urban regions,East,No,0.64015,383,638,0.60288,0.67742
1996,Rural regions,West,Yes,0.37718,416,1023,0.34746,0.40689
1996,Rural regions,West,No,0.62282,607,1023,0.59311,0.65254
1996,Rural regions,East,Yes,0.44180,599,1200,0.41369,0.46991
1996,Rural regions,East,No,0.55820,601,1200,0.53009,0.58631
2001,Urban regions,West,Yes,0.31450,2301,6828,0.30349,0.32552
2001,Urban regions,West,No,0.68550,4527,6828,0.67448,0.69651
2001,Urban regions,East,Yes,0.37504,393,955,0.34432,0.40576
2001,Urban regions,East,No,0.62496,562,955,0.59424,0.65568
2001,Rural regions,West,Yes,0.39252,872,2009,0.37116,0.41388
2001,Rural regions,West,No,0.60748,1137,2009,0.58612,0.62884
2001,Rural regions,East,Yes,0.48805,1011,1888,0.46550,0.51060
2001,Rural regions,East,No,0.51195,877,1888,0.48940,0.53450
2006,Urban regions,West,Yes,0.29713,2389,7176,0.28656,0.30771
2006,Urban regions,West,No,0.70287,4787,7176,0.69229,0.71344
2006,Urban regions,East,Yes,0.31556,368,992,0.28662,0.34449
2006,Urban regions,East,No,0.68444,624,992,0.65551,0.71338
2006,Rural regions,West,Yes,0.41191,952,2161,0.39115,0.43267
2006,Rural regions,West,No,0.58809,1209,2161,0.56733,0.60885
2006,Rural regions,East,Yes,0.47101,1001,1936,0.44877,0.49325
2006,Rural regions,East,No,0.52899,935,1936,0.50675,0.55123
2011,Urban regions,West,Yes,0.27410,2294,6851,0.26354,0.28467
2011,Urban regions,West,No,0.65090,4557,6851,0.63962,0.66219
2011,Urban regions,East,Yes,0.26561,353,1022,0.23852,0.29270
2011,Urban regions,East,No,0.65655,669,1022,0.62742,0.68567
2011,Rural regions,West,Yes,0.33428,960,2341,0.31517,0.35339
2011,Rural regions,West,No,0.57963,1381,2341,0.55963,0.59963
2011,Rural regions,East,Yes,0.41438,876,1870,0.39205,0.43672
2011,Rural regions,East,No,0.51778,994,1870,0.49513,0.54043
2016,Urban regions,West,Yes,0.27899,2693,8255,0.26931,0.28866
2016,Urban regions,West,No,0.71561,5562,8255,0.70587,0.72534
2016,Urban regions,East,Yes,0.28084,393,1122,0.25453,0.30715
2016,Urban regions,East,No,0.71300,729,1122,0.68651,0.73948
2016,Rural regions,West,Yes,0.37065,1256,2973,0.35328,0.38801
2016,Rural regions,West,No,0.62451,1717,2973,0.60710,0.64192
2016,Rural regions,East,Yes,0.44286,943,1952,0.42082,0.46490
2016,Rural regions,East,No,0.55210,1009,1952,0.53003,0.57417
2021,Urban regions,West,Yes,0.28622,2143,6533,0.27526,0.29718
2021,Urban regions,West,No,0.70236,4390,6533,0.69127,0.71344
2021,Urban regions,East,Yes,0.26868,291,901,0.23972,0.29764
2021,Urban regions,East,No,0.71277,610,901,0.68321,0.74233
2021,Rural regions,West,Yes,0.36571,945,2162,0.34540,0.38602
2021,Rural regions,West,No,0.62650,1217,2162,0.60610,0.64689
2021,Rural regions,East,Yes,0.41422,719,1495,0.38924,0.43920
2021,Rural regions,East,No,0.58132,776,1495,0.55630,0.60633
