year,hhtyp,petyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Single-person household,Yes,0.19665,298,1433,0.17606,0.21723
1996,Single-person household,No,0.80335,1135,1433,0.78277,0.82394
1996,Couple without children,Yes,0.33214,625,1841,0.31062,0.35366
1996,Couple without children,No,0.66786,1216,1841,0.64634,0.68938
1996,Single parent,Yes,0.48461,172,387,0.43476,0.53447
1996,Single parent,No,0.51539,215,387,0.46553,0.56524
1996,Couple with children,Yes,0.48482,1248,2686,0.46591,0.50372
1996,Couple with children,No,0.51518,1438,2686,0.49628,0.53409
1996,Multi-generational household,Yes,0.50360,54,124,0.41524,0.59196
1996,Multi-generational household,No,0.49640,70,124,0.40804,0.58476
1996,Other Combinations,Yes,0.58615,84,160,0.50959,0.66270
1996,Other Combinations,No,0.41385,76,160,0.33730,0.49041
2001,Single-person household,Yes,0.22974,706,2926,0.21450,0.24499
2001,Single-person household,No,0.77026,2220,2926,0.75501,0.78550
2001,Couple without children,Yes,0.33943,1286,3589,0.32393,0.35492
2001,Couple without children,No,0.66057,2303,3589,0.64508,0.67607
2001,Single parent,Yes,0.42164,314,706,0.38519,0.45810
2001,Single parent,No,0.57836,392,706,0.54190,0.61481
2001,Couple with children,Yes,0.51340,2134,4175,0.49823,0.52856
2001,Couple with children,No,0.48660,2041,4175,0.47144,0.50177
2001,Multi-generational household,Yes,0.53964,78,159,0.46193,0.61736
2001,Multi-generational household,No,0.46036,81,159,0.38264,0.53807
2001,Other Combinations,Yes,0.48963,59,125,0.40164,0.57762
2001,Other Combinations,No,0.51037,66,125,0.42238,0.59836
2006,Single-person household,Yes,0.21075,738,3288,0.19681,0.22470
2006,Single-person household,No,0.78925,2550,3288,0.77530,0.80319
2006,Couple without children,Yes,0.33050,1446,4158,0.31620,0.34480
2006,Couple without children,No,0.66950,2712,4158,0.65520,0.68380
2006,Single parent,Yes,0.47410,362,772,0.43886,0.50935
2006,Single parent,No,0.52590,410,772,0.49065,0.56114
2006,Couple with children,Yes,0.52563,2064,3837,0.50983,0.54143
2006,Couple with children,No,0.47437,1773,3837,0.45857,0.49017
2006,Multi-generational household,Yes,0.47698,59,105,0.38098,0.57297
2006,Multi-generational household,No,0.52302,46,105,0.42703,0.61902
2006,Other Combinations,Yes,0.37271,41,105,0.27978,0.46564
2006,Other Combinations,No,0.62729,64,105,0.53436,0.72022
2011,Single-person household,Yes,0.22192,798,3510,0.20817,0.23567
2011,Single-person household,No,0.77808,2712,3510,0.76433,0.79183
2011,Couple without children,Yes,0.32888,1494,4371,0.31495,0.34281
2011,Couple without children,No,0.67112,2877,4371,0.65719,0.68505
2011,Single parent,Yes,0.41720,344,784,0.38266,0.45174
2011,Single parent,No,0.58280,440,784,0.54826,0.61734
2011,Couple with children,Yes,0.53505,1762,3240,0.51787,0.55222
2011,Couple with children,No,0.46495,1478,3240,0.44778,0.48213
2011,Multi-generational household,Yes,0.49223,45,84,0.38468,0.59979
2011,Multi-generational household,No,0.50777,39,84,0.40021,0.61532
2011,Other Combinations,Yes,0.41864,40,95,0.31890,0.51837
2011,Other Combinations,No,0.58136,55,95,0.48163,0.68110
2016,Single-person household,Yes,0.20121,688,3388,0.18771,0.21471
2016,Single-person household,No,0.79879,2700,3388,0.78529,0.81229
2016,Couple without children,Yes,0.32765,1346,4097,0.31327,0.34202
2016,Couple without children,No,0.67235,2751,4097,0.65798,0.68673
2016,Single parent,Yes,0.47631,736,1524,0.45123,0.50140
2016,Single parent,No,0.52369,788,1524,0.49860,0.54877
2016,Couple with children,Yes,0.47675,2402,4990,0.46289,0.49061
2016,Couple with children,No,0.52325,2588,4990,0.50939,0.53711
2016,Multi-generational household,Yes,0.58341,59,108,0.49000,0.67683
2016,Multi-generational household,No,0.41659,49,108,0.32317,0.51000
2016,Other Combinations,Yes,0.32880,54,195,0.26270,0.39491
2016,Other Combinations,No,0.67120,141,195,0.60509,0.73730
2021,No answer / don't know,No,0.65083,42,42,0.50491,0.79675
2021,Single-person household,Yes,0.20759,671,3199,0.19353,0.22165
2021,Single-person household,No,0.79241,2528,3199,0.77835,0.80647
2021,Couple without children,Yes,0.32315,1126,3422,0.30748,0.33882
2021,Couple without children,No,0.67685,2296,3422,0.66118,0.69252
2021,Single parent,Yes,0.55001,509,896,0.51742,0.58261
2021,Single parent,No,0.44999,387,896,0.41739,0.48258
2021,Couple with children,Yes,0.47132,1631,3175,0.45395,0.48868
2021,Couple with children,No,0.52868,1544,3175,0.51132,0.54605
2021,Multi-generational household,Yes,0.54238,44,75,0.42886,0.65589
2021,Multi-generational household,No,0.45762,31,75,0.34411,0.57114
2021,Other Combinations,Yes,0.36908,99,265,0.31087,0.42729
2021,Other Combinations,No,0.63092,166,265,0.57271,0.68913
