,Unnamed: 0,year,hhtyp,rentown,petyn,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1996,Single-person household,Owner,Yes,0.23544,76,6560,0.20416,0.26685
1,1,1996,Single-person household,Owner,No,0.76456,217,6560,0.72621,0.81094
2,2,1996,Single-person household,Tenant,Yes,0.18435,222,6560,0.17024,0.19945
3,3,1996,Single-person household,Tenant,No,0.81565,918,6560,0.78413,0.84961
4,4,1996,Couple without children,Owner,Yes,0.35936,283,6560,0.33157,0.38629
5,5,1996,Couple without children,Owner,No,0.64064,408,6560,0.6103,0.68116
6,6,1996,Couple without children,Tenant,Yes,0.30881,342,6560,0.28675,0.33364
7,7,1996,Couple without children,Tenant,No,0.69119,808,6560,0.6557,0.71812
8,8,1996,Single parent,Owner,Yes,0.54912,56,6560,0.46471,0.63973
9,9,1996,Single parent,Owner,No,0.45088,46,6560,0.36865,0.53314
10,10,1996,Single parent,Tenant,Yes,0.45483,116,6560,0.39542,0.52695
11,11,1996,Single parent,Tenant,No,0.54517,169,6560,0.47896,0.60777
12,12,1996,Couple with children,Owner,Yes,0.53684,659,6560,0.5094,0.56658
13,13,1996,Couple with children,Owner,No,0.46316,514,6560,0.43674,0.49299
14,14,1996,Couple with children,Tenant,Yes,0.42254,589,6560,0.39897,0.44836
15,15,1996,Couple with children,Tenant,No,0.57746,924,6560,0.54333,0.60877
16,16,1996,Multi-generational household,Owner,Yes,1.0,38,6560,0.80193,1.24235
17,17,1996,Multi-generational household,Tenant,No,1.0,40,6560,0.73137,1.2627
18,18,1996,Other Combinations,Owner,Yes,1.0,43,6560,0.79931,1.22013
19,19,1996,Other Combinations,Tenant,Yes,0.51955,41,6560,0.42621,0.6196
20,20,1996,Other Combinations,Tenant,No,0.48045,51,6560,0.37536,0.5991
21,21,2001,Single-person household,Owner,Yes,0.28302,249,11628,0.26922,0.29791
22,22,2001,Single-person household,Owner,No,0.71698,524,11628,0.69642,0.74982
23,23,2001,Single-person household,Tenant,Yes,0.21067,457,11628,0.20171,0.21988
24,24,2001,Single-person household,Tenant,No,0.78933,1696,11628,0.77378,0.80589
25,25,2001,Couple without children,Owner,Yes,0.36623,698,11628,0.3545,0.37989
26,26,2001,Couple without children,Owner,No,0.63377,1083,11628,0.61814,0.6524
27,27,2001,Couple without children,Tenant,Yes,0.31089,588,11628,0.29587,0.32809
28,28,2001,Couple without children,Tenant,No,0.68911,1220,11628,0.66576,0.71242
29,29,2001,Single parent,Owner,Yes,0.44308,91,11628,0.40056,0.49685
30,30,2001,Single parent,Owner,No,0.55692,101,11628,0.48192,0.62743
31,31,2001,Single parent,Tenant,Yes,0.41404,223,11628,0.38051,0.44262
32,32,2001,Single parent,Tenant,No,0.58596,291,11628,0.54745,0.63317
33,33,2001,Couple with children,Owner,Yes,0.56409,1330,11628,0.54124,0.58061
34,34,2001,Couple with children,Owner,No,0.43591,1009,11628,0.4187,0.45111
35,35,2001,Couple with children,Tenant,Yes,0.44979,804,11628,0.4268,0.46785
36,36,2001,Couple with children,Tenant,No,0.55021,1032,11628,0.52831,0.57214
37,37,2001,Multi-generational household,Owner,Yes,0.65965,71,11628,0.58116,0.74973
38,38,2001,Multi-generational household,Owner,No,0.34035,45,11628,0.27599,0.39049
39,39,2001,Multi-generational household,Tenant,No,1.0,36,11628,0.78601,1.28078
40,40,2001,Other Combinations,Owner,Yes,1.0,40,11628,0.79801,1.14623
41,41,2001,Other Combinations,Tenant,No,1.0,40,11628,0.83053,1.22133
42,42,2006,Single-person household,Owner,Yes,0.24433,248,12141,0.22946,0.26021
43,43,2006,Single-person household,Owner,No,0.75567,708,12141,0.72614,0.78856
44,44,2006,Single-person household,Tenant,Yes,0.19788,490,12141,0.18779,0.20743
45,45,2006,Single-person household,Tenant,No,0.80212,1841,12141,0.77923,0.82076
46,46,2006,Couple without children,Owner,Yes,0.36442,870,12141,0.34716,0.3819
47,47,2006,Couple without children,Owner,No,0.63558,1438,12141,0.61206,0.66237
48,48,2006,Couple without children,Tenant,Yes,0.29432,576,12141,0.27505,0.31511
49,49,2006,Couple without children,Tenant,No,0.70568,1274,12141,0.67557,0.73353
50,50,2006,Single parent,Owner,Yes,0.47794,109,12141,0.40589,0.5427
51,51,2006,Single parent,Owner,No,0.52206,116,12141,0.45679,0.60173
52,52,2006,Single parent,Tenant,Yes,0.47308,253,12141,0.43134,0.51563
53,53,2006,Single parent,Tenant,No,0.52692,294,12141,0.48389,0.57743
54,54,2006,Couple with children,Owner,Yes,0.57913,1372,12141,0.55207,0.60927
55,55,2006,Couple with children,Owner,No,0.42087,1003,12141,0.39892,0.43931
56,56,2006,Couple with children,Tenant,Yes,0.45885,691,12141,0.43379,0.48669
57,57,2006,Couple with children,Tenant,No,0.54115,770,12141,0.51424,0.569
58,58,2006,Multi-generational household,Owner,Yes,1.0,51,12141,0.78556,1.24926
59,59,2006,Other Combinations,Owner,No,1.0,37,12141,0.77436,1.31853
60,60,2011,Single-person household,Owner,Yes,0.25543,288,11937,0.23812,0.27418
61,61,2011,Single-person household,Owner,No,0.74457,787,11937,0.71234,0.77378
62,62,2011,Single-person household,Tenant,Yes,0.20665,510,11937,0.19589,0.22013
63,63,2011,Single-person household,Tenant,No,0.79335,1925,11937,0.77243,0.81815
64,64,2011,Couple without children,Owner,Yes,0.33974,894,11937,0.32349,0.35858
65,65,2011,Couple without children,Owner,No,0.66026,1620,11937,0.63504,0.69622
