,Unnamed: 0,year,hhtyp,regtyp,petyn,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1996,Single-person household,Urban regions,Yes,0.19723,206,6560,0.1818,0.21632
1,1,1996,Single-person household,Urban regions,No,0.80277,803,6560,0.77231,0.83286
2,2,1996,Single-person household,Rural regions,Yes,0.19522,92,6560,0.16771,0.21938
3,3,1996,Single-person household,Rural regions,No,0.80478,332,6560,0.74938,0.85154
4,4,1996,Couple without children,Urban regions,Yes,0.30574,369,6560,0.28325,0.3279
5,5,1996,Couple without children,Urban regions,No,0.69426,862,6560,0.66264,0.72809
6,6,1996,Couple without children,Rural regions,Yes,0.39459,256,6560,0.36237,0.42552
7,7,1996,Couple without children,Rural regions,No,0.60541,354,6560,0.56772,0.65679
8,8,1996,Single parent,Urban regions,Yes,0.45776,110,6560,0.40162,0.51962
9,9,1996,Single parent,Urban regions,No,0.54224,149,6560,0.47131,0.6061
10,10,1996,Single parent,Rural regions,Yes,0.54548,62,6560,0.46551,0.63356
11,11,1996,Single parent,Rural regions,No,0.45452,66,6560,0.37337,0.5269
12,12,1996,Couple with children,Urban regions,Yes,0.44771,705,6560,0.42578,0.47297
13,13,1996,Couple with children,Urban regions,No,0.55229,1022,6560,0.52465,0.589
14,14,1996,Couple with children,Rural regions,Yes,0.56063,543,6560,0.52644,0.59842
15,15,1996,Couple with children,Rural regions,No,0.43937,416,6560,0.40737,0.47822
16,16,1996,Multi-generational household,Urban regions,No,1.0,53,6560,0.74838,1.3411
17,17,1996,Other Combinations,Urban regions,Yes,0.58304,49,6560,0.47996,0.68622
18,18,1996,Other Combinations,Urban regions,No,0.41696,45,6560,0.32586,0.49721
19,19,1996,Other Combinations,Rural regions,Yes,0.59124,35,6560,0.47489,0.73651
20,20,1996,Other Combinations,Rural regions,No,0.40876,31,6560,0.32303,0.51117
21,21,2001,Single-person household,Urban regions,Yes,0.20957,440,11620,0.19988,0.21906
22,22,2001,Single-person household,Urban regions,No,0.79043,1619,11620,0.773,0.80616
23,23,2001,Single-person household,Rural regions,Yes,0.28271,266,11620,0.26566,0.29863
24,24,2001,Single-person household,Rural regions,No,0.71729,601,11620,0.6925,0.74132
25,25,2001,Couple without children,Urban regions,Yes,0.31058,757,11620,0.30066,0.32322
26,26,2001,Couple without children,Urban regions,No,0.68942,1617,11620,0.66853,0.70637
27,27,2001,Couple without children,Rural regions,Yes,0.40319,529,11620,0.38414,0.42213
28,28,2001,Couple without children,Rural regions,No,0.59681,686,11620,0.57506,0.62626
29,29,2001,Single parent,Urban regions,Yes,0.39596,192,11620,0.36615,0.4276
30,30,2001,Single parent,Urban regions,No,0.60404,274,11620,0.56793,0.65097
31,31,2001,Single parent,Rural regions,Yes,0.47823,122,11620,0.42791,0.52382
32,32,2001,Single parent,Rural regions,No,0.52177,118,11620,0.45375,0.58814
33,33,2001,Couple with children,Urban regions,Yes,0.47242,1227,11620,0.45558,0.48951
34,34,2001,Couple with children,Urban regions,No,0.52758,1453,11620,0.51138,0.54388
35,35,2001,Couple with children,Rural regions,Yes,0.59553,907,11620,0.57091,0.62043
36,36,2001,Couple with children,Rural regions,No,0.40447,588,11620,0.38276,0.42392
37,37,2001,Multi-generational household,Urban regions,Yes,0.43523,42,11620,0.36772,0.51677
38,38,2001,Multi-generational household,Urban regions,No,0.56477,63,11620,0.48143,0.62911
39,39,2001,Multi-generational household,Rural regions,Yes,1.0,36,11620,0.84103,1.22909
40,40,2001,Other Combinations,Urban regions,Yes,0.41026,32,11620,0.34608,0.47973
41,41,2001,Other Combinations,Urban regions,No,0.58974,51,11620,0.50421,0.67798
42,42,2006,Single-person household,Urban regions,Yes,0.18444,440,12168,0.17566,0.19322
43,43,2006,Single-person household,Urban regions,No,0.81556,1817,12168,0.79849,0.83677
44,44,2006,Single-person household,Rural regions,Yes,0.27605,298,12168,0.25859,0.29158
45,45,2006,Single-person household,Rural regions,No,0.72395,733,12168,0.69737,0.75515
46,46,2006,Couple without children,Urban regions,Yes,0.28707,854,12168,0.27375,0.30714
47,47,2006,Couple without children,Urban regions,No,0.71293,1926,12168,0.6883,0.73372
48,48,2006,Couple without children,Rural regions,Yes,0.42158,592,12168,0.39656,0.45319
49,49,2006,Couple without children,Rural regions,No,0.57842,786,12168,0.54806,0.60792
50,50,2006,Single parent,Urban regions,Yes,0.43561,212,12168,0.39714,0.47402
51,51,2006,Single parent,Urban regions,No,0.56439,282,12168,0.51738,0.60461
52,52,2006,Single parent,Rural regions,Yes,0.54941,150,12168,0.48447,0.61451
53,53,2006,Single parent,Rural regions,No,0.45059,128,12168,0.39843,0.50729
54,54,2006,Couple with children,Urban regions,Yes,0.47501,1204,12168,0.45199,0.49565
55,55,2006,Couple with children,Urban regions,No,0.52499,1285,12168,0.4994,0.54656
56,56,2006,Couple with children,Rural regions,Yes,0.6276,860,12168,0.59097,0.66221
57,57,2006,Couple with children,Rural regions,No,0.3724,488,12168,0.34136,0.40222
58,58,2006,Multi-generational household,Urban regions,No,1.0,34,12168,0.7098,1.30464
59,59,2006,Multi-generational household,Rural regions,Yes,1.0,33,12168,0.71775,1.35854
60,60,2006,Other Combinations,Urban regions,No,1.0,46,12168,0.74711,1.27724
61,61,2011,Single-person household,Urban regions,Yes,0.19744,487,11946,0.18816,0.209
62,62,2011,Single-person household,Urban regions,No,0.80256,1901,11946,0.77664,0.82361
63,63,2011,Single-person household,Rural regions,Yes,0.28256,311,11946,0.26142,0.30406
64,64,2011,Single-person household,Rural regions,No,0.71744,811,11946,0.68651,0.75219
65,65,2011,Couple without children,Urban regions,Yes,0.30686,867,11946,0.28954,0.32463
66,66,2011,Couple without children,Urban regions,No,0.69314,1899,11946,0.66939,0.71486
67,67,2011,Couple without children,Rural regions,Yes,0.37188,627,11946,0.34742,0.40186
68,68,2011,Couple without children,Rural regions,No,0.62812,978,11946,0.5939,0.66456
69,69,2011,Single parent,Urban regions,Yes,0.3905,219,11946,0.35062,0.43252
70,70,2011,Single parent,Urban regions,No,0.6095,297,11946,0.53331,0.67343
71,71,2011,Single parent,Rural regions,Yes,0.47806,125,11946,0.39911,0.57693
72,72,2011,Single parent,Rural regions,No,0.52194,143,11946,0.43093,0.62237
73,73,2011,Couple with children,Urban regions,Yes,0.49227,1026,11946,0.46298,0.52219
74,74,2011,Couple with children,Urban regions,No,0.50773,1056,11946,0.46975,0.53738
75,75,2011,Couple with children,Rural regions,Yes,0.62789,736,11946,0.58041,0.6725
76,76,2011,Couple with children,Rural regions,No,0.37211,422,11946,0.33822,0.41038
77,77,2011,Other Combinations,Urban regions,No,1.0,41,11946,0.72273,1.35177
78,78,2016,Single-person household,Urban regions,Yes,0.17217,405,14211,0.15758,0.18622
79,79,2016,Single-person household,Urban regions,No,0.82783,1912,14211,0.79865,0.85754
80,80,2016,Single-person household,Rural regions,Yes,0.27184,283,14211,0.24865,0.29718
81,81,2016,Single-person household,Rural regions,No,0.72816,788,14211,0.68825,0.76672
82,82,2016,Couple without children,Urban regions,Yes,0.29258,747,14211,0.26961,0.3105
83,83,2016,Couple without children,Urban regions,No,0.70742,1820,14211,0.67289,0.74057
84,84,2016,Couple without children,Rural regions,Yes,0.39352,599,14211,0.35827,0.42065
85,85,2016,Couple without children,Rural regions,No,0.60648,931,14211,0.56804,0.65175
86,86,2016,Single parent,Urban regions,Yes,0.43948,451,14211,0.39868,0.48577
87,87,2016,Single parent,Urban regions,No,0.56052,540,14211,0.51636,0.61164
88,88,2016,Single parent,Rural regions,Yes,0.5409,285,14211,0.4634,0.61333
89,89,2016,Single parent,Rural regions,No,0.4591,248,14211,0.38817,0.53281
90,90,2016,Couple with children,Urban regions,Yes,0.43406,1412,14211,0.40498,0.46862
91,91,2016,Couple with children,Urban regions,No,0.56594,1877,14211,0.53717,0.60281
92,92,2016,Couple with children,Rural regions,Yes,0.57824,990,14211,0.53753,0.62899
93,93,2016,Couple with children,Rural regions,No,0.42176,711,14211,0.38089,0.46911
94,94,2016,Multi-generational household,Urban regions,No,1.0,34,14211,0.61887,1.51205
95,95,2016,Other Combinations,Urban regions,Yes,0.29091,37,14211,0.20899,0.37807
96,96,2016,Other Combinations,Urban regions,No,0.70909,100,14211,0.59266,0.84941
97,97,2016,Other Combinations,Rural regions,No,1.0,41,14211,0.7268,1.28564
98,98,2021,Single-person household,Urban regions,Yes,0.18572,420,10907,0.16902,0.20747
99,99,2021,Single-person household,Urban regions,No,0.81428,1842,10907,0.78172,0.85307
100,100,2021,Single-person household,Rural regions,Yes,0.25965,252,10907,0.22955,0.29132
101,101,2021,Single-person household,Rural regions,No,0.74035,692,10907,0.6817,0.79074
102,102,2021,Couple without children,Urban regions,Yes,0.29464,646,10907,0.26796,0.32112
103,103,2021,Couple without children,Urban regions,No,0.70536,1567,10907,0.66719,0.74319
104,104,2021,Couple without children,Rural regions,Yes,0.38394,474,10907,0.34439,0.42572
105,105,2021,Couple without children,Rural regions,No,0.61606,719,10907,0.56779,0.66909
106,106,2021,Single parent,Urban regions,Yes,0.51361,295,10907,0.44672,0.5926
107,107,2021,Single parent,Urban regions,No,0.48639,275,10907,0.41431,0.55256
108,108,2021,Single parent,Rural regions,Yes,0.63202,215,10907,0.53347,0.76406
109,109,2021,Single parent,Rural regions,No,0.36798,109,10907,0.30006,0.49373
110,110,2021,Couple with children,Urban regions,Yes,0.43957,960,10907,0.40174,0.47666
111,111,2021,Couple with children,Urban regions,No,0.56043,1124,10907,0.52133,0.60678
