"ple0004","year","bildungsniveau","bula_h","n","percent","lower_confidence","upper_confidence"
"Stark","2002","(noch) kein Abschluss","Schleswig-Holstein","4","","",""
"Stark","2002","(noch) kein Abschluss","Hamburg","","","",""
"Stark","2002","(noch) kein Abschluss","Niedersachsen","4","","",""
"Stark","2002","(noch) kein Abschluss","Bremen","","","",""
"Stark","2002","(noch) kein Abschluss","Nordrhein-Westfalen","15","","",""
"Stark","2002","(noch) kein Abschluss","Hessen","12","","",""
"Stark","2002","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","5","","",""
"Stark","2002","(noch) kein Abschluss","Baden-Wuerttemberg","15","","",""
"Stark","2002","(noch) kein Abschluss","Bayern","9","","",""
"Stark","2002","(noch) kein Abschluss","Saarland","","","",""
"Stark","2002","(noch) kein Abschluss","Berlin","2","","",""
"Stark","2002","(noch) kein Abschluss","Brandenburg","","","",""
"Stark","2002","(noch) kein Abschluss","Mecklenburg-Vorpommern","","","",""
"Stark","2002","(noch) kein Abschluss","Sachsen","","","",""
"Stark","2002","(noch) kein Abschluss","Sachsen-Anhalt","","","",""
"Stark","2002","(noch) kein Abschluss","Thueringen","1","","",""
"Stark","2002","Hauptschule","Schleswig-Holstein","49","0.173913027659359","0.130950340073545","0.216875715245172"
"Stark","2002","Hauptschule","Hamburg","23","","",""
"Stark","2002","Hauptschule","Niedersachsen","123","0.160343389832983","0.135059131654747","0.185627648011218"
"Stark","2002","Hauptschule","Bremen","15","","",""
"Stark","2002","Hauptschule","Nordrhein-Westfalen","312","0.173957746470788","0.157389937683663","0.190525555257913"
"Stark","2002","Hauptschule","Hessen","123","0.224902202746142","0.191549967049022","0.258254438443262"
"Stark","2002","Hauptschule","Rheinland-Pfalz,Saarland","103","0.14619898423383","0.120302215327887","0.172095753139773"
"Stark","2002","Hauptschule","Baden-Wuerttemberg","158","0.155201632519713","0.13477394849724","0.175629316542187"
"Stark","2002","Hauptschule","Bayern","164","0.135211543542604","0.11778441513285","0.152638671952359"
"Stark","2002","Hauptschule","Saarland","","","",""
"Stark","2002","Hauptschule","Berlin","30","0.196078963617782","0.136744630502948","0.255413296732615"
"Stark","2002","Hauptschule","Brandenburg","73","0.30966213049668","0.253024769927171","0.366299491066189"
"Stark","2002","Hauptschule","Mecklenburg-Vorpommern","32","0.299648952951705","0.218024613594514","0.381273292308897"
"Stark","2002","Hauptschule","Sachsen","103","0.257460425686869","0.216698752729143","0.298222098644595"
"Stark","2002","Hauptschule","Sachsen-Anhalt","70","0.225471857031956","0.179102020350427","0.271841693713486"
"Stark","2002","Hauptschule","Thueringen","58","0.171810044760317","0.129545457451214","0.214074632069421"
"Stark","2002","Realschule","Schleswig-Holstein","12","","",""
"Stark","2002","Realschule","Hamburg","10","","",""
"Stark","2002","Realschule","Niedersachsen","34","0.0740937539235497","0.0523224218795084","0.0958650859675909"
"Stark","2002","Realschule","Bremen","","","",""
"Stark","2002","Realschule","Nordrhein-Westfalen","55","0.078747903587782","0.0617978541624473","0.0956979530131167"
"Stark","2002","Realschule","Hessen","22","","",""
"Stark","2002","Realschule","Rheinland-Pfalz,Saarland","12","","",""
"Stark","2002","Realschule","Baden-Wuerttemberg","34","0.0793829803941744","0.0576430540468449","0.101122906741504"
"Stark","2002","Realschule","Bayern","34","0.0648661712666354","0.0471330573796938","0.082599285153577"
"Stark","2002","Realschule","Saarland","","","",""
"Stark","2002","Realschule","Berlin","23","","",""
"Stark","2002","Realschule","Brandenburg","17","","",""
"Stark","2002","Realschule","Mecklenburg-Vorpommern","11","","",""
"Stark","2002","Realschule","Sachsen","36","0.0596849738532607","0.041430675573405","0.0779392721331163"
"Stark","2002","Realschule","Sachsen-Anhalt","29","","",""
"Stark","2002","Realschule","Thueringen","16","","",""
"Stark","2002","(Fach-)Abitur","Schleswig-Holstein","2","","",""
"Stark","2002","(Fach-)Abitur","Hamburg","2","","",""
"Stark","2002","(Fach-)Abitur","Niedersachsen","11","","",""
"Stark","2002","(Fach-)Abitur","Bremen","3","","",""
"Stark","2002","(Fach-)Abitur","Nordrhein-Westfalen","34","0.065800944517419","0.0474209541741888","0.0841809348606491"
"Stark","2002","(Fach-)Abitur","Hessen","10","","",""
"Stark","2002","(Fach-)Abitur","Rheinland-Pfalz,Saarland","5","","",""
"Stark","2002","(Fach-)Abitur","Baden-Wuerttemberg","11","","",""
"Stark","2002","(Fach-)Abitur","Bayern","14","","",""
"Stark","2002","(Fach-)Abitur","Saarland","","","",""
"Stark","2002","(Fach-)Abitur","Berlin","6","","",""
"Stark","2002","(Fach-)Abitur","Brandenburg","1","","",""
"Stark","2002","(Fach-)Abitur","Mecklenburg-Vorpommern","","","",""
"Stark","2002","(Fach-)Abitur","Sachsen","4","","",""
"Stark","2002","(Fach-)Abitur","Sachsen-Anhalt","3","","",""
"Stark","2002","(Fach-)Abitur","Thueringen","","","",""
"Stark","2002","AkademikerIn","Schleswig-Holstein","3","","",""
"Stark","2002","AkademikerIn","Hamburg","4","","",""
"Stark","2002","AkademikerIn","Niedersachsen","16","","",""
"Stark","2002","AkademikerIn","Bremen","1","","",""
"Stark","2002","AkademikerIn","Nordrhein-Westfalen","33","0.0500944270422384","0.0357469171519692","0.0644419369325076"
"Stark","2002","AkademikerIn","Hessen","15","","",""
"Stark","2002","AkademikerIn","Rheinland-Pfalz,Saarland","11","","",""
"Stark","2002","AkademikerIn","Baden-Wuerttemberg","23","","",""
"Stark","2002","AkademikerIn","Bayern","32","0.0755538090423209","0.0548011826085634","0.0963064354760783"
"Stark","2002","AkademikerIn","Saarland","","","",""
"Stark","2002","AkademikerIn","Berlin","17","","",""
"Stark","2002","AkademikerIn","Brandenburg","28","","",""
"Stark","2002","AkademikerIn","Mecklenburg-Vorpommern","7","","",""
"Stark","2002","AkademikerIn","Sachsen","20","","",""
"Stark","2002","AkademikerIn","Sachsen-Anhalt","21","","",""
"Stark","2002","AkademikerIn","Thueringen","11","","",""
"Ein wenig","2002","(noch) kein Abschluss","Schleswig-Holstein","4","","",""
"Ein wenig","2002","(noch) kein Abschluss","Hamburg","2","","",""
"Ein wenig","2002","(noch) kein Abschluss","Niedersachsen","24","","",""
"Ein wenig","2002","(noch) kein Abschluss","Bremen","","","",""
"Ein wenig","2002","(noch) kein Abschluss","Nordrhein-Westfalen","50","0.219957283625638","0.168090010532714","0.271824556718563"
"Ein wenig","2002","(noch) kein Abschluss","Hessen","11","","",""
