year,migback,ple0004,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,No migration background,Strong,0.12212,1876,19416,0.11752,0.12673
2002,No migration background,A Little,0.30295,5477,19416,0.29648,0.30941
2002,No migration background,Not at all,0.57493,12063,19416,0.56798,0.58188
2002,Direct migration background,Strong,0.11388,302,2789,0.10209,0.12567
2002,Direct migration background,A Little,0.31564,847,2789,0.29839,0.33289
2002,Direct migration background,Not at all,0.57048,1640,2789,0.55210,0.58885
2002,Indirect migration background,A Little,0.17396,111,736,0.14655,0.20136
2002,Indirect migration background,Not at all,0.78456,625,736,0.75484,0.81428
2004,No migration background,Strong,0.12787,1829,18227,0.12302,0.13271
2004,No migration background,A Little,0.30598,5241,18227,0.29929,0.31267
2004,No migration background,Not at all,0.56615,11157,18227,0.55896,0.57335
2004,Direct migration background,Strong,0.12596,286,2528,0.11302,0.13889
2004,Direct migration background,A Little,0.30524,773,2528,0.28729,0.32320
2004,Direct migration background,Not at all,0.56880,1469,2528,0.54949,0.58811
2004,Indirect migration background,A Little,0.15327,114,777,0.12792,0.17862
2004,Indirect migration background,Not at all,0.82139,663,777,0.79444,0.84834
2006,No migration background,Strong,0.12076,1914,18737,0.11610,0.12543
2006,No migration background,A Little,0.31319,5657,18737,0.30655,0.31983
2006,No migration background,Not at all,0.56604,11166,18737,0.55894,0.57314
2006,Direct migration background,Strong,0.13318,307,2373,0.11950,0.14685
2006,Direct migration background,A Little,0.34831,788,2373,0.32913,0.36748
2006,Direct migration background,Not at all,0.51852,1278,2373,0.49841,0.53862
2006,Indirect migration background,A Little,0.15872,126,792,0.13325,0.18419
2006,Indirect migration background,Not at all,0.81253,666,792,0.78533,0.83973
2008,No migration background,Strong,0.11892,1738,16605,0.11400,0.12385
2008,No migration background,A Little,0.31356,5049,16605,0.30650,0.32061
2008,No migration background,Not at all,0.56752,9818,16605,0.55998,0.57506
2008,Direct migration background,Strong,0.13399,250,1900,0.11867,0.14931
2008,Direct migration background,A Little,0.32769,599,1900,0.30658,0.34880
2008,Direct migration background,Not at all,0.53832,1051,1900,0.51590,0.56074
2008,Indirect migration background,A Little,0.13965,110,738,0.11462,0.16467
2008,Indirect migration background,Not at all,0.81838,628,738,0.79054,0.84621
2014,No migration background,Strong,0.12666,2116,20042,0.12206,0.13127
2014,No migration background,A Little,0.32449,6041,20042,0.31801,0.33097
2014,No migration background,Not at all,0.54885,11885,20042,0.54196,0.55573
2014,Direct migration background,Strong,0.13099,516,5271,0.12188,0.14010
2014,Direct migration background,A Little,0.26951,1368,5271,0.25753,0.28149
2014,Direct migration background,Not at all,0.59950,3387,5271,0.58627,0.61273
2014,Indirect migration background,Strong,0.03323,57,1695,0.02470,0.04177
2014,Indirect migration background,A Little,0.18078,303,1695,0.16246,0.19911
2014,Indirect migration background,Not at all,0.78599,1335,1695,0.76646,0.80552
2016,No migration background,Strong,0.12651,1934,17724,0.12162,0.13141
2016,No migration background,A Little,0.32666,5582,17724,0.31975,0.33356
2016,No migration background,Not at all,0.54683,10208,17724,0.53950,0.55416
2016,Direct migration background,Strong,0.11251,688,7879,0.10553,0.11949
2016,Direct migration background,A Little,0.28449,1885,7879,0.27452,0.29445
2016,Direct migration background,Not at all,0.60301,5306,7879,0.59220,0.61381
2016,Indirect migration background,Strong,0.03684,59,1459,0.02717,0.04651
2016,Indirect migration background,A Little,0.17436,284,1459,0.15488,0.19384
2016,Indirect migration background,Not at all,0.78880,1116,1459,0.76785,0.80975
2018,No migration background,Strong,0.12327,2033,19376,0.11864,0.12790
2018,No migration background,A Little,0.32866,6025,19376,0.32205,0.33527
2018,No migration background,Not at all,0.54807,11318,19376,0.54106,0.55508
2018,Direct migration background,Strong,0.12132,782,8123,0.11422,0.12842
2018,Direct migration background,A Little,0.29197,2172,8123,0.28208,0.30185
2018,Direct migration background,Not at all,0.58671,5169,8123,0.57600,0.59742
2018,Indirect migration background,Strong,0.03538,61,1602,0.02633,0.04443
2018,Indirect migration background,A Little,0.21356,330,1602,0.19348,0.23363
2018,Indirect migration background,Not at all,0.75106,1211,1602,0.72988,0.77224
2020,No migration background,Strong,0.11969,1833,18480,0.11501,0.12437
2020,No migration background,A Little,0.34112,6063,18480,0.33428,0.34795
2020,No migration background,Not at all,0.53919,10584,18480,0.53200,0.54638
2020,Direct migration background,Strong,0.12507,883,9340,0.11836,0.13178
2020,Direct migration background,A Little,0.35212,2581,9340,0.34243,0.36180
2020,Direct migration background,Not at all,0.52282,5876,9340,0.51269,0.53295
2020,Indirect migration background,Strong,0.04564,63,1530,0.03518,0.05610
2020,Indirect migration background,A Little,0.22909,362,1530,0.20803,0.25015
2020,Indirect migration background,Not at all,0.72527,1105,1530,0.70289,0.74764
2022,No migration background,Strong,0.12376,1724,18305,0.11899,0.12853
2022,No migration background,A Little,0.34850,6030,18305,0.34160,0.35540
2022,No migration background,Not at all,0.52774,10551,18305,0.52051,0.53497
2022,Direct migration background,Strong,0.14239,833,8117,0.13478,0.14999
2022,Direct migration background,A Little,0.33487,2468,8117,0.32460,0.34514
2022,Direct migration background,Not at all,0.52274,4816,8117,0.51187,0.53361
2022,Indirect migration background,Strong,0.06841,102,1451,0.05542,0.08140
2022,Indirect migration background,A Little,0.30222,415,1451,0.27859,0.32586
2022,Indirect migration background,Not at all,0.62937,934,1451,0.60451,0.65423
