"ple0004","year","age_gr","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Stark","2002","17-34","105","0.0188704078775895","0.0154605782351811","0.022280237519998"
"Stark","2002","35-65","1050","0.0889659810782476","0.0841235768272201","0.0938083853292751"
"Stark","2002","66 +","1053","0.317305089107131","0.302050476348038","0.332559701866223"
"Ein wenig","2002","17-34","778","0.134029380109676","0.125491885663861","0.142566874555491"
"Ein wenig","2002","35-65","3996","0.316651649611186","0.308739514197409","0.324563785024963"
"Ein wenig","2002","66 +","1661","0.461718739316732","0.445379090543002","0.478058388090461"
"Gar nicht","2002","17-34","5234","0.847100212012735","0.838081392670019","0.856119031355451"
"Gar nicht","2002","35-65","8232","0.594382369310567","0.586030703069604","0.602734035551529"
"Gar nicht","2002","66 +","862","0.220976171576138","0.207377470432683","0.234574872719593"
"Stark","2003","17-34","","","",""
"Stark","2003","35-65","","","",""
"Stark","2003","66 +","","","",""
"Ein wenig","2003","17-34","","","",""
"Ein wenig","2003","35-65","","","",""
"Ein wenig","2003","66 +","","","",""
"Gar nicht","2003","17-34","","","",""
"Gar nicht","2003","35-65","","","",""
"Gar nicht","2003","66 +","","","",""
"Stark","2004","17-34","80","0.0170882907856582","0.0136933030388835","0.0204832785324329"
"Stark","2004","35-65","911","0.0880778552180817","0.0830519580129473","0.0931037524232162"
"Stark","2004","66 +","1144","0.329933382726162","0.314862368517292","0.345004396935033"
"Ein wenig","2004","17-34","764","0.136973528309626","0.127966904489097","0.145980152130155"
"Ein wenig","2004","35-65","3707","0.31587002348407","0.307626272364489","0.324113774603652"
"Ein wenig","2004","66 +","1657","0.444288864545425","0.428362097702541","0.460215631388309"
"Gar nicht","2004","17-34","4754","0.845938180904716","0.836481288057512","0.85539507375192"
"Gar nicht","2004","35-65","7597","0.596052121297848","0.587350380548332","0.604753862047364"
"Gar nicht","2004","66 +","938","0.225777752728413","0.21237655068946","0.239178954767366"
"Stark","2005","17-34","","","",""
"Stark","2005","35-65","","","",""
"Stark","2005","66 +","","","",""
"Ein wenig","2005","17-34","","","",""
"Ein wenig","2005","35-65","","","",""
"Ein wenig","2005","66 +","","","",""
"Gar nicht","2005","17-34","","","",""
"Gar nicht","2005","35-65","","","",""
"Gar nicht","2005","66 +","","","",""
"Stark","2006","17-34","59","0.0130628833892616","0.00995032910449978","0.0161754376740234"
"Stark","2006","35-65","903","0.0830660413847941","0.078207503303564","0.0879245794660242"
"Stark","2006","66 +","1279","0.314799338621798","0.301099718351432","0.328498958892164"
"Ein wenig","2006","17-34","777","0.159111837330839","0.149084790731739","0.169138883929939"
"Ein wenig","2006","35-65","3837","0.322721278113296","0.314490851598489","0.330951704628102"
"Ein wenig","2006","66 +","1957","0.446321692470982","0.431658265214272","0.460985119727691"
"Gar nicht","2006","17-34","4276","0.827825279279899","0.81747608108242","0.838174477477379"
"Gar nicht","2006","35-65","7655","0.59421268050191","0.585568078184605","0.602857282819215"
"Gar nicht","2006","66 +","1179","0.23887896890722","0.226301346397501","0.25145659141694"
"Stark","2007","17-34","","","",""
"Stark","2007","35-65","","","",""
"Stark","2007","66 +","","","",""
"Ein wenig","2007","17-34","","","",""
"Ein wenig","2007","35-65","","","",""
"Ein wenig","2007","66 +","","","",""
"Gar nicht","2007","17-34","","","",""
"Gar nicht","2007","35-65","","","",""
"Gar nicht","2007","66 +","","","",""
"Stark","2008","17-34","57","0.016353285494212","0.0125773399731143","0.0201292310153096"
"Stark","2008","35-65","783","0.0841533839243501","0.0788815794764609","0.0894251883722394"
"Stark","2008","66 +","1176","0.2930864559998","0.27945618828651","0.306716723713089"
"Ein wenig","2008","17-34","661","0.151631813767435","0.14095378738524","0.162309840149629"
"Ein wenig","2008","35-65","3179","0.312188476824593","0.303389031733189","0.320987921915997"
"Ein wenig","2008","66 +","1918","0.451901520164361","0.436998490708105","0.466804549620616"
"Gar nicht","2008","17-34","3616","0.832014900738353","0.820884659694406","0.843145141782301"
"Gar nicht","2008","35-65","6691","0.603658139251056","0.594369702463691","0.612946576038422"
"Gar nicht","2008","66 +","1190","0.255012023835839","0.241959986103336","0.268064061568342"
"Stark","2009","17-34","","","",""
"Stark","2009","35-65","","","",""
"Stark","2009","66 +","","","",""
"Ein wenig","2009","17-34","","","",""
"Ein wenig","2009","35-65","","","",""
"Ein wenig","2009","66 +","","","",""
"Gar nicht","2009","17-34","","","",""
"Gar nicht","2009","35-65","","","",""
"Gar nicht","2009","66 +","","","",""
"Stark","2010","17-34","45","0.0153719829070364","0.0113255364706091","0.0194184293434637"
"Stark","2010","35-65","701","0.0929670293796081","0.0869842937074707","0.0989497650517455"
"Stark","2010","66 +","1071","0.29069055912225","0.276616942291021","0.30476417595348"
"Ein wenig","2010","17-34","580","0.16593175777925","0.153695790568684","0.178167724989817"
"Ein wenig","2010","35-65","2915","0.34838010434267","0.33856380842738","0.358196400257959"
"Ein wenig","2010","66 +","1794","0.449424409228226","0.434007078325183","0.464841740131269"
"Gar nicht","2010","17-34","2926","0.818696259313713","0.806024481768519","0.831368036858908"
"Gar nicht","2010","35-65","5434","0.558652866277722","0.548422646300372","0.568883086255072"
"Gar nicht","2010","66 +","1134","0.259885031649523","0.246292116183105","0.273477947115942"
"Stark","2011","17-34","","","",""
"Stark","2011","35-65","","","",""
"Stark","2011","66 +","","","",""
"Ein wenig","2011","17-34","","","",""
"Ein wenig","2011","35-65","","","",""
"Ein wenig","2011","66 +","","","",""
"Gar nicht","2011","17-34","","","",""
"Gar nicht","2011","35-65","","","",""
"Gar nicht","2011","66 +","","","",""
"Stark","2012","17-34","57","0.0158244775177654","0.0120101102441723","0.0196388447913586"
"Stark","2012","35-65","942","0.0892699187164584","0.0839821930556834","0.0945576443772334"
"Stark","2012","66 +","1340","0.284156748995274","0.271855677878449","0.296457820112099"
"Ein wenig","2012","17-34","693","0.178622132352203","0.166914726579693","0.190329538124713"
"Ein wenig","2012","35-65","3669","0.352752256349383","0.343891073929547","0.361613438769218"
"Ein wenig","2012","66 +","2274","0.442553308703662","0.429006423790886","0.456100193616438"
"Gar nicht","2012","17-34","3362","0.805553390130032","0.793456634964935","0.817650145295129"
"Gar nicht","2012","35-65","6559","0.557977824934159","0.548767986683079","0.56718766318524"
"Gar nicht","2012","66 +","1550","0.273289942301064","0.261135154420697","0.285444730181431"
"Stark","2013","17-34","","","",""
"Stark","2013","35-65","","","",""
"Stark","2013","66 +","","","",""
"Ein wenig","2013","17-34","","","",""
"Ein wenig","2013","35-65","","","",""
"Ein wenig","2013","66 +","","","",""
"Gar nicht","2013","17-34","","","",""
"Gar nicht","2013","35-65","","","",""
"Gar nicht","2013","66 +","","","",""
"Stark","2014","17-34","135","0.0205019078022917","0.0170608670477396","0.0239429485568438"
