year,migback,sampreg,ple0004,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,No migration background,West,Strong,0.12194,1329,14135,0.11655,0.12734
2002,No migration background,West,A Little,0.29193,3765,14135,0.28444,0.29943
2002,No migration background,West,Not at all,0.58612,9041,14135,0.57800,0.59424
2002,No migration background,East,Strong,0.12277,547,5281,0.11392,0.13162
2002,No migration background,East,A Little,0.34256,1712,5281,0.32976,0.35536
2002,No migration background,East,Not at all,0.53468,3022,5281,0.52122,0.54813
2002,Direct migration background,West,Strong,0.10928,278,2675,0.09745,0.12110
2002,Direct migration background,West,A Little,0.30835,791,2675,0.29084,0.32585
2002,Direct migration background,West,Not at all,0.58237,1606,2675,0.56368,0.60107
2002,Direct migration background,East,A Little,0.48531,56,90,0.38147,0.58914
2002,Direct migration background,East,Not at all,0.29370,34,90,0.19908,0.38833
2002,Indirect migration background,West,A Little,0.17672,108,717,0.14878,0.20466
2002,Indirect migration background,West,Not at all,0.78547,609,717,0.75540,0.81553
2004,No migration background,West,Strong,0.12623,1280,13151,0.12055,0.13191
2004,No migration background,West,A Little,0.29760,3580,13151,0.28978,0.30541
2004,No migration background,West,Not at all,0.57617,8291,13151,0.56773,0.58462
2004,No migration background,East,Strong,0.13379,549,5076,0.12443,0.14316
2004,No migration background,East,A Little,0.33635,1661,5076,0.32335,0.34934
2004,No migration background,East,Not at all,0.52986,2866,5076,0.51613,0.54359
2004,Direct migration background,West,Strong,0.12271,265,2428,0.10966,0.13577
2004,Direct migration background,West,A Little,0.29804,722,2428,0.27985,0.31624
2004,Direct migration background,West,Not at all,0.57924,1441,2428,0.55960,0.59888
2004,Direct migration background,East,A Little,0.51210,51,51,0.37354,0.65065
2004,Indirect migration background,West,A Little,0.15424,108,746,0.12831,0.18018
2004,Indirect migration background,West,Not at all,0.82326,638,746,0.79587,0.85065
2006,No migration background,West,Strong,0.11850,1358,13622,0.11307,0.12393
2006,No migration background,West,A Little,0.30007,3837,13622,0.29238,0.30777
2006,No migration background,West,Not at all,0.58143,8427,13622,0.57314,0.58971
2006,No migration background,East,Strong,0.12883,556,5115,0.11964,0.13801
2006,No migration background,East,A Little,0.35995,1820,5115,0.34680,0.37311
2006,No migration background,East,Not at all,0.51122,2739,5115,0.49752,0.52492
