year,age_gr,pgisced97,ple0004,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2002,17-29 y.,Pre-primary Level,A Little,0.0015574112522194694,42,22412,0.0015478986341669252,0.0015669238702720135
2002,17-29 y.,Pre-primary Level,Not at all,0.01923274972055217,563,22412,0.01919961826436338,0.01926588117674096
2002,17-29 y.,Primary Level,Not at all,0.0016881016013238481,35,22412,0.001678198544497984,0.0016980046581497124
2002,17-29 y.,Lower Secondary Level,A Little,0.004761406170544657,110,22412,0.004744800054202512,0.0047780122868868015
2002,17-29 y.,Lower Secondary Level,Not at all,0.0320853427902589,750,22412,0.03204283106488201,0.032127854515635795
2002,17-29 y.,Upper Secondary Level,A Little,0.008977781093716148,216,22412,0.008955026815797495,0.009000535371634802
2002,17-29 y.,Upper Secondary Level,Not at all,0.06586232020092049,1599,22412,0.0658024844404847,0.06592215596135628
2002,17-29 y.,Post-secondary Non-tertiary Level,A Little,0.0013746311774543202,36,22412,0.0013656933647680036,0.0013835689901406367
2002,17-29 y.,Post-secondary Non-tertiary Level,Not at all,0.010061493455126918,236,22412,0.010037418128384152,0.010085568781869685
2002,17-29 y.,First Stage of Tertiary Education,Not at all,0.00395895836234962,98,22412,0.003943809991083775,0.003974106733615465
2002,17-29 y.,Second Stage of Tertiary Education,Not at all,0.007382761661559819,189,22412,0.007362110846979443,0.007403412476140195
2002,30-45 y.,Primary Level,Not at all,0.0021406219188617568,48,22412,0.0021294727751832313,0.0021517710625402822
2002,30-45 y.,Lower Secondary Level,A Little,0.006220343245102349,128,22412,0.0062013766626751185,0.006239309827529579
2002,30-45 y.,Lower Secondary Level,Not at all,0.013503684571251966,319,22412,0.01347584191069509,0.013531527231808843
2002,30-45 y.,Upper Secondary Level,Strong,0.005632778828884743,127,22412,0.005614724905054053,0.005650832752715432
2002,30-45 y.,Upper Secondary Level,A Little,0.03617012422751908,806,22412,0.0361250828101251,0.036215165644913054
2002,30-45 y.,Upper Secondary Level,Not at all,0.12687788462191524,2895,22412,0.12679759353898915,0.12695817570484133
2002,30-45 y.,Post-secondary Non-tertiary Level,A Little,0.004947183320406278,100,22412,0.004930257921034402,0.004964108719778154
2002,30-45 y.,Post-secondary Non-tertiary Level,Not at all,0.019607454243864304,438,22412,0.019574007991532916,0.01964090049619569
2002,30-45 y.,First Stage of Tertiary Education,A Little,0.006821421387342507,166,22412,0.006801565560912758,0.006841277213772257
2002,30-45 y.,First Stage of Tertiary Education,Not at all,0.022905022739576012,554,22412,0.02286893409171349,0.022941111387438533
2002,30-45 y.,Second Stage of Tertiary Education,A Little,0.008937832513969308,227,22412,0.00891512845994305,0.008960536567995565
2002,30-45 y.,Second Stage of Tertiary Education,Not at all,0.05101048581097032,1480,22412,0.050957409920001855,0.051063561701938785
2002,46-65 y.,Primary Level,A Little,0.0021459059205557224,49,22412,0.002134743054405239,0.0021570687867062057
2002,46-65 y.,Lower Secondary Level,Strong,0.007452082637627398,152,22412,0.0074313358228877335,0.007472829452367063
2002,46-65 y.,Lower Secondary Level,A Little,0.016846133452316572,343,22412,0.016815088019368842,0.016877178885264302
2002,46-65 y.,Lower Secondary Level,Not at all,0.013042634140205976,261,22412,0.013015264523912691,0.013070003756499261
2002,46-65 y.,Upper Secondary Level,Strong,0.024964942522595204,502,22412,0.024927305760195625,0.02500257928499478
2002,46-65 y.,Upper Secondary Level,A Little,0.07204869689789388,1538,22412,0.07198632161694844,0.07211107217883932
2002,46-65 y.,Upper Secondary Level,Not at all,0.09367667555798238,2009,22412,0.09360638545656841,0.09374696565939636
2002,46-65 y.,Post-secondary Non-tertiary Level,A Little,0.0038125364365030803,76,22412,0.0037976697427903596,0.003827403130215801
2002,46-65 y.,Post-secondary Non-tertiary Level,Not at all,0.005432869602707731,137,22412,0.0054151371606957505,0.005450602044719711
2002,46-65 y.,First Stage of Tertiary Education,Strong,0.002842179105526483,59,22412,0.002829336754761756,0.0028550214562912102
2002,46-65 y.,First Stage of Tertiary Education,A Little,0.0110595506675827,242,22412,0.011034322211815177,0.011084779123350224
2002,46-65 y.,First Stage of Tertiary Education,Not at all,0.014131099709722742,346,22412,0.014102626631556765,0.014159572787888718
2002,46-65 y.,Second Stage of Tertiary Education,Strong,0.0043557498976160665,121,22412,0.004339863683229468,0.004371636112002665
