year,regtyp,sex,ple0004,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,Urban regions,male,Strong,0.09056,565,7351,0.08400,0.09712
2002,Urban regions,male,A Little,0.26197,1801,7351,0.25192,0.27202
2002,Urban regions,male,Not at all,0.64747,4985,7351,0.63655,0.65839
2002,Urban regions,female,Strong,0.14745,873,7914,0.13964,0.15527
2002,Urban regions,female,A Little,0.31903,2289,7914,0.30876,0.32930
2002,Urban regions,female,Not at all,0.53351,4752,7914,0.52252,0.54450
2002,Rural regions,male,Strong,0.09621,327,3753,0.08678,0.10565
2002,Rural regions,male,A Little,0.29080,1047,3753,0.27627,0.30533
2002,Rural regions,male,Not at all,0.61298,2379,3753,0.59740,0.62857
2002,Rural regions,female,Strong,0.13575,443,3953,0.12507,0.14643
2002,Rural regions,female,A Little,0.35074,1298,3953,0.33586,0.36561
2002,Rural regions,female,Not at all,0.51351,2212,3953,0.49793,0.52910
2004,Urban regions,male,Strong,0.10159,577,6863,0.09444,0.10874
2004,Urban regions,male,A Little,0.26379,1695,6863,0.25336,0.27422
2004,Urban regions,male,Not at all,0.63462,4591,6863,0.62323,0.64601
2004,Urban regions,female,Strong,0.15000,839,7475,0.14190,0.15810
2004,Urban regions,female,A Little,0.31712,2191,7475,0.30657,0.32767
2004,Urban regions,female,Not at all,0.53288,4445,7475,0.52157,0.54419
2004,Rural regions,male,Strong,0.10325,319,3493,0.09315,0.11334
2004,Rural regions,male,A Little,0.29148,982,3493,0.27641,0.30655
2004,Rural regions,male,Not at all,0.60527,2192,3493,0.58906,0.62148
2004,Rural regions,female,Strong,0.13420,400,3721,0.12325,0.14515
2004,Rural regions,female,A Little,0.34973,1260,3721,0.33441,0.36506
2004,Rural regions,female,Not at all,0.51607,2061,3721,0.50001,0.53213
2006,Urban regions,male,Strong,0.09177,568,6879,0.08495,0.09860
2006,Urban regions,male,A Little,0.26715,1805,6879,0.25670,0.27761
2006,Urban regions,male,Not at all,0.64107,4506,6879,0.62974,0.65241
2006,Urban regions,female,Strong,0.13675,844,7578,0.12902,0.14449
2006,Urban regions,female,A Little,0.33445,2322,7578,0.32383,0.34508
2006,Urban regions,female,Not at all,0.52879,4412,7578,0.51755,0.54003
2006,Rural regions,male,Strong,0.11109,355,3571,0.10078,0.12140
2006,Rural regions,male,A Little,0.30962,1101,3571,0.29445,0.32478
2006,Rural regions,male,Not at all,0.57929,2115,3571,0.56310,0.59548
2006,Rural regions,female,Strong,0.14165,474,3894,0.13070,0.15261
2006,Rural regions,female,A Little,0.35430,1343,3894,0.33927,0.36932
2006,Rural regions,female,Not at all,0.50405,2077,3894,0.48834,0.51976
2008,Urban regions,male,Strong,0.08968,504,6003,0.08245,0.09691
2008,Urban regions,male,A Little,0.26597,1568,6003,0.25480,0.27715
2008,Urban regions,male,Not at all,0.64435,3931,6003,0.63224,0.65646
2008,Urban regions,female,Strong,0.13838,760,6668,0.13009,0.14667
2008,Urban regions,female,A Little,0.32200,2019,6668,0.31078,0.33321
2008,Urban regions,female,Not at all,0.53962,3889,6668,0.52766,0.55159
2008,Rural regions,male,Strong,0.11005,335,3185,0.09918,0.12092
2008,Rural regions,male,A Little,0.31318,998,3185,0.29707,0.32929
2008,Rural regions,male,Not at all,0.57677,1852,3185,0.55961,0.59393
2008,Rural regions,female,Strong,0.13482,417,3415,0.12337,0.14628
2008,Rural regions,female,A Little,0.35380,1173,3415,0.33776,0.36984
2008,Rural regions,female,Not at all,0.51138,1825,3415,0.49461,0.52815
2014,Urban regions,male,Strong,0.09436,652,8050,0.08797,0.10074
2014,Urban regions,male,A Little,0.27219,2035,8050,0.26246,0.28191
