year,age_gr,sampreg,ple0004,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,17-29 y.,West,Strong,0.01720,44,3055,0.01259,0.02182
2002,17-29 y.,West,A Little,0.11376,335,3055,0.10250,0.12503
2002,17-29 y.,West,Not at all,0.86903,2676,3055,0.85707,0.88100
2002,17-29 y.,East,A Little,0.12889,134,1063,0.10874,0.14905
2002,17-29 y.,East,Not at all,0.86288,929,1063,0.84220,0.88357
2002,30-45 y.,West,Strong,0.03341,172,5847,0.02881,0.03802
2002,30-45 y.,West,A Little,0.20437,1102,5847,0.19403,0.21471
2002,30-45 y.,West,Not at all,0.76222,4573,5847,0.75131,0.77313
2002,30-45 y.,East,Strong,0.03232,53,1580,0.02360,0.04104
2002,30-45 y.,East,A Little,0.22792,359,1580,0.20722,0.24861
2002,30-45 y.,East,Not at all,0.73976,1168,1580,0.71812,0.76141
2002,46-65 y.,West,Strong,0.11890,626,5959,0.11068,0.12712
2002,46-65 y.,West,A Little,0.36227,2028,5959,0.35007,0.37448
2002,46-65 y.,West,Not at all,0.51882,3305,5959,0.50614,0.53151
2002,46-65 y.,East,Strong,0.14696,249,1880,0.13095,0.16297
2002,46-65 y.,East,A Little,0.44424,816,1880,0.42177,0.46670
2002,46-65 y.,East,Not at all,0.40881,815,1880,0.38658,0.43104
2002,66 and older,West,Strong,0.32063,791,2692,0.30300,0.33827
2002,66 and older,West,A Little,0.44727,1199,2692,0.42849,0.46606
2002,66 and older,West,Not at all,0.23210,702,2692,0.21614,0.24805
2002,66 and older,East,Strong,0.30420,262,884,0.27385,0.33455
2002,66 and older,East,A Little,0.51866,462,884,0.48571,0.55162
2002,66 and older,East,Not at all,0.17714,160,884,0.15195,0.20232
2004,17-29 y.,West,Strong,0.01712,42,2882,0.01238,0.02185
2004,17-29 y.,West,A Little,0.11791,332,2882,0.10614,0.12969
2004,17-29 y.,West,Not at all,0.86497,2508,2882,0.85249,0.87745
2004,17-29 y.,East,A Little,0.15440,164,1062,0.13266,0.17614
2004,17-29 y.,East,Not at all,0.83563,898,1062,0.81333,0.85793
2004,30-45 y.,West,Strong,0.03261,133,5146,0.02775,0.03746
2004,30-45 y.,West,A Little,0.21490,999,5146,0.20368,0.22613
2004,30-45 y.,West,Not at all,0.75249,4014,5146,0.74069,0.76428
2004,30-45 y.,East,Strong,0.03171,43,1372,0.02243,0.04099
2004,30-45 y.,East,A Little,0.23788,314,1372,0.21534,0.26042
2004,30-45 y.,East,Not at all,0.73041,1015,1372,0.70692,0.75390
2004,46-65 y.,West,Strong,0.11752,539,5521,0.10903,0.12602
2004,46-65 y.,West,A Little,0.35411,1877,5521,0.34150,0.36673
2004,46-65 y.,West,Not at all,0.52836,3105,5521,0.51520,0.54153
2004,46-65 y.,East,Strong,0.14413,226,1822,0.12800,0.16026
2004,46-65 y.,East,A Little,0.42962,785,1822,0.40689,0.45236
2004,46-65 y.,East,Not at all,0.42625,811,1822,0.40353,0.44896
2004,66 and older,West,Strong,0.32888,848,2793,0.31145,0.34630
2004,66 and older,West,A Little,0.43827,1202,2793,0.41986,0.45667
2004,66 and older,West,Not at all,0.23286,743,2793,0.21718,0.24853
2004,66 and older,East,Strong,0.33421,296,946,0.30413,0.36428
2004,66 and older,East,A Little,0.46845,455,946,0.43663,0.50026
2004,66 and older,East,Not at all,0.19734,195,946,0.17197,0.22272
2006,17-29 y.,West,A Little,0.13905,350,2688,0.12597,0.15214
2006,17-29 y.,West,Not at all,0.85049,2338,2688,0.83700,0.86397
2006,17-29 y.,East,A Little,0.17316,162,954,0.14914,0.19719
2006,17-29 y.,East,Not at all,0.81590,792,954,0.79130,0.84051
2006,30-45 y.,West,Strong,0.03538,143,4958,0.03024,0.04053
2006,30-45 y.,West,A Little,0.22442,1006,4958,0.21280,0.23603
2006,30-45 y.,West,Not at all,0.74020,3809,4958,0.72799,0.75241
2006,30-45 y.,East,Strong,0.03461,36,1312,0.02472,0.04451
2006,30-45 y.,East,A Little,0.27662,353,1312,0.25240,0.30083
2006,30-45 y.,East,Not at all,0.68877,923,1312,0.66371,0.71383
2006,46-65 y.,West,Strong,0.10904,534,5696,0.10095,0.11714
2006,46-65 y.,West,A Little,0.36327,1937,5696,0.35078,0.37577
2006,46-65 y.,West,Not at all,0.52768,3225,5696,0.51472,0.54065
2006,46-65 y.,East,Strong,0.13039,218,1868,0.11512,0.14567
2006,46-65 y.,East,A Little,0.43575,806,1868,0.41326,0.45824
2006,46-65 y.,East,Not at all,0.43386,844,1868,0.41138,0.45634
2006,66 and older,West,Strong,0.31392,959,3292,0.29807,0.32978
2006,66 and older,West,A Little,0.43647,1398,3292,0.41953,0.45341
2006,66 and older,West,Not at all,0.24961,935,3292,0.23482,0.26439
2006,66 and older,East,Strong,0.31745,320,1123,0.29021,0.34469
2006,66 and older,East,A Little,0.48532,559,1123,0.45607,0.51456
2006,66 and older,East,Not at all,0.19723,244,1123,0.17395,0.22052
2008,17-29 y.,West,A Little,0.13339,310,2301,0.11949,0.14728
2008,17-29 y.,West,Not at all,0.85182,1991,2301,0.83730,0.86634
2008,17-29 y.,East,A Little,0.17535,141,813,0.14919,0.20150
2008,17-29 y.,East,Not at all,0.81668,672,813,0.79006,0.84329
2008,30-45 y.,West,Strong,0.03244,117,4017,0.02696,0.03792
2008,30-45 y.,West,A Little,0.21650,787,4017,0.20376,0.22923
2008,30-45 y.,West,Not at all,0.75106,3113,4017,0.73769,0.76444
2008,30-45 y.,East,A Little,0.23815,270,1124,0.21323,0.26306
2008,30-45 y.,East,Not at all,0.73354,854,1124,0.70768,0.75940
2008,46-65 y.,West,Strong,0.11717,481,4998,0.10825,0.12609
2008,46-65 y.,West,A Little,0.34986,1654,4998,0.33664,0.36309
2008,46-65 y.,West,Not at all,0.53296,2863,4998,0.51913,0.54680
2008,46-65 y.,East,Strong,0.11533,185,1677,0.10004,0.13062
2008,46-65 y.,East,A Little,0.42404,678,1677,0.40037,0.44770
2008,46-65 y.,East,Not at all,0.46064,814,1677,0.43677,0.48450
2008,66 and older,West,Strong,0.29205,861,3169,0.27621,0.30788
2008,66 and older,West,A Little,0.43903,1357,3169,0.42175,0.45631
2008,66 and older,West,Not at all,0.26893,951,3169,0.25348,0.28437
2008,66 and older,East,Strong,0.29805,315,1115,0.27119,0.32491
2008,66 and older,East,A Little,0.50395,561,1115,0.47459,0.53332
2008,66 and older,East,Not at all,0.19799,239,1115,0.17459,0.22139
2014,17-29 y.,West,Strong,0.01634,58,3574,0.01219,0.02050
2014,17-29 y.,West,A Little,0.13374,507,3574,0.12258,0.14491
2014,17-29 y.,West,Not at all,0.84991,3009,3574,0.83820,0.86162
2014,17-29 y.,East,A Little,0.15234,120,686,0.12543,0.17925
2014,17-29 y.,East,Not at all,0.81775,566,686,0.78884,0.84666
2014,30-45 y.,West,Strong,0.03756,272,6887,0.03307,0.04205
2014,30-45 y.,West,A Little,0.20135,1446,6887,0.19188,0.21082
2014,30-45 y.,West,Not at all,0.76108,5169,6887,0.75101,0.77116
2014,30-45 y.,East,Strong,0.04503,61,1623,0.03494,0.05512
2014,30-45 y.,East,A Little,0.24520,402,1623,0.22427,0.26614
2014,30-45 y.,East,Not at all,0.70977,1160,1623,0.68768,0.73185
2014,46-65 y.,West,Strong,0.11960,755,7265,0.11213,0.12706
2014,46-65 y.,West,A Little,0.34794,2305,7265,0.33699,0.35890
2014,46-65 y.,West,Not at all,0.53246,4205,7265,0.52099,0.54393
2014,46-65 y.,East,Strong,0.13303,249,2018,0.11821,0.14785
2014,46-65 y.,East,A Little,0.42753,817,2018,0.40594,0.44912
2014,46-65 y.,East,Not at all,0.43944,952,2018,0.41778,0.46110
2014,66 and older,West,Strong,0.26170,915,3718,0.24757,0.27583
2014,66 and older,West,A Little,0.43792,1543,3718,0.42197,0.45387
2014,66 and older,West,Not at all,0.30038,1260,3718,0.28565,0.31512
2014,66 and older,East,Strong,0.33024,361,1219,0.30382,0.35665
2014,66 and older,East,A Little,0.47440,572,1219,0.44636,0.50245
2014,66 and older,East,Not at all,0.19536,286,1219,0.17309,0.21763
2016,17-29 y.,West,Strong,0.02162,89,3998,0.01711,0.02612
2016,17-29 y.,West,A Little,0.15150,600,3998,0.14039,0.16262
2016,17-29 y.,West,Not at all,0.82688,3309,3998,0.81515,0.83861
2016,17-29 y.,East,A Little,0.16060,143,764,0.13455,0.18665
2016,17-29 y.,East,Not at all,0.82247,621,764,0.79536,0.84958
2016,30-45 y.,West,Strong,0.03489,332,6926,0.03057,0.03922
2016,30-45 y.,West,A Little,0.20934,1445,6926,0.19976,0.21892
2016,30-45 y.,West,Not at all,0.75577,5149,6926,0.74565,0.76589
2016,30-45 y.,East,Strong,0.04450,59,1624,0.03447,0.05454
