,Unnamed: 0,year,migback,quintil_oecd,ple0004,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2002,No migration background,1st Quintile,Strong,0.17784,374,20573,0.17076,0.18846
1,1,2002,No migration background,1st Quintile,A Little,0.32359,777,20573,0.31149,0.33645
2,2,2002,No migration background,1st Quintile,Not at all,0.49856,1309,20573,0.48239,0.51804
3,3,2002,No migration background,2nd Quintile,Strong,0.14842,408,20573,0.14072,0.15685
4,4,2002,No migration background,2nd Quintile,A Little,0.35192,1021,20573,0.34163,0.36511
5,5,2002,No migration background,2nd Quintile,Not at all,0.49966,1625,20573,0.48537,0.51812
6,6,2002,No migration background,3rd Quintile,Strong,0.12724,395,20573,0.12038,0.13383
7,7,2002,No migration background,3rd Quintile,A Little,0.29863,1027,20573,0.28732,0.31135
8,8,2002,No migration background,3rd Quintile,Not at all,0.57413,2074,20573,0.56155,0.5934
9,9,2002,No migration background,4th Quintile,Strong,0.10204,314,20573,0.09478,0.10932
10,10,2002,No migration background,4th Quintile,A Little,0.30756,1096,20573,0.29589,0.31918
11,11,2002,No migration background,4th Quintile,Not at all,0.5904,2409,20573,0.57482,0.6075
12,12,2002,No migration background,5th Quintile,Strong,0.08717,305,20573,0.08002,0.09468
13,13,2002,No migration background,5th Quintile,A Little,0.26201,1123,20573,0.25062,0.2752
14,14,2002,No migration background,5th Quintile,Not at all,0.65082,3080,20573,0.6333,0.67503
15,15,2002,Direct migration background,1st Quintile,Strong,0.15633,124,20573,0.13877,0.17313
16,16,2002,Direct migration background,1st Quintile,A Little,0.30201,249,20573,0.27854,0.32999
17,17,2002,Direct migration background,1st Quintile,Not at all,0.54166,443,20573,0.50698,0.57846
18,18,2002,Direct migration background,2nd Quintile,Strong,0.11615,89,20573,0.10058,0.13523
19,19,2002,Direct migration background,2nd Quintile,A Little,0.28684,202,20573,0.25956,0.3132
20,20,2002,Direct migration background,2nd Quintile,Not at all,0.59701,424,20573,0.55523,0.6444
21,21,2002,Direct migration background,3rd Quintile,Strong,0.0873,40,20573,0.06655,0.1137
22,22,2002,Direct migration background,3rd Quintile,A Little,0.36144,140,20573,0.32512,0.40365
23,23,2002,Direct migration background,3rd Quintile,Not at all,0.55127,251,20573,0.49947,0.62072
24,24,2002,Direct migration background,4th Quintile,A Little,0.4168,143,20573,0.3617,0.48047
25,25,2002,Direct migration background,4th Quintile,Not at all,0.5832,227,20573,0.52372,0.63702
26,26,2002,Direct migration background,5th Quintile,A Little,0.31082,94,20573,0.2519,0.37914
27,27,2002,Direct migration background,5th Quintile,Not at all,0.68918,215,20573,0.60427,0.77663
28,28,2002,Indirect migration background,1st Quintile,Not at all,1.0,141,20573,0.89196,1.10983
29,29,2002,Indirect migration background,2nd Quintile,Not at all,1.0,147,20573,0.85439,1.18437
30,30,2002,Indirect migration background,3rd Quintile,Not at all,1.0,106,20573,0.86634,1.15642
31,31,2002,Indirect migration background,4th Quintile,Not at all,1.0,105,20573,0.82403,1.20975
32,32,2002,Indirect migration background,5th Quintile,Not at all,1.0,96,20573,0.83915,1.14848
33,33,2004,No migration background,1st Quintile,Strong,0.17129,344,21370,0.1613,0.18175
34,34,2004,No migration background,1st Quintile,A Little,0.31116,698,21370,0.29497,0.32831
35,35,2004,No migration background,1st Quintile,Not at all,0.51755,1321,21370,0.49868,0.53941
36,36,2004,No migration background,2nd Quintile,Strong,0.15332,402,21370,0.14498,0.16159
37,37,2004,No migration background,2nd Quintile,A Little,0.32934,953,21370,0.31496,0.34382
38,38,2004,No migration background,2nd Quintile,Not at all,0.51734,1663,21370,0.49909,0.53668
39,39,2004,No migration background,3rd Quintile,Strong,0.13616,393,21370,0.12803,0.14451
40,40,2004,No migration background,3rd Quintile,A Little,0.31758,1013,21370,0.30494,0.32857
41,41,2004,No migration background,3rd Quintile,Not at all,0.54626,1913,21370,0.52822,0.56351
42,42,2004,No migration background,4th Quintile,Strong,0.12182,356,21370,0.11336,0.12948
43,43,2004,No migration background,4th Quintile,A Little,0.29899,1117,21370,0.28609,0.31252
44,44,2004,No migration background,4th Quintile,Not at all,0.5792,2358,21370,0.55957,0.59958
45,45,2004,No migration background,5th Quintile,Strong,0.0766,333,21370,0.07083,0.08375
46,46,2004,No migration background,5th Quintile,A Little,0.28102,1460,21370,0.26637,0.29497
47,47,2004,No migration background,5th Quintile,Not at all,0.64238,3903,21370,0.6217,0.66128
48,48,2004,Direct migration background,1st Quintile,Strong,0.14471,113,21370,0.12883,0.16385
49,49,2004,Direct migration background,1st Quintile,A Little,0.30633,227,21370,0.28388,0.33447
