"ple0004","year","bildungsniveau","migback","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Stark","2002","(noch) kein Abschluss","kein Migrationshintergrund","19","","",""
"Stark","2002","(noch) kein Abschluss","direkter Migrationshintergrund","45","0.14390839012125","0.101079046781112","0.186737733461387"
"Stark","2002","(noch) kein Abschluss","indirekter Migrationshintergrund","3","","",""
"Stark","2002","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Stark","2002","Hauptschule","kein Migrationshintergrund","1238","0.187767526154591","0.178745112044893","0.196789940264289"
"Stark","2002","Hauptschule","direkter Migrationshintergrund","183","0.13549089252893","0.11778319974216","0.1531985853157"
"Stark","2002","Hauptschule","indirekter Migrationshintergrund","15","","",""
"Stark","2002","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Stark","2002","Realschule","kein Migrationshintergrund","322","0.0749741900327006","0.0680457666925737","0.0819026133728276"
"Stark","2002","Realschule","direkter Migrationshintergrund","16","","",""
"Stark","2002","Realschule","indirekter Migrationshintergrund","7","","",""
"Stark","2002","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Stark","2002","(Fach-)Abitur","kein Migrationshintergrund","81","0.0589912496607745","0.048340999829418","0.069641499492131"
"Stark","2002","(Fach-)Abitur","direkter Migrationshintergrund","23","","",""
"Stark","2002","(Fach-)Abitur","indirekter Migrationshintergrund","2","","",""
"Stark","2002","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Stark","2002","AkademikerIn","kein Migrationshintergrund","207","0.063632772558664","0.056151939507152","0.0711136056101759"
"Stark","2002","AkademikerIn","direkter Migrationshintergrund","33","0.117377281146545","0.085514430245425","0.149240132047664"
"Stark","2002","AkademikerIn","indirekter Migrationshintergrund","2","","",""
"Stark","2002","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ein wenig","2002","(noch) kein Abschluss","kein Migrationshintergrund","66","0.162444456568615","0.131948715623943","0.192940197513287"
"Ein wenig","2002","(noch) kein Abschluss","direkter Migrationshintergrund","86","0.346619051396152","0.28854960492555","0.404688497866754"
"Ein wenig","2002","(noch) kein Abschluss","indirekter Migrationshintergrund","6","","",""
"Ein wenig","2002","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ein wenig","2002","Hauptschule","kein Migrationshintergrund","2632","0.372105166174471","0.360937854316476","0.383272478032466"
"Ein wenig","2002","Hauptschule","direkter Migrationshintergrund","469","0.334332416109095","0.309923972475591","0.358740859742598"
"Ein wenig","2002","Hauptschule","indirekter Migrationshintergrund","42","0.200315052154023","0.151665631810346","0.2489644724977"
"Ein wenig","2002","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ein wenig","2002","Realschule","kein Migrationshintergrund","1435","0.259735460261223","0.248199315548011","0.271271604974435"
"Ein wenig","2002","Realschule","direkter Migrationshintergrund","52","0.228397056966744","0.173786406193179","0.28300770774031"
"Ein wenig","2002","Realschule","indirekter Migrationshintergrund","35","0.218667240408461","0.16235889095176","0.274975589865162"
"Ein wenig","2002","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ein wenig","2002","(Fach-)Abitur","kein Migrationshintergrund","328","0.201222230841201","0.183099646447188","0.219344815235215"
"Ein wenig","2002","(Fach-)Abitur","direkter Migrationshintergrund","124","0.304266960650649","0.261276661730787","0.347257259570512"
"Ein wenig","2002","(Fach-)Abitur","indirekter Migrationshintergrund","16","","",""
