"ple0004","year","age_gr","migback","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Stark","2002","17-34","kein Migrationshintergrund","78","0.0181030448406862","0.0143151404476953","0.0218909492336771"
"Stark","2002","17-34","direkter Migrationshintergrund","10","","",""
"Stark","2002","17-34","indirekter Migrationshintergrund","17","","",""
"Stark","2002","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Stark","2002","35-65","kein Migrationshintergrund","862","0.0861504731476301","0.0810083884708943","0.0912925578243659"
"Stark","2002","35-65","direkter Migrationshintergrund","181","0.11057682707623","0.0957128058105673","0.125440848341892"
"Stark","2002","35-65","indirekter Migrationshintergrund","7","","",""
"Stark","2002","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Stark","2002","66 +","kein Migrationshintergrund","935","0.317084728633382","0.301001947702371","0.333167509564393"
"Stark","2002","66 +","direkter Migrationshintergrund","111","0.316552696888446","0.267542599261451","0.36556279451544"
"Stark","2002","66 +","indirekter Migrationshintergrund","7","","",""
"Stark","2002","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ein wenig","2002","17-34","kein Migrationshintergrund","617","0.135962598618086","0.126224677820365","0.145700519415807"
"Ein wenig","2002","17-34","direkter Migrationshintergrund","94","0.134030814875877","0.109367601979985","0.158694027771768"
"Ein wenig","2002","17-34","indirekter Migrationshintergrund","67","0.116910494576071","0.0917199710690894","0.142101018083052"
"Ein wenig","2002","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ein wenig","2002","35-65","kein Migrationshintergrund","3386","0.310206424094959","0.301729115138785","0.318683733051133"
"Ein wenig","2002","35-65","direkter Migrationshintergrund","573","0.35539157814278","0.332705909230648","0.378077247054912"
"Ein wenig","2002","35-65","indirekter Migrationshintergrund","37","0.340495503910546","0.259036145345834","0.421954862475258"
"Ein wenig","2002","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ein wenig","2002","66 +","kein Migrationshintergrund","1475","0.456908079170153","0.439691726089484","0.474124432250821"
"Ein wenig","2002","66 +","direkter Migrationshintergrund","180","0.506026907004384","0.453346576206504","0.558707237802264"
"Ein wenig","2002","66 +","indirekter Migrationshintergrund","6","","",""
"Ein wenig","2002","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Gar nicht","2002","17-34","kein Migrationshintergrund","4064","0.845934356541228","0.835677566358432","0.856191146724024"
"Gar nicht","2002","17-34","direkter Migrationshintergrund","629","0.851889590195269","0.826174944126042","0.877604236264496"
"Gar nicht","2002","17-34","indirekter Migrationshintergrund","541","0.849508786742507","0.821477205821504","0.877540367663509"
"Gar nicht","2002","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Gar nicht","2002","35-65","kein Migrationshintergrund","7190","0.603643102757411","0.594679009288524","0.612607196226298"
"Gar nicht","2002","35-65","direkter Migrationshintergrund","956","0.53403159478099","0.51038809584416","0.55767509371782"
"Gar nicht","2002","35-65","indirekter Migrationshintergrund","86","0.625094240060811","0.541877591756278","0.708310888365344"
"Gar nicht","2002","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Gar nicht","2002","66 +","kein Migrationshintergrund","806","0.226007192196465","0.211552140025461","0.24046224436747"
"Gar nicht","2002","66 +","direkter Migrationshintergrund","55","0.177420396107171","0.137167161700916","0.217673630513425"
"Gar nicht","2002","66 +","indirekter Migrationshintergrund","1","","",""
"Gar nicht","2002","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Stark","2003","17-34","kein Migrationshintergrund","","","",""
"Stark","2003","17-34","direkter Migrationshintergrund","","","",""
"Stark","2003","17-34","indirekter Migrationshintergrund","","","",""
"Stark","2003","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Stark","2003","35-65","kein Migrationshintergrund","","","",""
"Stark","2003","35-65","direkter Migrationshintergrund","","","",""
"Stark","2003","35-65","indirekter Migrationshintergrund","","","",""
"Stark","2003","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Stark","2003","66 +","kein Migrationshintergrund","","","",""
"Stark","2003","66 +","direkter Migrationshintergrund","","","",""
"Stark","2003","66 +","indirekter Migrationshintergrund","","","",""
"Stark","2003","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ein wenig","2003","17-34","kein Migrationshintergrund","","","",""
"Ein wenig","2003","17-34","direkter Migrationshintergrund","","","",""
"Ein wenig","2003","17-34","indirekter Migrationshintergrund","","","",""
"Ein wenig","2003","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ein wenig","2003","35-65","kein Migrationshintergrund","","","",""
"Ein wenig","2003","35-65","direkter Migrationshintergrund","","","",""
"Ein wenig","2003","35-65","indirekter Migrationshintergrund","","","",""
"Ein wenig","2003","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ein wenig","2003","66 +","kein Migrationshintergrund","","","",""
"Ein wenig","2003","66 +","direkter Migrationshintergrund","","","",""
"Ein wenig","2003","66 +","indirekter Migrationshintergrund","","","",""
