year,pgisced97,sampreg,ple0004,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,No answer / don't know,West,Not at all,0.77258,105,105,0.69202,0.85314
2002,No answer / don't know,East,Not at all,0.73781,39,39,0.59796,0.87765
2002,Pre-primary Level,West,A Little,0.07240,32,453,0.04851,0.09629
2002,Pre-primary Level,West,Not at all,0.91874,421,453,0.89355,0.94393
2002,Pre-primary Level,East,Not at all,0.91892,143,143,0.87402,0.96381
2002,Primary Level,West,Strong,0.19410,60,268,0.14666,0.24154
2002,Primary Level,West,A Little,0.40674,102,268,0.34781,0.46566
2002,Primary Level,West,Not at all,0.39916,106,268,0.34042,0.45790
2002,Lower Secondary Level,West,Strong,0.19117,397,2462,0.17563,0.20670
2002,Lower Secondary Level,West,A Little,0.34098,790,2462,0.32225,0.35971
2002,Lower Secondary Level,West,Not at all,0.46785,1275,2462,0.44814,0.48757
2002,Lower Secondary Level,East,Strong,0.21616,79,420,0.17675,0.25558
2002,Lower Secondary Level,East,A Little,0.33693,129,420,0.29167,0.38219
2002,Lower Secondary Level,East,Not at all,0.44691,212,420,0.39930,0.49451
2002,Upper Secondary Level,West,Strong,0.11909,856,8688,0.11228,0.12591
2002,Upper Secondary Level,West,A Little,0.30149,2459,8688,0.29184,0.31114
2002,Upper Secondary Level,West,Not at all,0.57942,5373,8688,0.56904,0.58980
2002,Upper Secondary Level,East,Strong,0.13626,352,2873,0.12372,0.14881
2002,Upper Secondary Level,East,A Little,0.33794,960,2873,0.32064,0.35524
2002,Upper Secondary Level,East,Not at all,0.52580,1561,2873,0.50753,0.54406
2002,Post-secondary Non-tertiary Level,West,Strong,0.09158,70,1028,0.07394,0.10922
2002,Post-secondary Non-tertiary Level,West,A Little,0.23839,227,1028,0.21233,0.26445
2002,Post-secondary Non-tertiary Level,West,Not at all,0.67003,731,1028,0.64128,0.69879
2002,Post-secondary Non-tertiary Level,East,Not at all,0.74410,102,102,0.65900,0.82921
2002,First Stage of Tertiary Education,West,Strong,0.09006,92,1287,0.07442,0.10571
