year,migback,pgisced97,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1984,kein Migrationshintergrund,-5,,,,,,,,,,,,
1984,kein Migrationshintergrund,-1,,,,,,,,,,,,
1984,kein Migrationshintergrund,in school,,,,,,,,,,,,
1984,kein Migrationshintergrund,inadequately,,,,,,,,,,,,
1984,kein Migrationshintergrund,general elemantary,1.4204046054100954,1.3346439242886132,1.5061652865315776,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,255.0
1984,kein Migrationshintergrund,middle vocational,1.3761657892126273,1.3284571660700797,1.423874412355175,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,480.0
1984,kein Migrationshintergrund,vocational + Abi,,,,,,,,,,,,
1984,kein Migrationshintergrund,higher vocational,1.2274039759655357,1.1609797199282839,1.2938282320027876,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,68.0
1984,kein Migrationshintergrund,higher education,1.2889040590516359,1.2120233364513753,1.3657847816518964,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,55.0
1984,direkter Migrationshintergrund,-5,,,,,,,,,,,,
1984,direkter Migrationshintergrund,-1,,,,,,,,,,,,
1984,direkter Migrationshintergrund,in school,,,,,,,,,,,,
1984,direkter Migrationshintergrund,inadequately,1.2240314223017206,1.1699186603275924,1.2781441842758487,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,122.0
1984,direkter Migrationshintergrund,general elemantary,1.2552329313928612,1.200687997789963,1.3097778649957594,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,120.0
1984,direkter Migrationshintergrund,middle vocational,1.1599705553848962,1.1162272079201678,1.2037139028496247,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,103.0
1984,direkter Migrationshintergrund,vocational + Abi,,,,,,,,,,,,
1984,direkter Migrationshintergrund,higher vocational,,,,,,,,,,,,
1984,direkter Migrationshintergrund,higher education,,,,,,,,,,,,
1984,indirekter Migrationshintergrund,-5,,,,,,,,,,,,
1984,indirekter Migrationshintergrund,-1,,,,,,,,,,,,
1984,indirekter Migrationshintergrund,in school,,,,,,,,,,,,
1984,indirekter Migrationshintergrund,inadequately,,,,,,,,,,,,
1984,indirekter Migrationshintergrund,general elemantary,,,,,,,,,,,,
1984,indirekter Migrationshintergrund,middle vocational,,,,,,,,,,,,
1984,indirekter Migrationshintergrund,vocational + Abi,,,,,,,,,,,,
1984,indirekter Migrationshintergrund,higher vocational,,,,,,,,,,,,
1984,indirekter Migrationshintergrund,higher education,,,,,,,,,,,,
1985,kein Migrationshintergrund,-5,,,,,,,,,,,,
1985,kein Migrationshintergrund,-1,,,,,,,,,,,,
1985,kein Migrationshintergrund,in school,,,,,,,,,,,,
1985,kein Migrationshintergrund,inadequately,,,,,,,,,,,,
1985,kein Migrationshintergrund,general elemantary,1.4060263118077405,1.3032009541048546,1.5088516695106264,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,210.0
1985,kein Migrationshintergrund,middle vocational,1.4068641824266717,1.344985750370926,1.4687426144824174,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,442.0
1985,kein Migrationshintergrund,vocational + Abi,,,,,,,,,,,,
1985,kein Migrationshintergrund,higher vocational,2.0377906850877525,1.742188667470604,2.3333927027049013,1.0,1.0,2.0,1.0,3.5,1.0,1.0,1.0,71.0
1985,kein Migrationshintergrund,higher education,1.361443738779126,1.1320738446302372,1.590813632928015,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,63.0
1985,direkter Migrationshintergrund,-5,,,,,,,,,,,,
1985,direkter Migrationshintergrund,-1,,,,,,,,,,,,
1985,direkter Migrationshintergrund,in school,,,,,,,,,,,,
1985,direkter Migrationshintergrund,inadequately,1.3874110432777766,1.2291921363134723,1.545629950242081,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,86.0
1985,direkter Migrationshintergrund,general elemantary,1.7595921777653534,1.573775519462655,1.9454088360680517,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,112.0
1985,direkter Migrationshintergrund,middle vocational,1.2179575460678638,1.060205199458642,1.3757098926770857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,93.0
1985,direkter Migrationshintergrund,vocational + Abi,,,,,,,,,,,,
1985,direkter Migrationshintergrund,higher vocational,,,,,,,,,,,,
1985,direkter Migrationshintergrund,higher education,,,,,,,,,,,,
1985,indirekter Migrationshintergrund,-5,,,,,,,,,,,,
1985,indirekter Migrationshintergrund,-1,,,,,,,,,,,,
1985,indirekter Migrationshintergrund,in school,,,,,,,,,,,,
1985,indirekter Migrationshintergrund,inadequately,,,,,,,,,,,,
1985,indirekter Migrationshintergrund,general elemantary,,,,,,,,,,,,
1985,indirekter Migrationshintergrund,middle vocational,,,,,,,,,,,,
1985,indirekter Migrationshintergrund,higher vocational,,,,,,,,,,,,
1985,indirekter Migrationshintergrund,higher education,,,,,,,,,,,,
1986,kein Migrationshintergrund,-5,,,,,,,,,,,,
1986,kein Migrationshintergrund,-1,,,,,,,,,,,,
1986,kein Migrationshintergrund,in school,,,,,,,,,,,,
1986,kein Migrationshintergrund,inadequately,,,,,,,,,,,,
1986,kein Migrationshintergrund,general elemantary,1.2613007199159,1.2185761447774555,1.3040252950543447,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,189.0
1986,kein Migrationshintergrund,middle vocational,1.6286051051500636,1.4964597178678174,1.7607504924323099,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,452.0
1986,kein Migrationshintergrund,vocational + Abi,,,,,,,,,,,,
