year,migback,regtyp,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1984,kein Migrationshintergrund,-1,1.3705271641104595,1.333287151428904,1.407767176792015,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,882.0
1984,direkter Migrationshintergrund,-1,1.2083098623684354,1.1793874867992582,1.2372322379376126,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,381.0
1984,indirekter Migrationshintergrund,-1,,,,,,,,,,,,
1985,kein Migrationshintergrund,Staedtischer Raum,1.4418693214955447,1.382022112946969,1.5017165300441204,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,596.0
1985,kein Migrationshintergrund,Laendlicher Raum,1.509533726180226,1.3959744711434974,1.6230929812169546,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,226.0
1985,direkter Migrationshintergrund,Staedtischer Raum,1.3931831196346616,1.3070784700336602,1.479287769235663,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,276.0
1985,direkter Migrationshintergrund,Laendlicher Raum,1.9446270789950904,1.5334354903968272,2.3558186675933532,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,38.0
1985,indirekter Migrationshintergrund,Staedtischer Raum,,,,,,,,,,,,
1985,indirekter Migrationshintergrund,Laendlicher Raum,,,,,,,,,,,,
1986,kein Migrationshintergrund,Staedtischer Raum,1.5902024957307892,1.4824420961445328,1.6979628953170456,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,603.0
1986,kein Migrationshintergrund,Laendlicher Raum,1.4498234482707026,1.2234470341369323,1.676199862404473,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,194.0
1986,direkter Migrationshintergrund,Staedtischer Raum,1.3550457509189537,1.2973971790360563,1.4126943228018511,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,318.0
1986,direkter Migrationshintergrund,Laendlicher Raum,8.319501019398977,5.784395359273386,10.854606679524569,1.0,1.0,2.0,1.0,3.5,1.0,0.0,1.0,38.0
1986,indirekter Migrationshintergrund,Staedtischer Raum,,,,,,,,,,,,
1986,indirekter Migrationshintergrund,Laendlicher Raum,,,,,,,,,,,,
1987,kein Migrationshintergrund,Staedtischer Raum,1.424633652128358,1.3657109177683973,1.4835563864883188,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,624.0
1987,kein Migrationshintergrund,Laendlicher Raum,1.9195444463272695,1.6672128178021826,2.1718760748523565,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,201.0
1987,direkter Migrationshintergrund,Staedtischer Raum,1.3788661408702778,1.3093301609562544,1.4484021207843012,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,251.0
1987,direkter Migrationshintergrund,Laendlicher Raum,2.1691865463134907,1.7716726988691016,2.56670039375788,1.0,1.0,2.163837119918552,1.0,3.90959279979638,1.0,-1.0,1.0,42.0
1987,indirekter Migrationshintergrund,Staedtischer Raum,,,,,,,,,,,,
1987,indirekter Migrationshintergrund,Laendlicher Raum,,,,,,,,,,,,
1988,kein Migrationshintergrund,Staedtischer Raum,1.5247966847522014,1.436248784314921,1.6133445851894819,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,625.0
1988,kein Migrationshintergrund,Laendlicher Raum,1.74605905297829,1.5366887550325954,1.9554293509239846,1.0,1.0,1.7234542650596048,1.0,2.808635662649012,1.0,1.0,1.0,177.0
1988,direkter Migrationshintergrund,Staedtischer Raum,1.5760387421896689,1.4689205836153085,1.6831569007640292,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,248.0
