"ple0014","year","bildungsniveau","sampreg","n","percent","lower_confidence","upper_confidence"
"Ja","2009","(noch) kein Abschluss","Westdeutschland","","","",""
"Ja","2009","(noch) kein Abschluss","Ostdeutschland","","","",""
"Ja","2009","Hauptschule","Westdeutschland","695","0.142323105716255","0.13272587127709","0.151920340155421"
"Ja","2009","Hauptschule","Ostdeutschland","232","0.214721749147123","0.190683928660635","0.238759569633611"
"Ja","2009","Realschule","Westdeutschland","180","0.0655141227721","0.0568652270963506","0.0741630184478495"
"Ja","2009","Realschule","Ostdeutschland","99","0.0594297590092819","0.0480836312527695","0.0707758867657942"
"Ja","2009","(Fach-)Abitur","Westdeutschland","75","0.0568521815374825","0.0457028126139408","0.0680015504610242"
"Ja","2009","(Fach-)Abitur","Ostdeutschland","","","",""
"Ja","2009","AkademikerIn","Westdeutschland","203","0.0713292477449266","0.061843466731758","0.0808150287580952"
"Ja","2009","AkademikerIn","Ostdeutschland","129","0.119361633404783","0.101071131045672","0.137652135763893"
"Nein","2009","(noch) kein Abschluss","Westdeutschland","398","0.953153958058023","0.93274985716762","0.973558058948426"
"Nein","2009","(noch) kein Abschluss","Ostdeutschland","68","0.940681198102284","0.886118070059812","0.995244326144757"
"Nein","2009","Hauptschule","Westdeutschland","4396","0.857676894283745","0.848079659844579","0.86727412872291"
"Nein","2009","Hauptschule","Ostdeutschland","889","0.785278250852877","0.761240430366389","0.809316071339365"
"Nein","2009","Realschule","Westdeutschland","2964","0.9344858772279","0.925836981552151","0.943134772903649"
"Nein","2009","Realschule","Ostdeutschland","1569","0.940570240990718","0.929224113234206","0.951916368747231"
"Nein","2009","(Fach-)Abitur","Westdeutschland","1582","0.943147818462518","0.931998449538976","0.954297187386059"
"Nein","2009","(Fach-)Abitur","Ostdeutschland","334","0.943395046070684","0.919080992460831","0.967709099680536"
"Nein","2009","AkademikerIn","Westdeutschland","2625","0.928670752255073","0.919184971241905","0.938156533268242"
"Nein","2009","AkademikerIn","Ostdeutschland","1078","0.880638366595218","0.862347864236108","0.898928868954328"
"Ja","2010","(noch) kein Abschluss","Westdeutschland","","","",""
"Ja","2010","(noch) kein Abschluss","Ostdeutschland","","","",""
"Ja","2010","Hauptschule","Westdeutschland","","","",""
"Ja","2010","Hauptschule","Ostdeutschland","","","",""
"Ja","2010","Realschule","Westdeutschland","","","",""
"Ja","2010","Realschule","Ostdeutschland","","","",""
"Ja","2010","(Fach-)Abitur","Westdeutschland","","","",""
"Ja","2010","(Fach-)Abitur","Ostdeutschland","","","",""
"Ja","2010","AkademikerIn","Westdeutschland","","","",""
"Ja","2010","AkademikerIn","Ostdeutschland","","","",""
"Nein","2010","(noch) kein Abschluss","Westdeutschland","","","",""
"Nein","2010","(noch) kein Abschluss","Ostdeutschland","","","",""
"Nein","2010","Hauptschule","Westdeutschland","","","",""
"Nein","2010","Hauptschule","Ostdeutschland","","","",""
"Nein","2010","Realschule","Westdeutschland","","","",""
"Nein","2010","Realschule","Ostdeutschland","","","",""
