"ple0014","year","bildungsniveau","migback","n","percent","lower_confidence","upper_confidence"
"Ja","2009","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Ja","2009","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Ja","2009","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Ja","2009","Hauptschule","kein Migrationshintergrund","847","0.165208485418887","0.155136041799148","0.175280929038626"
"Ja","2009","Hauptschule","direkter Migrationshintergrund","77","0.111223273284983","0.0891303865783778","0.133316159991588"
"Ja","2009","Hauptschule","indirekter Migrationshintergrund","","","",""
"Ja","2009","Realschule","kein Migrationshintergrund","271","0.0677141521539508","0.060373137305849","0.0750551670020526"
"Ja","2009","Realschule","direkter Migrationshintergrund","","","",""
"Ja","2009","Realschule","indirekter Migrationshintergrund","","","",""
"Ja","2009","(Fach-)Abitur","kein Migrationshintergrund","68","0.0556703255128837","0.0444496343785656","0.0668910166472018"
"Ja","2009","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Ja","2009","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Ja","2009","AkademikerIn","kein Migrationshintergrund","305","0.0856040243847334","0.0765350277338866","0.0946730210355801"
"Ja","2009","AkademikerIn","direkter Migrationshintergrund","","","",""
"Ja","2009","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Nein","2009","(noch) kein Abschluss","kein Migrationshintergrund","308","0.971203833881834","0.952765270568442","0.989642397195225"
"Nein","2009","(noch) kein Abschluss","direkter Migrationshintergrund","102","0.895350731182933","0.838661081254835","0.952040381111031"
"Nein","2009","(noch) kein Abschluss","indirekter Migrationshintergrund","56","1","1","1"
"Nein","2009","Hauptschule","kein Migrationshintergrund","4375","0.834791514581113","0.824719070961374","0.844863958200852"
"Nein","2009","Hauptschule","direkter Migrationshintergrund","701","0.888776726715017","0.866683840008412","0.910869613421622"
"Nein","2009","Hauptschule","indirekter Migrationshintergrund","209","0.98154132530624","0.963422304938154","0.999660345674326"
"Nein","2009","Realschule","kein Migrationshintergrund","4229","0.932285847846049","0.924944832997947","0.939626862694151"
"Nein","2009","Realschule","direkter Migrationshintergrund","135","0.95366755659581","0.919093923012627","0.988241190178992"
"Nein","2009","Realschule","indirekter Migrationshintergrund","169","0.998832218390259","0.993698279233766","1.00396615754675"
"Nein","2009","(Fach-)Abitur","kein Migrationshintergrund","1536","0.944329674487116","0.933108983352798","0.955550365621434"
"Nein","2009","(Fach-)Abitur","direkter Migrationshintergrund","276","0.919253889804547","0.888164254599167","0.950343525009926"
"Nein","2009","(Fach-)Abitur","indirekter Migrationshintergrund","104","0.997535947559028","0.988053014339067","1.00701888077899"
"Nein","2009","AkademikerIn","kein Migrationshintergrund","3351","0.914395975615267","0.90532697896442","0.923464972266113"
"Nein","2009","AkademikerIn","direkter Migrationshintergrund","268","0.92822107189417","0.898614995104598","0.957827148683743"
"Nein","2009","AkademikerIn","indirekter Migrationshintergrund","84","0.972646054731978","0.938371180782555","1.0069209286814"
"Ja","2010","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Ja","2010","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Ja","2010","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Ja","2010","Hauptschule","kein Migrationshintergrund","","","",""
"Ja","2010","Hauptschule","direkter Migrationshintergrund","","","",""
"Ja","2010","Hauptschule","indirekter Migrationshintergrund","","","",""
"Ja","2010","Realschule","kein Migrationshintergrund","","","",""
"Ja","2010","Realschule","direkter Migrationshintergrund","","","",""
"Ja","2010","Realschule","indirekter Migrationshintergrund","","","",""
"Ja","2010","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Ja","2010","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Ja","2010","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Ja","2010","AkademikerIn","kein Migrationshintergrund","","","",""
"Ja","2010","AkademikerIn","direkter Migrationshintergrund","","","",""
"Ja","2010","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Nein","2010","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Nein","2010","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Nein","2010","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Nein","2010","Hauptschule","kein Migrationshintergrund","","","",""
"Nein","2010","Hauptschule","direkter Migrationshintergrund","","","",""
"Nein","2010","Hauptschule","indirekter Migrationshintergrund","","","",""
"Nein","2010","Realschule","kein Migrationshintergrund","","","",""
"Nein","2010","Realschule","direkter Migrationshintergrund","","","",""
"Nein","2010","Realschule","indirekter Migrationshintergrund","","","",""
"Nein","2010","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Nein","2010","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Nein","2010","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Nein","2010","AkademikerIn","kein Migrationshintergrund","","","",""
"Nein","2010","AkademikerIn","direkter Migrationshintergrund","","","",""
"Nein","2010","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Ja","2011","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Ja","2011","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Ja","2011","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Ja","2011","Hauptschule","kein Migrationshintergrund","972","0.16673449710941","0.15734368687573","0.17612530734309"
"Ja","2011","Hauptschule","direkter Migrationshintergrund","90","0.102655295009347","0.0827153747303148","0.122595215288378"
"Ja","2011","Hauptschule","indirekter Migrationshintergrund","","","",""
"Ja","2011","Realschule","kein Migrationshintergrund","349","0.0685485730113101","0.0616507337225786","0.0754464123000415"
"Ja","2011","Realschule","direkter Migrationshintergrund","","","",""
"Ja","2011","Realschule","indirekter Migrationshintergrund","","","",""
"Ja","2011","(Fach-)Abitur","kein Migrationshintergrund","73","0.0412562109359394","0.032325283675046","0.0501871381968328"
"Ja","2011","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Ja","2011","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Ja","2011","AkademikerIn","kein Migrationshintergrund","369","0.0991305104620659","0.089994390559275","0.108266630364857"
"Ja","2011","AkademikerIn","direkter Migrationshintergrund","","","",""
"Ja","2011","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Nein","2011","(noch) kein Abschluss","kein Migrationshintergrund","348","0.935944045177157","0.910720942772894","0.96116714758142"
"Nein","2011","(noch) kein Abschluss","direkter Migrationshintergrund","115","0.832627916318479","0.768944240815953","0.896311591821006"
"Nein","2011","(noch) kein Abschluss","indirekter Migrationshintergrund","65","0.975212452291858","0.937983819238907","1.01244108534481"
"Nein","2011","Hauptschule","kein Migrationshintergrund","5080","0.83326550289059","0.82387469265691","0.84265631312427"
"Nein","2011","Hauptschule","direkter Migrationshintergrund","800","0.897344704990653","0.877404784711622","0.917284625269685"
"Nein","2011","Hauptschule","indirekter Migrationshintergrund","203","0.95980900010776","0.933117484301299","0.986500515914222"
"Nein","2011","Realschule","kein Migrationshintergrund","4806","0.93145142698869","0.924553587699958","0.938349266277421"
"Nein","2011","Realschule","direkter Migrationshintergrund","163","0.956825201423137","0.926361582177556","0.987288820668718"
"Nein","2011","Realschule","indirekter Migrationshintergrund","185","0.98707830761237","0.970977313475313","1.00317930174943"
"Nein","2011","(Fach-)Abitur","kein Migrationshintergrund","1832","0.958743789064061","0.949812861803167","0.967674716324954"
"Nein","2011","(Fach-)Abitur","direkter Migrationshintergrund","369","0.937362651024801","0.913406208724291","0.96131909332531"
"Nein","2011","(Fach-)Abitur","indirekter Migrationshintergrund","141","0.990633405239421","0.974845394168347","1.00642141631049"
"Nein","2011","AkademikerIn","kein Migrationshintergrund","3741","0.900869489537934","0.891733369635143","0.910005609440725"
"Nein","2011","AkademikerIn","direkter Migrationshintergrund","348","0.966312748659684","0.94792879688732","0.984696700432048"
"Nein","2011","AkademikerIn","indirekter Migrationshintergrund","104","0.955927655189624","0.917216885646311","0.994638424732937"
"Ja","2012","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Ja","2012","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Ja","2012","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Ja","2012","Hauptschule","kein Migrationshintergrund","","","",""
"Ja","2012","Hauptschule","direkter Migrationshintergrund","","","",""
"Ja","2012","Hauptschule","indirekter Migrationshintergrund","","","",""
"Ja","2012","Realschule","kein Migrationshintergrund","","","",""
"Ja","2012","Realschule","direkter Migrationshintergrund","","","",""
"Ja","2012","Realschule","indirekter Migrationshintergrund","","","",""
"Ja","2012","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Ja","2012","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Ja","2012","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Ja","2012","AkademikerIn","kein Migrationshintergrund","","","",""
"Ja","2012","AkademikerIn","direkter Migrationshintergrund","","","",""
"Ja","2012","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Nein","2012","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Nein","2012","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Nein","2012","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Nein","2012","Hauptschule","kein Migrationshintergrund","","","",""
"Nein","2012","Hauptschule","direkter Migrationshintergrund","","","",""
"Nein","2012","Hauptschule","indirekter Migrationshintergrund","","","",""
"Nein","2012","Realschule","kein Migrationshintergrund","","","",""
"Nein","2012","Realschule","direkter Migrationshintergrund","","","",""
"Nein","2012","Realschule","indirekter Migrationshintergrund","","","",""
"Nein","2012","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Nein","2012","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Nein","2012","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Nein","2012","AkademikerIn","kein Migrationshintergrund","","","",""
"Nein","2012","AkademikerIn","direkter Migrationshintergrund","","","",""
"Nein","2012","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Ja","2013","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
