year,sampreg,ple0014,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,West,Yes,0.09509,1175,13477,0.09013,0.10004
2009,West,No,0.90491,12302,13477,0.89996,0.90987
2009,East,Yes,0.11081,479,4541,0.10168,0.11994
2009,East,No,0.88919,4062,4541,0.88006,0.89832
2011,West,Yes,0.09641,1445,15840,0.09182,0.10101
2011,West,No,0.90359,14395,15840,0.89899,0.90818
2011,East,Yes,0.11516,525,4905,0.10623,0.12410
2011,East,No,0.88484,4380,4905,0.87590,0.89377
2013,West,Yes,0.11099,1449,14414,0.10586,0.11612
2013,West,No,0.88901,12965,14414,0.88388,0.89414
2013,East,Yes,0.11816,501,4452,0.10867,0.12764
2013,East,No,0.88184,3951,4452,0.87236,0.89133
2015,West,Yes,0.09813,1534,19787,0.09399,0.10228
2015,West,No,0.90187,18253,19787,0.89772,0.90601
2015,East,Yes,0.11782,551,5253,0.10910,0.12654
2015,East,No,0.88218,4702,5253,0.87346,0.89090
2017,West,Yes,0.09387,1567,20959,0.08992,0.09782
2017,West,No,0.90613,19392,20959,0.90218,0.91008
2017,East,Yes,0.11368,580,5590,0.10535,0.12200
2017,East,No,0.88632,5010,5590,0.87800,0.89465
2019,Does not apply,No,0.85208,66,66,0.76577,0.93839
2019,West,Yes,0.09800,1704,20104,0.09389,0.10211
2019,West,No,0.90200,18400,20104,0.89789,0.90611
2019,East,Yes,0.12427,590,5546,0.11559,0.13295
2019,East,No,0.87573,4956,5546,0.86705,0.88441
2021,West,Yes,0.10896,1306,15318,0.10403,0.11390
2021,West,No,0.89104,14012,15318,0.88610,0.89597
2021,East,Yes,0.11130,395,3849,0.10136,0.12123
2021,East,No,0.88870,3454,3849,0.87877,0.89864
