"ple0014","year","age_gr","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","2009","17-29","Westdeutschland","21","","",""
"Ja","2009","17-29","Ostdeutschland","14","","",""
"Ja","2009","30-45","Westdeutschland","53","0.0146022111905064","0.0106892134743267","0.018515208906686"
"Ja","2009","30-45","Ostdeutschland","23","","",""
"Ja","2009","46-65","Westdeutschland","335","0.0813964100163373","0.0735697824318978","0.0892230376007768"
"Ja","2009","46-65","Ostdeutschland","124","0.076749913093552","0.0638509420998364","0.0896488840872675"
"Ja","2009","66","Westdeutschland","","","",""
"Ja","2009","66","Ostdeutschland","","","",""
"Nein","2009","17-29","Westdeutschland","2110","0.992151764344041","0.988405215161355","0.995898313526726"
"Nein","2009","17-29","Ostdeutschland","710","0.973166112057521","0.9613950920598","0.984937132055242"
"Nein","2009","30-45","Westdeutschland","3557","0.985397788809494","0.981484791093314","0.989310786525673"
"Nein","2009","30-45","Ostdeutschland","1042","0.978762633952119","0.970103742328714","0.987421525575523"
"Nein","2009","46-65","Westdeutschland","4354","0.918603589983663","0.910776962399223","0.926430217568102"
"Nein","2009","46-65","Ostdeutschland","1512","0.923250086906448","0.910351115912733","0.936149057900164"
"Nein","2009","66","Westdeutschland","","","",""
"Nein","2009","66","Ostdeutschland","","","",""
"Ja","2010","17-29","Westdeutschland","","","",""
"Ja","2010","17-29","Ostdeutschland","","","",""
"Ja","2010","30-45","Westdeutschland","","","",""
"Ja","2010","30-45","Ostdeutschland","","","",""
"Ja","2010","46-65","Westdeutschland","","","",""
"Ja","2010","46-65","Ostdeutschland","","","",""
"Ja","2010","66","Westdeutschland","","","",""
"Ja","2010","66","Ostdeutschland","","","",""
"Nein","2010","17-29","Westdeutschland","","","",""
"Nein","2010","17-29","Ostdeutschland","","","",""
"Nein","2010","30-45","Westdeutschland","","","",""
"Nein","2010","30-45","Ostdeutschland","","","",""
"Nein","2010","46-65","Westdeutschland","","","",""
"Nein","2010","46-65","Ostdeutschland","","","",""
"Nein","2010","66","Westdeutschland","","","",""
"Nein","2010","66","Ostdeutschland","","","",""
"Ja","2011","17-29","Westdeutschland","30","0.0126817794840421","0.00813047744300872","0.0172330815250754"
"Ja","2011","17-29","Ostdeutschland","9","","",""
"Ja","2011","30-45","Westdeutschland","70","0.0165212525060294","0.012453929505935","0.0205885755061239"
"Ja","2011","30-45","Ostdeutschland","19","","",""
"Ja","2011","46-65","Westdeutschland","434","0.0803839610066701","0.0734410507827603","0.0873268712305799"
"Ja","2011","46-65","Ostdeutschland","139","0.0707921771578988","0.0592078185234655","0.0823765357923322"
"Ja","2011","66","Westdeutschland","","","",""
"Ja","2011","66","Ostdeutschland","","","",""
"Nein","2011","17-29","Westdeutschland","2292","0.987318220515958","0.982766918474924","0.991869522556991"
"Nein","2011","17-29","Ostdeutschland","663","0.993763663146997","0.98781156897888","0.999715757315114"
"Nein","2011","30-45","Westdeutschland","3703","0.983478747493971","0.979411424493876","0.987546070494065"
"Nein","2011","30-45","Ostdeutschland","1064","0.978100219031364","0.969383652960711","0.986816785102017"
"Nein","2011","46-65","Westdeutschland","5457","0.91961603899333","0.91267312876942","0.92655894921724"
"Nein","2011","46-65","Ostdeutschland","1744","0.929207822842101","0.917623464207668","0.940792181476535"
"Nein","2011","66","Westdeutschland","","","",""
"Nein","2011","66","Ostdeutschland","","","",""
"Ja","2012","17-29","Westdeutschland","","","",""
"Ja","2012","17-29","Ostdeutschland","","","",""
"Ja","2012","30-45","Westdeutschland","","","",""
"Ja","2012","30-45","Ostdeutschland","","","",""
"Ja","2012","46-65","Westdeutschland","","","",""
