year,migback,quintil_oecd,ple0014,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,No migration background,1st Quintile,Yes,0.13103,272,2175,0.11684,0.14521
2009,No migration background,1st Quintile,No,0.86897,1903,2175,0.85479,0.88316
2009,No migration background,2nd Quintile,Yes,0.14659,357,2634,0.13308,0.16010
2009,No migration background,2nd Quintile,No,0.85341,2277,2634,0.83990,0.86692
2009,No migration background,3rd Quintile,Yes,0.10403,285,2998,0.09310,0.11496
2009,No migration background,3rd Quintile,No,0.89597,2713,2998,0.88504,0.90690
2009,No migration background,4th Quintile,Yes,0.08947,300,3377,0.07984,0.09910
2009,No migration background,4th Quintile,No,0.91053,3077,3377,0.90090,0.92016
2009,No migration background,5th Quintile,Yes,0.06779,293,4462,0.06041,0.07517
2009,No migration background,5th Quintile,No,0.93221,4169,4462,0.92483,0.93959
2009,Direct migration background,1st Quintile,Yes,0.10372,49,516,0.07738,0.13005
2009,Direct migration background,1st Quintile,No,0.89628,467,516,0.86995,0.92262
2009,Direct migration background,2nd Quintile,No,0.91304,350,350,0.88348,0.94260
2009,Direct migration background,3rd Quintile,No,0.93263,266,266,0.90245,0.96281
2009,Direct migration background,4th Quintile,No,0.91929,239,239,0.88468,0.95389
2009,Direct migration background,5th Quintile,No,0.89543,198,198,0.85270,0.93816
2009,Indirect migration background,1st Quintile,No,0.99194,174,174,0.97862,1.00526
2009,Indirect migration background,2nd Quintile,No,0.99848,148,148,0.99217,1.00478
2009,Indirect migration background,4th Quintile,No,0.97507,129,129,0.94807,1.00208
2009,Indirect migration background,5th Quintile,No,0.97756,125,125,0.95149,1.00363
2011,No migration background,1st Quintile,Yes,0.15616,252,1941,0.14001,0.17231
2011,No migration background,1st Quintile,No,0.84384,1689,1941,0.82769,0.85999
2011,No migration background,2nd Quintile,Yes,0.15258,320,2298,0.13787,0.16728
2011,No migration background,2nd Quintile,No,0.84742,1978,2298,0.83272,0.86213
2011,No migration background,3rd Quintile,Yes,0.10560,275,2716,0.09404,0.11716
2011,No migration background,3rd Quintile,No,0.89440,2441,2716,0.88284,0.90596
2011,No migration background,4th Quintile,Yes,0.08388,229,2997,0.07396,0.09381
2011,No migration background,4th Quintile,No,0.91612,2768,2997,0.90619,0.92604
2011,No migration background,5th Quintile,Yes,0.08043,279,3765,0.07174,0.08912
2011,No migration background,5th Quintile,No,0.91957,3486,3765,0.91088,0.92826
2011,Direct migration background,1st Quintile,Yes,0.11509,42,395,0.08358,0.14660
2011,Direct migration background,1st Quintile,No,0.88491,353,395,0.85340,0.91642
2011,Direct migration background,2nd Quintile,No,0.91911,292,292,0.88779,0.95044
2011,Direct migration background,3rd Quintile,No,0.91801,211,211,0.88090,0.95512
2011,Direct migration background,4th Quintile,No,0.93126,170,170,0.89312,0.96941
2011,Direct migration background,5th Quintile,No,0.92460,175,175,0.88536,0.96383
2011,Indirect migration background,1st Quintile,No,0.99173,155,155,0.97743,1.00603
2011,Indirect migration background,2nd Quintile,No,0.98799,112,112,0.96773,1.00826
2011,Indirect migration background,3rd Quintile,No,0.98579,115,115,0.96406,1.00752
2011,Indirect migration background,4th Quintile,No,0.97830,103,103,0.95003,1.00658
2011,Indirect migration background,5th Quintile,No,0.99105,131,131,0.97486,1.00724
2013,No migration background,1st Quintile,Yes,0.14873,305,2441,0.13461,0.16285
2013,No migration background,1st Quintile,No,0.85127,2136,2441,0.83715,0.86539
2013,No migration background,2nd Quintile,Yes,0.14573,401,2882,0.13285,0.15862
2013,No migration background,2nd Quintile,No,0.85427,2481,2882,0.84138,0.86715
2013,No migration background,3rd Quintile,Yes,0.12828,381,3158,0.11662,0.13995
2013,No migration background,3rd Quintile,No,0.87172,2777,3158,0.86005,0.88338
2013,No migration background,4th Quintile,Yes,0.09948,330,3555,0.08964,0.10932
2013,No migration background,4th Quintile,No,0.90052,3225,3555,0.89068,0.91036
2013,No migration background,5th Quintile,Yes,0.07823,353,4382,0.07028,0.08618
2013,No migration background,5th Quintile,No,0.92177,4029,4382,0.91382,0.92972
2013,Direct migration background,1st Quintile,Yes,0.13593,57,514,0.10627,0.16559
2013,Direct migration background,1st Quintile,No,0.86407,457,514,0.83441,0.89373
2013,Direct migration background,2nd Quintile,Yes,0.12940,49,416,0.09711,0.16169
2013,Direct migration background,2nd Quintile,No,0.87060,367,416,0.83831,0.90289
2013,Direct migration background,3rd Quintile,No,0.93115,293,293,0.90211,0.96019
2013,Direct migration background,4th Quintile,No,0.91228,223,223,0.87507,0.94949
2013,Direct migration background,5th Quintile,No,0.94459,239,239,0.91552,0.97365
2013,Indirect migration background,1st Quintile,No,0.93670,141,141,0.89636,0.97703
2013,Indirect migration background,2nd Quintile,No,0.99029,142,142,0.97410,1.00648
2013,Indirect migration background,3rd Quintile,No,0.98414,125,125,0.96215,1.00613
2013,Indirect migration background,5th Quintile,No,0.96269,157,157,0.93296,0.99243
2015,No migration background,1st Quintile,Yes,0.14470,331,3030,0.13217,0.15723
2015,No migration background,1st Quintile,No,0.85530,2699,3030,0.84277,0.86783
2015,No migration background,2nd Quintile,Yes,0.14259,437,3779,0.13144,0.15374
2015,No migration background,2nd Quintile,No,0.85741,3342,3779,0.84626,0.86856
2015,No migration background,3rd Quintile,Yes,0.10709,345,3758,0.09721,0.11698
2015,No migration background,3rd Quintile,No,0.89291,3413,3758,0.88302,0.90279
2015,No migration background,4th Quintile,Yes,0.10026,356,3990,0.09094,0.10958
2015,No migration background,4th Quintile,No,0.89974,3634,3990,0.89042,0.90906
2015,No migration background,5th Quintile,Yes,0.07344,329,4462,0.06578,0.08109
2015,No migration background,5th Quintile,No,0.92656,4133,4462,0.91891,0.93422
2015,Direct migration background,1st Quintile,Yes,0.08990,106,1575,0.07577,0.10403
2015,Direct migration background,1st Quintile,No,0.91010,1469,1575,0.89597,0.92423
2015,Direct migration background,2nd Quintile,Yes,0.10196,70,1129,0.08430,0.11962
2015,Direct migration background,2nd Quintile,No,0.89804,1059,1129,0.88038,0.91570
2015,Direct migration background,3rd Quintile,Yes,0.05882,36,810,0.04261,0.07504
2015,Direct migration background,3rd Quintile,No,0.94118,774,810,0.92496,0.95739
