"ple0014","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"Ja","2009","kein Migrationshintergrund","Westdeutschland","1037","0.102344847598027","0.096737441393659","0.107952253802394"
"Ja","2009","kein Migrationshintergrund","Ostdeutschland","470","0.112348008281125","0.103044506588789","0.121651509973462"
"Ja","2009","direkter Migrationshintergrund","Westdeutschland","129","0.0902285996755504","0.0761191930063642","0.104338006344737"
"Ja","2009","direkter Migrationshintergrund","Ostdeutschland","9","","",""
"Ja","2009","indirekter Migrationshintergrund","Westdeutschland","9","","",""
"Ja","2009","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Ja","2009","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Ja","2009","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Nein","2009","kein Migrationshintergrund","Westdeutschland","10187","0.897655152401973","0.892047746197606","0.903262558606341"
"Nein","2009","kein Migrationshintergrund","Ostdeutschland","3956","0.887651991718875","0.878348490026538","0.896955493411211"
"Nein","2009","direkter Migrationshintergrund","Westdeutschland","1455","0.90977140032445","0.895661993655263","0.923880806993636"
"Nein","2009","direkter Migrationshintergrund","Ostdeutschland","66","0.912721076677879","0.848844565295723","0.976597588060035"
"Nein","2009","indirekter Migrationshintergrund","Westdeutschland","660","0.989932621878872","0.982367846440019","0.997497397317726"
"Nein","2009","indirekter Migrationshintergrund","Ostdeutschland","40","1","1","1"
"Nein","2009","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Nein","2009","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Ja","2010","kein Migrationshintergrund","Westdeutschland","","","",""
"Ja","2010","kein Migrationshintergrund","Ostdeutschland","","","",""
"Ja","2010","direkter Migrationshintergrund","Westdeutschland","","","",""
"Ja","2010","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Ja","2010","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Ja","2010","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Ja","2010","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Ja","2010","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Nein","2010","kein Migrationshintergrund","Westdeutschland","","","",""
"Nein","2010","kein Migrationshintergrund","Ostdeutschland","","","",""
"Nein","2010","direkter Migrationshintergrund","Westdeutschland","","","",""
"Nein","2010","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Nein","2010","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Nein","2010","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Nein","2010","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Nein","2010","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Ja","2011","kein Migrationshintergrund","Westdeutschland","1278","0.104126000568058","0.0989099502031096","0.109342050933007"
"Ja","2011","kein Migrationshintergrund","Ostdeutschland","510","0.115632799830547","0.106554963482026","0.124710636179068"
"Ja","2011","direkter Migrationshintergrund","Westdeutschland","151","0.0775728453371977","0.0656076890115117","0.0895380016628837"
"Ja","2011","direkter Migrationshintergrund","Ostdeutschland","14","","",""
"Ja","2011","indirekter Migrationshintergrund","Westdeutschland","16","","",""
"Ja","2011","indirekter Migrationshintergrund","Ostdeutschland","1","","",""
"Ja","2011","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Ja","2011","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Nein","2011","kein Migrationshintergrund","Westdeutschland","11893","0.895873999431942","0.890657949066993","0.90109004979689"
"Nein","2011","kein Migrationshintergrund","Ostdeutschland","4257","0.884367200169453","0.875289363820932","0.893445036517973"
"Nein","2011","direkter Migrationshintergrund","Westdeutschland","1769","0.922427154662802","0.910461998337116","0.934392310988488"
"Nein","2011","direkter Migrationshintergrund","Ostdeutschland","81","0.871031101459613","0.803633317841044","0.938428885078181"
"Nein","2011","indirekter Migrationshintergrund","Westdeutschland","733","0.976762510488071","0.96597313576416","0.987551885211981"
"Nein","2011","indirekter Migrationshintergrund","Ostdeutschland","42","0.973232223026949","0.92498989519172","1.02147455086218"
"Nein","2011","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Nein","2011","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Ja","2012","kein Migrationshintergrund","Westdeutschland","","","",""
"Ja","2012","kein Migrationshintergrund","Ostdeutschland","","","",""
"Ja","2012","direkter Migrationshintergrund","Westdeutschland","","","",""
"Ja","2012","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Ja","2012","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Ja","2012","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Ja","2012","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Ja","2012","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Nein","2012","kein Migrationshintergrund","Westdeutschland","","","",""
"Nein","2012","kein Migrationshintergrund","Ostdeutschland","","","",""
"Nein","2012","direkter Migrationshintergrund","Westdeutschland","","","",""
"Nein","2012","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Nein","2012","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Nein","2012","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Nein","2012","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Nein","2012","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Ja","2013","kein Migrationshintergrund","Westdeutschland","1293","0.115560594411444","0.109872026884993","0.121249161937895"
"Ja","2013","kein Migrationshintergrund","Ostdeutschland","483","0.117971549253179","0.108361305496634","0.127581793009725"
"Ja","2013","direkter Migrationshintergrund","Westdeutschland","143","0.100221412112229","0.0855620977528196","0.114880726471638"
"Ja","2013","direkter Migrationshintergrund","Ostdeutschland","18","","",""
"Ja","2013","indirekter Migrationshintergrund","Westdeutschland","13","","",""
"Ja","2013","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Ja","2013","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Ja","2013","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Nein","2013","kein Migrationshintergrund","Westdeutschland","10840","0.884439405588556","0.878750838062105","0.890127973115007"
"Nein","2013","kein Migrationshintergrund","Ostdeutschland","3845","0.882028450746821","0.872418206990275","0.891638694503366"
"Nein","2013","direkter Migrationshintergrund","Westdeutschland","1469","0.899778587887771","0.885119273528362","0.91443790224718"
"Nein","2013","direkter Migrationshintergrund","Ostdeutschland","63","0.788094356238001","0.699099285604514","0.877089426871487"
"Nein","2013","indirekter Migrationshintergrund","Westdeutschland","656","0.97260098207963","0.960230976878748","0.984970987280512"
"Nein","2013","indirekter Migrationshintergrund","Ostdeutschland","43","1","1","1"
"Nein","2013","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Nein","2013","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Ja","2014","kein Migrationshintergrund","Westdeutschland","","","",""
