"ple0014","year","bildungsniveau","bula_h","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","2009","(noch) kein Abschluss","Schleswig-Holstein","2","","",""
"Ja","2009","(noch) kein Abschluss","Hamburg","","","",""
"Ja","2009","(noch) kein Abschluss","Niedersachsen","","","",""
"Ja","2009","(noch) kein Abschluss","Bremen","","","",""
"Ja","2009","(noch) kein Abschluss","Nordrhein-Westfalen","3","","",""
"Ja","2009","(noch) kein Abschluss","Hessen","3","","",""
"Ja","2009","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","","","",""
"Ja","2009","(noch) kein Abschluss","Baden-Württemberg","","","",""
"Ja","2009","(noch) kein Abschluss","Bayern","6","","",""
"Ja","2009","(noch) kein Abschluss","Saarland","","","",""
"Ja","2009","(noch) kein Abschluss","Berlin","1","","",""
"Ja","2009","(noch) kein Abschluss","Brandenburg","1","","",""
"Ja","2009","(noch) kein Abschluss","Mecklenburg-Vorpommern","","","",""
"Ja","2009","(noch) kein Abschluss","Sachsen","1","","",""
"Ja","2009","(noch) kein Abschluss","Sachsen-Anhalt","","","",""
"Ja","2009","(noch) kein Abschluss","Thüringen","1","","",""
"Ja","2009","Hauptschule","Schleswig-Holstein","26","","",""
"Ja","2009","Hauptschule","Hamburg","8","","",""
"Ja","2009","Hauptschule","Niedersachsen","108","0.183786413891994","0.152587042115468","0.214985785668519"
"Ja","2009","Hauptschule","Bremen","1","","",""
"Ja","2009","Hauptschule","Nordrhein-Westfalen","219","0.161031504368595","0.141666914761116","0.180396093976075"
"Ja","2009","Hauptschule","Hessen","65","0.166036540917644","0.128622756260873","0.203450325574414"
"Ja","2009","Hauptschule","Rheinland-Pfalz,Saarland","61","0.128016895958103","0.0986136732068017","0.157420118709404"
"Ja","2009","Hauptschule","Baden-Württemberg","72","0.114744055110585","0.0924487825694702","0.1370393276517"
"Ja","2009","Hauptschule","Bayern","124","0.115807904047144","0.0969831627481716","0.134632645346116"
"Ja","2009","Hauptschule","Saarland","","","",""
"Ja","2009","Hauptschule","Berlin","24","","",""
"Ja","2009","Hauptschule","Brandenburg","42","0.253788869584183","0.19158229129353","0.315995447874835"
"Ja","2009","Hauptschule","Mecklenburg-Vorpommern","21","","",""
"Ja","2009","Hauptschule","Sachsen","70","0.222866449117145","0.176761653774781","0.268971244459508"
"Ja","2009","Hauptschule","Sachsen-Anhalt","39","0.178156115334878","0.126029689274124","0.230282541395631"
"Ja","2009","Hauptschule","Thüringen","47","0.173340244142675","0.127149885137735","0.219530603147615"
"Ja","2009","Realschule","Schleswig-Holstein","13","","",""
"Ja","2009","Realschule","Hamburg","5","","",""
"Ja","2009","Realschule","Niedersachsen","33","0.0754633688627885","0.0520998905037319","0.098826847221845"
"Ja","2009","Realschule","Bremen","","","",""
"Ja","2009","Realschule","Nordrhein-Westfalen","36","0.0608445367583721","0.0437137688513763","0.077975304665368"
"Ja","2009","Realschule","Hessen","14","","",""
"Ja","2009","Realschule","Rheinland-Pfalz,Saarland","9","","",""
"Ja","2009","Realschule","Baden-Württemberg","18","","",""
"Ja","2009","Realschule","Bayern","40","0.0878749218320624","0.0650882751504223","0.110661568513703"
"Ja","2009","Realschule","Saarland","","","",""
"Ja","2009","Realschule","Berlin","25","","",""
"Ja","2009","Realschule","Brandenburg","16","","",""
"Ja","2009","Realschule","Mecklenburg-Vorpommern","12","","",""
"Ja","2009","Realschule","Sachsen","25","","",""
"Ja","2009","Realschule","Sachsen-Anhalt","13","","",""
"Ja","2009","Realschule","Thüringen","20","","",""
"Ja","2009","(Fach-)Abitur","Schleswig-Holstein","4","","",""
"Ja","2009","(Fach-)Abitur","Hamburg","","","",""
"Ja","2009","(Fach-)Abitur","Niedersachsen","8","","",""
"Ja","2009","(Fach-)Abitur","Bremen","","","",""
"Ja","2009","(Fach-)Abitur","Nordrhein-Westfalen","31","0.0661316419001989","0.0452099919827794","0.0870532918176185"
"Ja","2009","(Fach-)Abitur","Hessen","11","","",""
"Ja","2009","(Fach-)Abitur","Rheinland-Pfalz,Saarland","5","","",""
"Ja","2009","(Fach-)Abitur","Baden-Württemberg","3","","",""
"Ja","2009","(Fach-)Abitur","Bayern","7","","",""
"Ja","2009","(Fach-)Abitur","Saarland","","","",""
"Ja","2009","(Fach-)Abitur","Berlin","9","","",""
"Ja","2009","(Fach-)Abitur","Brandenburg","","","",""
"Ja","2009","(Fach-)Abitur","Mecklenburg-Vorpommern","2","","",""
"Ja","2009","(Fach-)Abitur","Sachsen","5","","",""
"Ja","2009","(Fach-)Abitur","Sachsen-Anhalt","3","","",""
"Ja","2009","(Fach-)Abitur","Thüringen","","","",""
"Ja","2009","AkademikerIn","Schleswig-Holstein","7","","",""
"Ja","2009","AkademikerIn","Hamburg","2","","",""
"Ja","2009","AkademikerIn","Niedersachsen","29","","",""
"Ja","2009","AkademikerIn","Bremen","1","","",""
"Ja","2009","AkademikerIn","Nordrhein-Westfalen","50","0.0602274617158239","0.0430978451312677","0.0773570783003802"
"Ja","2009","AkademikerIn","Hessen","19","","",""
"Ja","2009","AkademikerIn","Rheinland-Pfalz,Saarland","15","","",""
"Ja","2009","AkademikerIn","Baden-Württemberg","34","0.111479474143889","0.0821720657547967","0.140786882532982"
"Ja","2009","AkademikerIn","Bayern","38","0.0607828576978359","0.040460485876012","0.0811052295196599"
"Ja","2009","AkademikerIn","Saarland","","","",""
"Ja","2009","AkademikerIn","Berlin","20","","",""
"Ja","2009","AkademikerIn","Brandenburg","30","0.167303141408838","0.119883843069673","0.214722439748002"
"Ja","2009","AkademikerIn","Mecklenburg-Vorpommern","18","","",""
"Ja","2009","AkademikerIn","Sachsen","28","","",""
"Ja","2009","AkademikerIn","Sachsen-Anhalt","21","","",""
"Ja","2009","AkademikerIn","Thüringen","20","","",""
"Nein","2009","(noch) kein Abschluss","Schleswig-Holstein","17","","",""
"Nein","2009","(noch) kein Abschluss","Hamburg","9","","",""
"Nein","2009","(noch) kein Abschluss","Niedersachsen","42","1","1","1"
"Nein","2009","(noch) kein Abschluss","Bremen","3","","",""
"Nein","2009","(noch) kein Abschluss","Nordrhein-Westfalen","119","0.973162240348633","0.944485226236268","1.001839254461"
"Nein","2009","(noch) kein Abschluss","Hessen","32","0.9280431196639","0.842431185329732","1.01365505399807"
"Nein","2009","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","27","","",""
"Nein","2009","(noch) kein Abschluss","Baden-Württemberg","75","1","1","1"
"Nein","2009","(noch) kein Abschluss","Bayern","64","0.801619140666265","0.708200618247558","0.895037663084973"
"Nein","2009","(noch) kein Abschluss","Saarland","","","",""
"Nein","2009","(noch) kein Abschluss","Berlin","18","","",""
"Nein","2009","(noch) kein Abschluss","Brandenburg","15","","",""
"Nein","2009","(noch) kein Abschluss","Mecklenburg-Vorpommern","9","","",""
"Nein","2009","(noch) kein Abschluss","Sachsen","18","","",""
"Nein","2009","(noch) kein Abschluss","Sachsen-Anhalt","11","","",""
"Nein","2009","(noch) kein Abschluss","Thüringen","7","","",""
"Nein","2009","Hauptschule","Schleswig-Holstein","164","0.858184023304457","0.808579179868437","0.907788866740477"
"Nein","2009","Hauptschule","Hamburg","49","0.866464306998391","0.778159431194309","0.954769182802473"
"Nein","2009","Hauptschule","Niedersachsen","484","0.816213586108006","0.785014214331481","0.847412957884532"
"Nein","2009","Hauptschule","Bremen","31","0.946968994994422","0.869325350825038","1.02461263916381"
"Nein","2009","Hauptschule","Nordrhein-Westfalen","1165","0.838968495631405","0.819603906023925","0.858333085238884"
"Nein","2009","Hauptschule","Hessen","315","0.833963459082356","0.796549674425586","0.871377243739127"
"Nein","2009","Hauptschule","Rheinland-Pfalz,Saarland","435","0.871983104041897","0.842579881290596","0.901386326793198"
"Nein","2009","Hauptschule","Baden-Württemberg","713","0.885255944889415","0.8629606723483","0.90755121743053"
"Nein","2009","Hauptschule","Bayern","986","0.884192095952856","0.865367354653884","0.903016837251828"
"Nein","2009","Hauptschule","Saarland","","","",""
"Nein","2009","Hauptschule","Berlin","89","0.756669122542843","0.677553821238384","0.835784423847301"
"Nein","2009","Hauptschule","Brandenburg","146","0.746211130415817","0.684004552125165","0.808417708706469"
"Nein","2009","Hauptschule","Mecklenburg-Vorpommern","86","0.794507311660273","0.717947062489457","0.871067560831088"
"Nein","2009","Hauptschule","Sachsen","243","0.777133550882855","0.731028755540492","0.823238346225219"
