year,regtyp,sex,ple0014,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Urban regions,male,Yes,0.08322,551,5553,0.07595,0.09048
2009,Urban regions,male,No,0.75239,5002,5553,0.74103,0.76374
2009,Urban regions,female,Yes,0.07915,480,6166,0.07241,0.08589
2009,Urban regions,female,No,0.76720,5686,6166,0.75665,0.77774
2009,Rural regions,male,Yes,0.08893,334,3045,0.07881,0.09904
2009,Rural regions,male,No,0.74724,2711,3045,0.73180,0.76268
2009,Rural regions,female,Yes,0.08316,289,3254,0.07367,0.09264
2009,Rural regions,female,No,0.77824,2965,3254,0.76396,0.79251
2011,Urban regions,male,Yes,0.08239,678,6271,0.07559,0.08920
2011,Urban regions,male,No,0.68292,5593,6271,0.67140,0.69444
2011,Urban regions,female,Yes,0.06792,545,7121,0.06207,0.07376
2011,Urban regions,female,No,0.69872,6576,7121,0.68806,0.70938
2011,Rural regions,male,Yes,0.08604,423,3518,0.07677,0.09531
2011,Rural regions,male,No,0.68241,3095,3518,0.66702,0.69779
2011,Rural regions,female,Yes,0.07406,324,3835,0.06577,0.08235
2011,Rural regions,female,No,0.69599,3511,3835,0.68143,0.71055
2013,Urban regions,male,Yes,0.07945,637,5620,0.07238,0.08652
2013,Urban regions,male,No,0.61116,4983,5620,0.59841,0.62391
2013,Urban regions,female,Yes,0.07688,580,6454,0.07038,0.08338
2013,Urban regions,female,No,0.62635,5874,6454,0.61455,0.63816
2013,Rural regions,male,Yes,0.09563,411,3214,0.08546,0.10580
2013,Rural regions,male,No,0.64339,2803,3214,0.62682,0.65995
2013,Rural regions,female,Yes,0.07206,322,3578,0.06358,0.08053
2013,Rural regions,female,No,0.67266,3256,3578,0.65728,0.68804
2015,Urban regions,male,Yes,0.08903,714,7385,0.08253,0.09552
2015,Urban regions,male,No,0.72402,6671,7385,0.71382,0.73421
2015,Urban regions,female,Yes,0.07576,598,8815,0.07023,0.08128
2015,Urban regions,female,No,0.75172,8217,8815,0.74270,0.76074
2015,Rural regions,male,Yes,0.09906,434,4074,0.08988,0.10823
2015,Rural regions,male,No,0.72696,3640,4074,0.71328,0.74065
2015,Rural regions,female,Yes,0.07582,339,4766,0.06831,0.08334
2015,Rural regions,female,No,0.76928,4427,4766,0.75732,0.78124
2017,Urban regions,male,Yes,0.08854,731,7885,0.08227,0.09482
2017,Urban regions,male,No,0.73442,7154,7885,0.72467,0.74417
2017,Urban regions,female,Yes,0.06712,581,9295,0.06203,0.07221
2017,Urban regions,female,No,0.77376,8714,9295,0.76525,0.78226
2017,Rural regions,male,Yes,0.10257,478,4376,0.09358,0.11156
2017,Rural regions,male,No,0.72603,3898,4376,0.71281,0.73925
2017,Rural regions,female,Yes,0.07488,357,4993,0.06758,0.08219
2017,Rural regions,female,No,0.77335,4636,4993,0.76174,0.78497
2019,Urban regions,male,Yes,0.08986,807,7774,0.08350,0.09622
2019,Urban regions,male,No,0.73077,6967,7774,0.72091,0.74063
2019,Urban regions,female,Yes,0.07112,593,8617,0.06569,0.07654
2019,Urban regions,female,No,0.76788,8024,8617,0.75897,0.77680
2019,Rural regions,male,Yes,0.10669,477,4208,0.09736,0.11602
2019,Rural regions,male,No,0.71842,3731,4208,0.70483,0.73201
2019,Rural regions,female,Yes,0.08436,364,4573,0.07630,0.09242
2019,Rural regions,female,No,0.75932,4209,4573,0.74693,0.77171
2021,Urban regions,male,Yes,0.09383,598,6327,0.08664,0.10101
2021,Urban regions,male,No,0.72005,5729,6327,0.70899,0.73111
2021,Urban regions,female,Yes,0.07988,486,6678,0.07338,0.08638
2021,Urban regions,female,No,0.75038,6192,6678,0.74000,0.76076
2021,Rural regions,male,Yes,0.09651,344,2964,0.08588,0.10715
2021,Rural regions,male,No,0.73062,2620,2964,0.71465,0.74659
2021,Rural regions,female,Yes,0.09790,272,3190,0.08759,0.10822
2021,Rural regions,female,No,0.72580,2918,3190,0.71032,0.74129
