year,migback,regtyp,ple0014,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,No migration background,Urban regions,Yes,0.10468,920,9786,0.09862,0.11075
2009,No migration background,Urban regions,No,0.89532,8866,9786,0.88925,0.90138
2009,No migration background,Rural regions,Yes,0.10412,587,5864,0.09630,0.11193
2009,No migration background,Rural regions,No,0.89588,5277,5864,0.88807,0.90370
2009,Direct migration background,Urban regions,Yes,0.08677,103,1341,0.07169,0.10184
2009,Direct migration background,Urban regions,No,0.91323,1238,1341,0.89816,0.92831
2009,Direct migration background,Rural regions,Yes,0.10460,35,318,0.07091,0.13829
2009,Direct migration background,Rural regions,No,0.89540,283,318,0.86171,0.92909
2009,Indirect migration background,Urban regions,No,0.98926,584,584,0.98089,0.99763
2009,Indirect migration background,Rural regions,No,0.99487,116,116,0.98182,1.00793
2011,No migration background,Urban regions,Yes,0.10584,1091,11186,0.10014,0.11154
2011,No migration background,Urban regions,No,0.89416,10095,11186,0.88846,0.89986
2011,No migration background,Rural regions,Yes,0.10817,697,6747,0.10076,0.11558
2011,No migration background,Rural regions,No,0.89183,6050,6747,0.88442,0.89924
2011,Direct migration background,Urban regions,Yes,0.07678,117,1549,0.06352,0.09004
2011,Direct migration background,Urban regions,No,0.92322,1432,1549,0.90996,0.93648
2011,Direct migration background,Rural regions,Yes,0.08457,48,467,0.05931,0.10983
2011,Direct migration background,Rural regions,No,0.91543,419,467,0.89017,0.94069
2011,Indirect migration background,Urban regions,No,0.97505,642,642,0.96298,0.98713
2011,Indirect migration background,Rural regions,No,0.98871,137,137,0.97096,1.00647
2013,No migration background,Urban regions,Yes,0.11639,1088,10189,0.11016,0.12262
2013,No migration background,Urban regions,No,0.88361,9101,10189,0.87738,0.88984
2013,No migration background,Rural regions,Yes,0.11527,683,6232,0.10734,0.12320
2013,No migration background,Rural regions,No,0.88473,5549,6232,0.87680,0.89266
2013,Direct migration background,Urban regions,Yes,0.10100,117,1322,0.08475,0.11725
2013,Direct migration background,Urban regions,No,0.89900,1205,1322,0.88275,0.91525
2013,Direct migration background,Rural regions,Yes,0.10978,50,424,0.07999,0.13957
2013,Direct migration background,Rural regions,No,0.89022,374,424,0.86043,0.92001
2013,Indirect migration background,Urban regions,No,0.96728,551,551,0.95242,0.98215
2015,No migration background,Urban regions,Yes,0.10984,1100,11612,0.10415,0.11553
2015,No migration background,Urban regions,No,0.89016,10512,11612,0.88447,0.89585
2015,No migration background,Rural regions,Yes,0.11048,698,7411,0.10334,0.11762
2015,No migration background,Rural regions,No,0.88952,6713,7411,0.88238,0.89666
2015,Direct migration background,Urban regions,Yes,0.07950,185,3335,0.07032,0.08869
2015,Direct migration background,Urban regions,No,0.92050,3150,3335,0.91131,0.92968
2015,Direct migration background,Rural regions,Yes,0.06597,67,1138,0.05154,0.08040
2015,Direct migration background,Rural regions,No,0.93403,1071,1138,0.91960,0.94846
2015,Indirect migration background,Urban regions,No,0.97150,1226,1226,0.96218,0.98082
2015,Indirect migration background,Rural regions,No,0.96864,283,283,0.94830,0.98898
2017,No migration background,Urban regions,Yes,0.10429,1094,12289,0.09888,0.10969
2017,No migration background,Urban regions,No,0.89571,11195,12289,0.89031,0.90112
2017,No migration background,Rural regions,Yes,0.11204,752,7822,0.10505,0.11903
2017,No migration background,Rural regions,No,0.88796,7070,7822,0.88097,0.89495
2017,Direct migration background,Urban regions,Yes,0.06914,183,3553,0.06080,0.07749
2017,Direct migration background,Urban regions,No,0.93086,3370,3553,0.92251,0.93920
2017,Direct migration background,Rural regions,Yes,0.07545,79,1263,0.06088,0.09002
2017,Direct migration background,Rural regions,No,0.92455,1184,1263,0.90998,0.93912
2017,Indirect migration background,Urban regions,Yes,0.03335,35,1338,0.02373,0.04297
2017,Indirect migration background,Urban regions,No,0.96665,1303,1338,0.95703,0.97627
2017,Indirect migration background,Rural regions,No,0.98670,280,280,0.97326,1.00014
2019,No migration background,No answer / don't know,Yes,0.13040,59,484,0.10037,0.16043
2019,No migration background,No answer / don't know,No,0.86960,425,484,0.83957,0.89963
2019,No migration background,Urban regions,Yes,0.11263,1196,12180,0.10702,0.11824
2019,No migration background,Urban regions,No,0.88737,10984,12180,0.88176,0.89298
2019,No migration background,Rural regions,Yes,0.12219,772,7459,0.11476,0.12962
2019,No migration background,Rural regions,No,0.87781,6687,7459,0.87038,0.88524
2019,Direct migration background,No answer / don't know,No,0.98822,31,31,0.94962,1.02683
2019,Direct migration background,Urban regions,Yes,0.06160,169,2967,0.05294,0.07025
2019,Direct migration background,Urban regions,No,0.93840,2798,2967,0.92975,0.94706
2019,Direct migration background,Rural regions,Yes,0.07100,61,1031,0.05532,0.08669
2019,Direct migration background,Rural regions,No,0.92900,970,1031,0.91331,0.94468
2019,Indirect migration background,No answer / don't know,No,0.92827,35,35,0.84153,1.01501
2019,Indirect migration background,Urban regions,Yes,0.02104,35,1244,0.01307,0.02902
2019,Indirect migration background,Urban regions,No,0.97896,1209,1244,0.97098,0.98693
2019,Indirect migration background,Rural regions,No,0.97148,283,283,0.95205,0.99091
2021,No migration background,Urban regions,Yes,0.11965,872,8244,0.11265,0.12666
2021,No migration background,Urban regions,No,0.88035,7372,8244,0.87334,0.88735
2021,No migration background,Rural regions,Yes,0.11997,524,4811,0.11078,0.12915
2021,No migration background,Rural regions,No,0.88003,4287,4811,0.87085,0.88922
2021,Direct migration background,Urban regions,Yes,0.07332,189,4034,0.06528,0.08137
2021,Direct migration background,Urban regions,No,0.92668,3845,4034,0.91863,0.93472
2021,Direct migration background,Rural regions,Yes,0.11419,80,1151,0.09581,0.13257
2021,Direct migration background,Rural regions,No,0.88581,1071,1151,0.86743,0.90419
2021,Indirect migration background,Urban regions,No,0.96979,710,710,0.95719,0.98239
2021,Indirect migration background,Rural regions,No,0.93981,180,180,0.90497,0.97465
