year,ple0014,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Yes,0.09804,1654,18018,0.09370,0.10238
2009,No,0.90196,16364,18018,0.89762,0.90630
2011,Yes,0.09986,1970,20745,0.09578,0.10394
2011,No,0.90014,18775,20745,0.89606,0.90422
2013,Yes,0.11237,1950,18866,0.10786,0.11687
2013,No,0.88763,16916,18866,0.88313,0.89214
2015,Yes,0.10166,2085,25040,0.09791,0.10540
2015,No,0.89834,22955,25040,0.89460,0.90209
2017,Yes,0.09729,2147,26549,0.09373,0.10086
2017,No,0.90271,24402,26549,0.89914,0.90627
2019,Yes,0.10257,2304,25726,0.09886,0.10628
2019,No,0.89743,23422,25726,0.89372,0.90114
2021,Yes,0.10936,1701,19167,0.10494,0.11378
2021,No,0.89064,17466,19167,0.88622,0.89506
