year,age_gr,sex,ple0014,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,17-29 y.,male,No,0.98499,1379,1379,0.97857,0.99141
2009,17-29 y.,female,No,0.99204,1441,1441,0.98745,0.99663
2009,30-45 y.,male,Yes,0.01483,38,2205,0.00979,0.01988
2009,30-45 y.,male,No,0.98517,2167,2205,0.98012,0.99021
2009,30-45 y.,female,Yes,0.01661,38,2470,0.01157,0.02166
2009,30-45 y.,female,No,0.98339,2432,2470,0.97834,0.98843
2009,46-65 y.,male,Yes,0.09644,263,3015,0.08590,0.10697
2009,46-65 y.,male,No,0.90356,2752,3015,0.89303,0.91410
2009,46-65 y.,female,Yes,0.06493,196,3310,0.05654,0.07333
2009,46-65 y.,female,No,0.93507,3114,3310,0.92667,0.94346
2009,66 and older,male,Yes,0.29895,565,1980,0.27878,0.31912
2009,66 and older,male,No,0.70105,1415,1980,0.68088,0.72122
2009,66 and older,female,Yes,0.26138,519,2183,0.24295,0.27982
2009,66 and older,female,No,0.73862,1664,2183,0.72018,0.75705
2011,17-29 y.,male,No,0.98621,1442,1442,0.98019,0.99223
2011,17-29 y.,female,No,0.99099,1513,1513,0.98623,0.99576
2011,30-45 y.,male,Yes,0.02089,47,2193,0.01491,0.02688
2011,30-45 y.,male,No,0.97911,2146,2193,0.97312,0.98509
2011,30-45 y.,female,Yes,0.01342,42,2663,0.00905,0.01779
2011,30-45 y.,female,No,0.98658,2621,2663,0.98221,0.99095
2011,46-65 y.,male,Yes,0.09468,343,3675,0.08521,0.10414
2011,46-65 y.,male,No,0.90532,3332,3675,0.89586,0.91479
2011,46-65 y.,female,Yes,0.06179,230,4099,0.05442,0.06917
2011,46-65 y.,female,No,0.93821,3869,4099,0.93083,0.94558
2011,66 and older,male,Yes,0.28923,690,2458,0.27131,0.30716
2011,66 and older,male,No,0.71077,1768,2458,0.69284,0.72869
2011,66 and older,female,Yes,0.22313,579,2663,0.20731,0.23894
2011,66 and older,female,No,0.77687,2084,2663,0.76106,0.79269
2013,17-29 y.,male,No,0.98677,1221,1221,0.98035,0.99318
2013,17-29 y.,female,No,0.98975,1289,1289,0.98425,0.99525
2013,30-45 y.,male,Yes,0.02304,37,1817,0.01614,0.02994
2013,30-45 y.,male,No,0.97696,1780,1817,0.97006,0.98386
2013,30-45 y.,female,Yes,0.01825,45,2256,0.01272,0.02377
2013,30-45 y.,female,No,0.98175,2211,2256,0.97623,0.98728
2013,46-65 y.,male,Yes,0.09726,326,3397,0.08729,0.10722
2013,46-65 y.,male,No,0.90274,3071,3397,0.89278,0.91271
2013,46-65 y.,female,Yes,0.06627,245,3922,0.05849,0.07406
2013,46-65 y.,female,No,0.93373,3677,3922,0.92594,0.94151
2013,66 and older,male,Yes,0.29599,674,2388,0.27767,0.31430
2013,66 and older,male,No,0.70401,1714,2388,0.68570,0.72233
2013,66 and older,female,Yes,0.24283,597,2550,0.22619,0.25948
2013,66 and older,female,No,0.75717,1953,2550,0.74052,0.77381
2015,17-29 y.,male,No,0.98986,1866,1866,0.98531,0.99440
2015,17-29 y.,female,Yes,0.01517,32,2036,0.00986,0.02048
2015,17-29 y.,female,No,0.98483,2004,2036,0.97952,0.99014
2015,30-45 y.,male,Yes,0.01597,49,3050,0.01152,0.02042
2015,30-45 y.,male,No,0.98403,3001,3050,0.97958,0.98848
2015,30-45 y.,female,Yes,0.02044,74,4306,0.01622,0.02467
2015,30-45 y.,female,No,0.97956,4232,4306,0.97533,0.98378
2015,46-65 y.,male,Yes,0.09917,366,4138,0.09006,0.10827
2015,46-65 y.,male,No,0.90083,3772,4138,0.89173,0.90994
2015,46-65 y.,female,Yes,0.06059,271,4739,0.05380,0.06738
2015,46-65 y.,female,No,0.93941,4468,4739,0.93262,0.94620
2015,66 and older,male,Yes,0.30940,712,2384,0.29084,0.32796
2015,66 and older,male,No,0.69060,1672,2384,0.67204,0.70916
2015,66 and older,female,Yes,0.22844,560,2500,0.21198,0.24490
2015,66 and older,female,No,0.77156,1940,2500,0.75510,0.78802
2017,17-29 y.,male,No,0.98797,2115,2115,0.98333,0.99262
2017,17-29 y.,female,Yes,0.00992,31,2222,0.00580,0.01405
2017,17-29 y.,female,No,0.99008,2191,2222,0.98595,0.99420
2017,30-45 y.,male,Yes,0.02651,70,3051,0.02081,0.03221
2017,30-45 y.,male,No,0.97349,2981,3051,0.96779,0.97919
2017,30-45 y.,female,Yes,0.01967,83,4206,0.01548,0.02387
2017,30-45 y.,female,No,0.98033,4123,4206,0.97613,0.98452
2017,46-65 y.,male,Yes,0.10771,428,4621,0.09877,0.11665
2017,46-65 y.,male,No,0.89229,4193,4621,0.88335,0.90123
2017,46-65 y.,female,Yes,0.05223,293,5352,0.04626,0.05819
2017,46-65 y.,female,No,0.94777,5059,5352,0.94181,0.95374
2017,66 and older,male,Yes,0.29244,689,2452,0.27444,0.31045
2017,66 and older,male,No,0.70756,1763,2452,0.68955,0.72556
2017,66 and older,female,Yes,0.21808,531,2508,0.20191,0.23424
2017,66 and older,female,No,0.78192,1977,2508,0.76576,0.79809
2019,17-29 y.,male,Yes,0.01632,31,1868,0.01057,0.02207
2019,17-29 y.,male,No,0.98368,1837,1868,0.97793,0.98943
2019,17-29 y.,female,No,0.98319,1946,1946,0.97747,0.98890
2019,30-45 y.,male,Yes,0.02375,64,2702,0.01801,0.02950
2019,30-45 y.,male,No,0.97625,2638,2702,0.97050,0.98199
2019,30-45 y.,female,Yes,0.01775,84,3584,0.01343,0.02208
2019,30-45 y.,female,No,0.98225,3500,3584,0.97792,0.98657
2019,46-65 y.,male,Yes,0.11225,474,5088,0.10357,0.12092
2019,46-65 y.,male,No,0.88775,4614,5088,0.87908,0.89643
2019,46-65 y.,female,Yes,0.06087,306,5331,0.05445,0.06729
2019,46-65 y.,female,No,0.93913,5025,5331,0.93271,0.94555
2019,66 and older,male,Yes,0.29662,759,2621,0.27913,0.31411
2019,66 and older,male,No,0.70338,1862,2621,0.68589,0.72087
2019,66 and older,female,Yes,0.22914,559,2554,0.21284,0.24545
2019,66 and older,female,No,0.77086,1995,2554,0.75455,0.78716
2021,17-29 y.,male,No,0.98094,1609,1609,0.97426,0.98763
2021,17-29 y.,female,Yes,0.01831,32,1552,0.01164,0.02498
2021,17-29 y.,female,No,0.98169,1520,1552,0.97502,0.98836
2021,30-45 y.,male,Yes,0.02355,58,2441,0.01753,0.02956
2021,30-45 y.,male,No,0.97645,2383,2441,0.97044,0.98247
2021,30-45 y.,female,Yes,0.02272,71,2764,0.01716,0.02827
2021,30-45 y.,female,No,0.97728,2693,2764,0.97173,0.98284
2021,46-65 y.,male,Yes,0.11415,345,3433,0.10351,0.12478
2021,46-65 y.,male,No,0.88585,3088,3433,0.87522,0.89649
2021,46-65 y.,female,Yes,0.06644,246,3780,0.05850,0.07438
2021,46-65 y.,female,No,0.93356,3534,3780,0.92562,0.94150
2021,66 and older,male,Yes,0.29430,522,1791,0.27319,0.31542
2021,66 and older,male,No,0.70570,1269,1791,0.68458,0.72681
2021,66 and older,female,Yes,0.26617,409,1773,0.24559,0.28675
2021,66 and older,female,No,0.73383,1364,1773,0.71325,0.75441
