year,ple0004,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,Strong,0.09851,2208,22971,0.09466,0.10236
2002,A Little,0.24954,6435,22971,0.24394,0.25514
2002,Not at all,0.48097,14328,22971,0.47451,0.48743
2004,Strong,0.10351,2135,21552,0.09944,0.10758
2004,A Little,0.25069,6128,21552,0.24491,0.25648
2004,Not at all,0.47948,13289,21552,0.47281,0.48615
2006,Strong,0.09875,2241,21922,0.09480,0.10270
2006,A Little,0.25926,6571,21922,0.25346,0.26506
2006,Not at all,0.47405,13110,21922,0.46744,0.48066
2008,Strong,0.09818,2016,19271,0.09398,0.10238
2008,A Little,0.25725,5758,19271,0.25108,0.26342
2008,Not at all,0.48188,11497,19271,0.47482,0.48893
2014,Strong,0.10315,2689,27008,0.09953,0.10678
2014,A Little,0.25970,7712,27008,0.25447,0.26492
2014,Not at all,0.47678,16607,27008,0.47082,0.48274
2016,Strong,0.10019,2681,27062,0.09661,0.10376
2016,A Little,0.26054,7751,27062,0.25531,0.26577
2016,Not at all,0.47488,16630,27062,0.46893,0.48083
2018,Strong,0.09956,2876,29101,0.09612,0.10300
2018,A Little,0.26533,8527,29101,0.26026,0.27040
2018,Not at all,0.47501,17698,29101,0.46927,0.48075
2020,Strong,0.09731,2779,29350,0.09392,0.10070
2020,A Little,0.28048,9006,29350,0.27534,0.28562
2020,Not at all,0.45605,17565,29350,0.45036,0.46175
