"year","bildungsniveau","sampreg","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lowerconfidence_mean","upperconfidence_mean","minimum","maximum","lowerconfidence_median","upperconfidence_median"
"2005","(Fach-)Abitur","Ostdeutschland","6.53","6.5","395","6","6","7","7","7","6.46","6.6","3","7","7","7"
"2005","(Fach-)Abitur","Westdeutschland","6.43","6.5","1894","5","6","7","7","7","6.39","6.47","1","7","7","7"
"2005","(noch) kein Abschluss","Ostdeutschland","6.38","6.5","167","5","6","7","7","7","6.24","6.52","3","7","7","7"
"2005","(noch) kein Abschluss","Westdeutschland","6.3","6.5","728","5","6","7","7","7","6.23","6.37","1","7","7","7"
"2005","AkademikerIn","Ostdeutschland","6.5","6.5","1246","5","6","7","7","7","6.45","6.55","1","7","7","7"
"2005","AkademikerIn","Westdeutschland","6.43","6.5","2907","5","6","7","7","7","6.4","6.46","1","7","7","7"
"2005","Hauptschule","Ostdeutschland","6.39","6.5","1285","5","6","7","7","7","6.34","6.44","1","7","7","7"
"2005","Hauptschule","Westdeutschland","6.45","6.5","6247","5","6","7","7","7","6.43","6.47","1","7","7","7"
"2005","Realschule","Ostdeutschland","6.56","6.5","1844","6","6","7","7","7","6.52","6.6","1","7","7","7"
"2005","Realschule","Westdeutschland","6.51","6.5","3528","5","6","7","7","7","6.48","6.54","1","7","7","7"
"2006","(Fach-)Abitur","Ostdeutschland","","","","","","","","","","","","","",""
"2006","(Fach-)Abitur","Westdeutschland","","","","","","","","","","","","","",""
"2006","(noch) kein Abschluss","Ostdeutschland","","","","","","","","","","","","","",""
"2006","(noch) kein Abschluss","Westdeutschland","","","","","","","","","","","","","",""
"2006","AkademikerIn","Ostdeutschland","","","","","","","","","","","","","",""
"2006","AkademikerIn","Westdeutschland","","","","","","","","","","","","","",""
"2006","Hauptschule","Ostdeutschland","","","","","","","","","","","","","",""
"2006","Hauptschule","Westdeutschland","","","","","","","","","","","","","",""
